--- ABOUT ---
"Incorporated in 1993, Rubfila International Ltd manufactures and sells Heat Resistant Latex Rubber and Paper [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
389,71.6,92.2,14.6

Book Value,Dividend Yield,ROCE,ROE
57.2,2.79,12.3,8.80

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,113.39,123.56,114.68,102.94,128.62,130.23,134.75,137.97,147.47,144.93,150.24,146.73,160.60
Expenses +,103.64,114.83,104.18,97.31,117.49,119.33,125.40,126.08,134.89,135.07,139.33,138.09,149.56
Operating Profit,9.75,8.73,10.50,5.63,11.13,10.90,9.35,11.89,12.58,9.86,10.91,8.64,11.04
OPM %,8.60%,7.07%,9.16%,5.47%,8.65%,8.37%,6.94%,8.62%,8.53%,6.80%,7.26%,5.89%,6.87%
Other Income +,1.07,3.87,1.43,0.98,1.26,1.45,1.59,1.60,1.49,1.79,2.37,1.67,2.07
Interest,-0.02,0.03,0.08,0.18,0.03,0.03,0.03,0.03,0.03,0.03,0.06,0.03,0.04
Depreciation,2.27,2.52,2.55,2.74,2.79,2.73,2.74,2.74,2.75,2.70,2.71,2.82,2.83
Profit before tax,8.57,10.05,9.30,3.69,9.57,9.59,8.17,10.72,11.29,8.92,10.51,7.46,10.24
Tax %,31.39%,20.90%,19.14%,23.04%,25.81%,25.76%,25.95%,25.65%,26.40%,25.11%,23.88%,26.27%,37.30%
Net Profit +,5.89,7.97,7.52,2.82,7.09,7.13,6.04,7.96,8.31,6.69,8.00,5.50,6.42
EPS in Rs,1.09,1.47,1.39,0.52,1.31,1.31,1.11,1.47,1.53,1.23,1.47,1.01,1.18
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,215,214,258,323,477,457,470,550,602
Expenses +,183,189,234,274,412,420,434,506,562
Operating Profit,32,24,24,49,65,37,36,45,40
OPM %,15%,11%,9%,15%,14%,8%,8%,8%,7%
Other Income +,4,3,5,2,3,7,8,6,8
Interest,0,0,0,0,0,0,0,0,0
Depreciation,4,3,6,6,7,9,11,11,11
Profit before tax,33,24,22,45,60,35,33,40,37
Tax %,35%,26%,25%,26%,26%,26%,22%,26%,28%
Net Profit +,21,18,17,33,45,26,25,29,27
EPS in Rs,4.66,3.75,3.41,6.16,8.23,4.78,4.68,5.42,4.90
Dividend Payout %,21%,27%,35%,21%,21%,25%,26%,37%,41%

--- BALANCE SHEET ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,23,24,25,27,27,27,27,27,27
Reserves,91,109,130,170,208,225,243,267,283
Borrowings +,0,0,0,1,1,1,1,1,1
Other Liabilities +,26,25,54,58,58,58,58,63,68
Total Liabilities,140,158,209,255,294,311,330,358,379
Fixed Assets +,46,61,122,130,155,177,173,165,170
CWIP,3,8,0,5,4,1,0,5,6
Investments,0,17,0,0,0,0,0,0,0
Other Assets +,90,72,87,120,135,132,156,189,204
Total Assets,140,158,209,255,294,311,330,358,379

--- CASH FLOW ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,4,37,37,14,35,30,28,25,-12
Cash from Investing Activity +,-11,-39,-43,-20,-26,-24,-1,-7,-1
Cash from Financing Activity +,8,2,6,10,-7,-10,-7,-7,-14
Net Cash Flow,1,-0,0,4,1,-3,20,11,-27
Free Cash Flow,-11,11,6,-8,5,4,27,19,-27
CFO/OP,46%,179%,172%,51%,75%,106%,102%,80%,-6%

--- RATIOS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,52,55,48,37,42,39,43,44,48
Inventory Days,25,21,32,34,32,40,35,35,38
Days Payable,29,22,44,37,28,25,23,23,26
Cash Conversion Cycle,49,54,37,34,47,53,54,56,61
Working Capital Days,96,77,50,67,58,67,70,68,77
ROCE %,,21%,16%,26%,29%,14%,13%,14%,12%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,57.24%,57.24%,57.24%,57.24%,57.24%,57.24%,57.24%,57.24%,57.24%,57.77%,57.77%,58.27%
FIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.03%,0.17%,0.13%,0.01%
Public +,42.76%,42.75%,42.75%,42.74%,42.75%,42.76%,42.75%,42.75%,42.72%,42.06%,42.10%,41.72%
No. of Shareholders,"42,610","44,097","41,618","41,827","40,722","42,483","42,568","41,697","40,621","39,725","38,346","37,654"

--- CAGR BOXES ---




