--- ABOUT ---
"D. P. Abhushan Limited is engaged in the business of manufacturing, selling, and trading Jewellery and other precious Metals. It is also engaged in the business of Power generation through Windmill. [1] Famous Jewellery store in Ratlam (M.P) Three more stores fully operational in Indore, Bhopal & Udaipur."

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,096",918,"1,730",51.7

Book Value,Dividend Yield,ROCE,ROE
62.0,0.00,24.4,34.5

Face Value
10.0

--- QUARTERLY RESULTS ---
,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022
Sales +,236.14,233.53,41.56,172.15,414.28,590.18,175.34,448.27,668.11,439.66
Expenses +,227.42,222.99,34.77,159.88,398.73,573.96,164.96,428.99,641.86,420.55
Operating Profit,8.72,10.54,6.79,12.27,15.55,16.22,10.38,19.28,26.25,19.11
OPM %,3.69%,4.51%,16.34%,7.13%,3.75%,2.75%,5.92%,4.30%,3.93%,4.35%
Other Income +,0.01,0.43,0.00,0.03,0.02,0.07,0.02,0.01,0.03,0.26
Interest,2.11,2.70,1.91,1.98,2.96,3.80,3.49,3.55,4.03,4.12
Depreciation,0.99,0.75,0.53,0.81,0.86,1.49,1.19,1.19,1.19,1.90
Profit before tax,5.63,7.52,4.35,9.51,11.75,11.00,5.72,14.55,21.06,13.35
Tax %,26.47%,24.73%,25.29%,25.13%,25.79%,24.73%,25.35%,25.50%,25.07%,27.72%
Net Profit +,4.14,5.66,3.25,7.12,8.72,8.28,4.26,10.84,15.79,9.65
EPS in Rs,1.86,2.54,1.46,3.20,3.92,3.72,1.91,4.87,7.10,4.34
Raw PDF,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022
Sales +,807,"1,215","1,728"
Expenses +,773,"1,164","1,653"
Operating Profit,34,51,75
OPM %,4%,4%,4%
Other Income +,0,0,0
Interest,10,11,15
Depreciation,3,4,5
Profit before tax,22,37,55
Tax %,25%,25%,26%
Net Profit +,17,27,41
EPS in Rs,7.49,12.31,18.21
Dividend Payout %,0%,0%,5%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022
Equity Capital,22,22,22
Reserves,47,75,116
Borrowings +,97,169,170
Other Liabilities +,102,129,105
Total Liabilities,269,395,414
Fixed Assets +,30,42,50
CWIP,1,0,0
Investments,0,0,0
Other Assets +,238,352,363
Total Assets,269,395,414

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022
Cash from Operating Activity +,7,-29,17
Cash from Investing Activity +,-2,-10,-5
Cash from Financing Activity +,-11,48,-18
Net Cash Flow,-5,9,-6
Free Cash Flow,5,-38,9
CFO/OP,39%,-39%,40%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022
Debtor Days,0,1,1
Inventory Days,113,103,79
Days Payable,29,25,14
Cash Conversion Cycle,85,79,66
Working Capital Days,20,20,25
ROCE %,,22%,24%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,75.00%,75.00%,75.00%,75.00%,75.00%,73.82%,73.82%,75.00%,75.00%,74.88%,74.88%,74.89%
FIIs +,0.00%,0.00%,0.00%,0.00%,0.06%,0.13%,0.20%,0.20%,0.21%,0.23%,0.22%,0.32%
DIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.05%,0.01%,0.01%,0.00%,0.00%
Public +,25.00%,25.00%,25.00%,25.00%,24.95%,26.05%,25.93%,24.75%,24.78%,24.88%,24.90%,24.78%
No. of Shareholders,"5,505","5,059","5,539","5,560","6,548","9,117","9,280","9,287","9,234","8,736","8,976","9,315"

--- CAGR BOXES ---




