--- ABOUT ---
"Incorporated in 1988, Aarvee Denims and Exports Ltd manufactures and sells denim and non denim Fabrics"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
358,69.5,98.5,

Book Value,Dividend Yield,ROCE,ROE
49.2,0.00,-0.11,-15.9

Face Value
5.00

--- QUARTERLY RESULTS ---
,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020
Sales +,216.64,177.67,176.70,180.54,167.74,168.07,110.94,117.93
Expenses +,197.60,158.66,155.66,157.43,171.28,161.90,97.08,100.34
Operating Profit,19.04,19.01,21.04,23.11,-3.54,6.17,13.86,17.59
OPM %,8.79%,10.70%,11.91%,12.80%,-2.11%,3.67%,12.49%,14.92%
Other Income +,1.19,0.93,0.25,0.43,0.38,0.40,0.62,0.33
Interest,11.38,11.33,12.48,14.10,12.45,13.20,12.89,14.44
Depreciation,7.96,8.29,8.35,9.38,9.56,9.58,9.59,9.62
Profit before tax,0.89,0.32,0.46,0.06,-25.17,-16.21,-8.00,-6.14
Tax %,35.96%,162.50%,30.43%,-550.00%,-0.83%,2.65%,2.38%,-228.34%
Net Profit +,0.57,-0.20,0.32,0.40,-24.97,-16.64,-8.19,7.88
EPS in Rs,0.12,-0.04,0.07,0.09,-5.32,-3.55,-1.75,1.68
Raw PDF,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2018,Mar 2019,Mar 2020
Sales +,827,752,565
Expenses +,747,669,529
Operating Profit,80,82,36
OPM %,10%,11%,6%
Other Income +,3,3,-0
Interest,43,49,53
Depreciation,33,34,38
Profit before tax,6,2,-56
Tax %,12%,37%,-24%
Net Profit +,6,1,-42
EPS in Rs,1.20,0.23,-8.94
Dividend Payout %,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2018,Mar 2019,Mar 2020
Equity Capital,23,23,23
Reserves,248,250,208
Borrowings +,379,434,419
Other Liabilities +,268,241,193
Total Liabilities,919,949,843
Fixed Assets +,363,389,350
CWIP,0,0,0
Investments,0,0,0
Other Assets +,556,560,492
Total Assets,919,949,843

--- CASH FLOW ---
,Mar 2018,Mar 2019,Mar 2020
Cash from Operating Activity +,38,51,65
Cash from Investing Activity +,-19,-53,5
Cash from Financing Activity +,-19,3,-70
Net Cash Flow,0,0,-1
Free Cash Flow,22,-10,63
CFO/OP,48%,63%,181%

--- RATIOS ---
,Mar 2018,Mar 2019,Mar 2020
Debtor Days,130,140,152
Inventory Days,146,189,234
Days Payable,151,167,167
Cash Conversion Cycle,125,161,219
Working Capital Days,1,16,200
ROCE %,,8%,-0%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,65.80%,65.80%,65.80%,65.80%,65.80%,60.81%,60.81%,38.77%,30.56%,65.64%,65.64%,65.64%
FIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.37%,0.25%,0.00%,0.01%,0.00%,0.00%,0.01%
DIIs +,2.10%,2.10%,2.10%,2.10%,2.10%,0.00%,0.00%,0.07%,1.30%,1.30%,1.30%,1.30%
Public +,32.11%,32.10%,32.08%,32.10%,32.09%,38.81%,38.94%,61.16%,68.14%,33.07%,33.06%,33.06%
No. of Shareholders,"9,634","10,014","10,566","11,439","11,303","10,439","10,181","10,202","10,252","10,341","9,898","8,241"

--- CAGR BOXES ---




