--- ABOUT ---
"JIncorporated in 2010, JNK India Ltd is in the business of Technology based EPC Contracts and Solutions in Renewable Energy [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,725",487,520,42.0

Book Value,Dividend Yield,ROCE,ROE
101,0.06,17.4,12.1

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,107,37,97,120,227,88,104,94,191,99,178,203,338
Expenses +,89,29,75,79,192,79,92,87,176,96,162,177,292
Operating Profit,18,8,22,40,35,9,12,7,15,3,17,26,46
OPM %,17%,21%,23%,34%,16%,11%,12%,7%,8%,3%,9%,13%,14%
Other Income +,1,1,-0,1,-3,3,3,3,13,4,6,4,6
Interest,2,2,2,4,3,4,2,5,4,4,3,4,7
Depreciation,3,1,1,2,2,1,1,2,2,2,2,3,3
Profit before tax,14,6,19,36,28,7,12,3,22,2,18,23,43
Tax %,25%,34%,35%,16%,41%,12%,34%,2%,40%,43%,27%,23%,23%
Net Profit +,11,4,12,30,17,6,8,3,13,1,13,18,33
EPS in Rs,11.10,0.81,2.52,6.18,3.44,1.15,1.39,0.51,2.37,0.20,2.36,3.21,5.84
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,138,296,407,480,477,819
Expenses +,112,243,338,381,430,727
Operating Profit,25,54,69,99,47,92
OPM %,18%,18%,17%,21%,10%,11%
Other Income +,1,1,4,5,18,19
Interest,1,4,4,10,14,17
Depreciation,2,3,7,6,6,9
Profit before tax,23,48,63,89,44,85
Tax %,28%,25%,26%,30%,31%,24%
Net Profit +,16,36,46,63,30,65
EPS in Rs,274.67,37.48,48.29,12.95,5.41,11.61
Dividend Payout %,0%,0%,0%,2%,6%,3%

--- BALANCE SHEET ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.60,10,10,10,11,11
Reserves,36,63,113,186,493,556
Borrowings +,12,15,44,66,19,91
Other Liabilities +,77,181,172,267,266,403
Total Liabilities,125,268,338,528,789,"1,062"
Fixed Assets +,3,20,21,23,29,48
CWIP,0,0,0,3,6,8
Investments,0,11,0,0,0,14
Other Assets +,122,237,317,501,755,991
Total Assets,125,268,338,528,789,"1,062"

--- CASH FLOW ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,20,34,20,-10,-65,-2
Cash from Investing Activity +,-17,-25,-25,-14,-14,-162
Cash from Financing Activity +,-0,6,-2,15,218,52
Net Cash Flow,3,15,-7,-10,139,-112
Free Cash Flow,16,14,13,-22,-74,-12
CFO/OP,99%,84%,51%,2%,-74%,24%

--- RATIOS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,143,135,103,162,260,154
Inventory Days,74,245,213,133,61,15
Days Payable,358,178,103,183,159,112
Cash Conversion Cycle,-140,203,212,113,162,57
Working Capital Days,29,22,64,98,211,131
ROCE %,,76%,53%,46%,15%,17%

--- SHAREHOLDING PATTERN ---
,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,67.97%,67.97%,67.78%,67.79%,67.60%,67.60%,67.80%,67.80%
FIIs +,3.50%,3.41%,3.13%,3.06%,2.87%,2.70%,1.73%,1.18%
DIIs +,18.53%,18.67%,18.44%,17.87%,17.44%,15.76%,14.13%,12.57%
Public +,9.98%,9.95%,10.64%,11.29%,12.09%,13.94%,16.35%,18.48%
No. of Shareholders,"57,170","55,490","59,844","55,433","54,689","53,996","55,261","54,157"

--- CAGR BOXES ---




