--- ABOUT ---
"Incorporated in 1963, BPL Ltd is in the business of manufacturing Printed Circuit Boards [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
296,60.5,94.2 / 37.6,

Book Value,Dividend Yield,ROCE,ROE
49.2,0.00,-1.22,-3.49

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2016,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,48.51,48.51,48.51,48.67,48.89,48.89,48.89,48.91,48.98,48.98,48.98,48.98
Reserves,-59.83,4.94,94.51,153.94,149.06,47.59,8.50,117.19,187.00,200.52,200.38,192.03
Borrowings +,570.50,456.43,305.82,217.69,192.69,169.69,176.11,31.19,22.86,30.09,29.80,105.57
Other Liabilities +,104.48,111.73,77.71,67.75,220.52,281.74,55.68,339.03,340.41,336.76,333.73,367.08
Total Liabilities,663.66,621.61,526.55,488.05,611.16,547.91,289.18,536.32,599.25,616.35,612.89,713.66
Fixed Assets +,145.17,113.67,72.11,26.69,31.96,37.98,11.61,55.57,58.16,59.61,61.10,59.31
CWIP,18.71,18.90,18.90,18.90,299.50,305.96,0.00,308.73,308.87,311.68,308.54,308.21
Investments,137.00,137.46,137.46,115.87,0.00,0.19,8.84,59.45,124.28,124.28,124.28,124.28
Other Assets +,362.78,351.58,298.08,326.59,279.70,203.78,268.73,112.57,107.94,120.78,118.97,221.86
Total Assets,663.66,621.61,526.55,488.05,611.16,547.91,289.18,536.32,599.25,616.35,612.89,713.66

--- CASH FLOW ---
,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2016,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-6.90,0.00,6.72,-47.96,31.77,,-14.62,-0.65,6.26,6.82,8.87,-85.79
Cash from Investing Activity +,0.50,0.00,158.67,112.26,-133.59,,8.15,3.63,4.29,-7.80,-11.22,-0.91
