--- ABOUT ---
"Hatsun Agro Product Limited has been in business for over 5 decades and achieved the position of the largest private-sector industry in the Dairy sector manufacturing and marketing Milk and Milk products, Ice-Cream, etc. [1] It was incorporated by Mr. R G Chandramogan, who has been in the dairy business for more than 30 years. [2] Its journey began with Arun Icecreams. [3]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"20,510",921,"1,179",58.9

Book Value,Dividend Yield,ROCE,ROE
82.1,1.09,12.9,16.7

Face Value
1.00

--- QUARTERLY RESULTS ---
,Sep 2008,Jun 2009,Sep 2009,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales +,533,250,283,"2,047","2,375","2,072","2,010","2,243","2,590","2,428","2,364"
Expenses +,500,234,267,"1,817","2,045","1,831","1,796","2,018","2,229","2,103","2,108"
Operating Profit,33,17,16,230,330,241,214,224,361,325,256
OPM %,6%,7%,6%,11%,14%,12%,11%,10%,14%,13%,11%
Other Income +,2,1,1,2,2,7,2,9,4,4,3
Interest,11,5,6,50,46,45,43,48,43,38,33
Depreciation,11,5,6,111,111,116,117,127,137,144,146
Profit before tax,12,7,5,71,176,88,56,59,184,148,79
Tax %,20%,37%,-4%,26%,26%,26%,26%,27%,27%,26%,23%
Net Profit +,10,5,5,52,131,64,41,43,135,110,61
EPS in Rs,,,,2.34,5.86,2.89,1.84,1.93,6.07,4.92,2.72
Raw PDF,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2009,Mar 2010,Mar 2024,Mar 2025,TTM
Sales +,"1,013","1,141","7,990","8,700","9,624"
Expenses +,953,"1,078","7,091","7,690","8,459"
Operating Profit,60,63,899,"1,010","1,166"
OPM %,6%,5%,11%,12%,12%
Other Income +,2,4,23,20,20
Interest,21,28,154,182,162
Depreciation,22,27,409,470,554
Profit before tax,20,12,358,377,469
Tax %,40%,76%,25%,26%,
Net Profit +,12,3,267,279,348
EPS in Rs,,,12.00,12.52,15.64
Dividend Payout %,17%,37%,50%,48%,

--- BALANCE SHEET ---
,Mar 2009,Mar 2010,Mar 2024,Mar 2025,Sep 2025
Equity Capital,7,7,22,22,22
Reserves,45,47,"1,550","1,695","1,807"
Borrowings +,235,314,"2,698","2,570","2,011"
Other Liabilities +,73,98,464,577,589
Total Liabilities,359,466,"4,735","4,865","4,429"
Fixed Assets +,166,322,"2,767","3,274","3,542"
CWIP,128,33,238,284,35
Investments,0,0,30,37,57
Other Assets +,65,111,"1,699","1,270",795
Total Assets,359,466,"4,735","4,865","4,429"

--- CASH FLOW ---
,Mar 2009,Mar 2010,Mar 2024,Mar 2025
Cash from Operating Activity +,56,42,-71,"1,450"
Cash from Investing Activity +,-140,-85,-388,-879
Cash from Financing Activity +,79,51,474,-564
Net Cash Flow,-6,8,14,7
Free Cash Flow,-85,-43,-457,805
CFO/OP,116%,73%,6%,155%

--- RATIOS ---
,Mar 2009,Mar 2010,Mar 2024,Mar 2025
Debtor Days,3,4,0,0
Inventory Days,14,24,94,60
Days Payable,18,20,12,15
Cash Conversion Cycle,-1,8,83,45
Working Capital Days,-1,6,-14,-31
ROCE %,,12%,,13%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,73.11%,73.11%,73.11%,73.15%,73.17%,73.17%,73.17%,73.17%,73.17%,73.17%,73.17%,73.17%
FIIs +,4.07%,3.04%,2.90%,2.86%,2.82%,3.29%,3.38%,3.40%,3.39%,3.26%,3.20%,3.13%
DIIs +,8.54%,9.54%,9.70%,9.81%,9.82%,10.17%,9.99%,10.08%,10.22%,10.36%,10.28%,10.26%
Public +,14.28%,14.32%,14.28%,14.18%,14.20%,13.38%,13.45%,13.35%,13.23%,13.20%,13.35%,13.43%
No. of Shareholders,"29,630","26,365","26,382","25,541","27,006","26,404","37,677","36,665","31,256","34,727","28,734","28,179"

--- CAGR BOXES ---




