--- ABOUT ---
"Incorporated in 1985, Quint Digital Ltd is in the business of running websites through web, digital or mobile media and which may include various information including current affairs, lifestyle, entertainment etc. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
204,43.2,70.0,352

Book Value,Dividend Yield,ROCE,ROE
69.0,0.00,0.52,0.22

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,19.63,15.68,19.29,15.77,15.25,8.28,8.77,8.51,7.56,7.99,7.79,31.32,34.13
Expenses +,27.66,23.88,26.21,23.37,14.53,13.36,13.05,12.37,11.75,10.30,10.34,34.89,35.52
Operating Profit,-8.03,-8.20,-6.92,-7.60,0.72,-5.08,-4.28,-3.86,-4.19,-2.31,-2.55,-3.57,-1.39
OPM %,-40.91%,-52.30%,-35.87%,-48.19%,4.72%,-61.35%,-48.80%,-45.36%,-55.42%,-28.91%,-32.73%,-11.40%,-4.07%
Other Income +,2.91,6.14,4.29,101.39,8.21,-18.82,10.36,7.95,7.44,7.88,4.44,44.73,2.69
Interest,0.92,2.39,3.40,5.06,3.82,5.00,4.87,6.18,4.60,1.08,0.57,0.78,1.67
Depreciation,3.24,3.48,3.70,5.29,2.97,1.29,1.39,1.29,1.15,1.33,1.25,1.38,2.01
Profit before tax,-9.28,-7.93,-9.73,83.44,2.14,-30.19,-0.18,-3.38,-2.50,3.16,0.07,39.00,-2.38
Tax %,11.21%,10.72%,8.12%,8.77%,78.97%,-10.70%,344.44%,-6.51%,-4.80%,-42.09%,171.43%,-0.13%,-18.49%
Net Profit +,-10.33,-8.78,-10.52,76.13,0.45,-26.97,-0.79,-3.15,-2.38,4.50,-0.05,39.04,-1.94
EPS in Rs,-1.99,-0.79,-1.08,17.61,0.11,-5.54,-0.21,-0.66,-0.50,0.97,0.01,8.29,-0.62
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,35,56,74,66,32,81
Expenses +,68,73,91,88,50,91
Operating Profit,-33,-17,-17,-22,-18,-10
OPM %,-92%,-30%,-22%,-33%,-56%,-12%
Other Income +,-16,4,6,120,7,60
Interest,4,2,4,15,21,4
Depreciation,8,9,12,15,5,6
Profit before tax,-61,-23,-26,68,-36,40
Tax %,-0%,7%,10%,16%,-8%,-4%
Net Profit +,-61,-25,-28,57,-33,42
EPS in Rs,-10.41,-4.53,-4.84,15.85,-6.91,8.65
Dividend Payout %,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,22,22,47,47,47,47
Reserves,29,43,165,214,143,278
Borrowings +,63,29,73,220,153,133
Other Liabilities +,1,13,-3,17,10,79
Total Liabilities,115,107,282,498,353,538
Fixed Assets +,14,18,21,20,8,160
CWIP,0,0,0,0,0,0
Investments,42,33,151,330,309,318
Other Assets +,59,56,110,147,36,60
Total Assets,115,107,282,498,353,538

--- CASH FLOW ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-1,-18,-22,-20,-30,-14
Cash from Investing Activity +,-57,-2,-124,-205,111,115
Cash from Financing Activity +,19,17,162,177,-54,-86
Net Cash Flow,-39,-2,17,-48,28,14
Free Cash Flow,-6,-31,-36,-56,-35,-21
CFO/OP,7%,93%,111%,50%,159%,146%

--- RATIOS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,140,78,105,60,57,115
Inventory Days,,,,,,
Days Payable,,,,,,
Cash Conversion Cycle,140,78,105,60,57,115
Working Capital Days,55,-221,-274,-255,"-1,195",16
ROCE %,,-25%,-14%,-3%,-1%,1%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,57.72%,57.67%,58.66%,62.00%,61.94%,61.93%,61.92%,61.91%,62.60%,62.60%,62.60%,62.60%
FIIs +,7.52%,7.46%,7.45%,11.59%,11.58%,11.78%,11.77%,11.77%,11.77%,11.77%,11.77%,11.77%
Public +,34.75%,34.87%,33.89%,26.41%,26.49%,26.29%,26.29%,26.32%,25.63%,25.62%,25.63%,25.63%
No. of Shareholders,"6,059","6,169","6,065","6,183","6,525","6,851","6,720","6,439","6,425","6,436","6,414","6,358"

--- CAGR BOXES ---




