--- ABOUT ---
"Navkar Corporation provides cargo transit services across Container Freight Stations, Private Freight Terminal, Inland Container Depots and Multimodal Logistics Parks. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,580",105,140,17.5

Book Value,Dividend Yield,ROCE,ROE
99.3,0.00,6.93,6.18

Face Value
10.0

--- QUARTERLY RESULTS ---
,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017
Sales +,84,84,82,86,88,90,90,92,99,99,108,106
Expenses +,57,53,51,55,54,55,56,59,64,60,67,69
Operating Profit,28,31,31,30,34,35,34,33,35,39,40,38
OPM %,33%,37%,38%,35%,39%,39%,38%,36%,35%,39%,38%,35%
Other Income +,1,0,3,4,10,4,3,2,3,1,0,0
Interest,8,7,10,8,8,8,7,9,8,7,5,1
Depreciation,4,4,5,5,5,5,5,5,5,5,5,5
Profit before tax,17,21,18,22,32,26,26,22,26,28,30,31
Tax %,7%,40%,10%,9%,16%,10%,12%,10%,22%,21%,18%,25%
Net Profit +,16,12,17,20,27,24,22,19,20,22,25,23
EPS in Rs,8.60,1.13,1.52,1.40,1.87,1.65,1.57,1.36,1.42,1.52,1.74,1.56
Raw PDF,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,TTM
Sales +,268,333,349,329,347,371,412
Expenses +,178,232,225,208,214,232,260
Operating Profit,90,102,124,121,134,139,152
OPM %,34%,31%,36%,37%,39%,38%,37%
Other Income +,1,5,21,1,23,11,5
Interest,30,32,33,26,34,31,22
Depreciation,8,10,13,15,19,20,21
Profit before tax,53,64,99,80,103,99,115
Tax %,11%,11%,9%,15%,17%,14%,
Net Profit +,47,57,90,68,86,86,90
EPS in Rs,34.95,38.36,49.23,6.24,6.00,6.00,6.24
Dividend Payout %,0%,0%,0%,0%,0%,0%,

--- BALANCE SHEET ---
,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Sep 2017
Equity Capital,13,15,18,110,143,143,143
Reserves,195,292,413,632,"1,221","1,306","1,352"
Borrowings +,417,446,439,558,503,505,413
Other Liabilities +,34,44,47,60,130,135,204
Total Liabilities,660,797,917,"1,359","1,996","2,089","2,112"
Fixed Assets +,549,620,656,"1,073","1,171","1,194","1,235"
CWIP,1,0,44,27,275,517,585
Investments,0,20,20,5,46,46,0
Other Assets +,111,156,198,253,505,332,292
Total Assets,660,797,917,"1,359","1,996","2,089","2,112"

--- CASH FLOW ---
,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017
Cash from Operating Activity +,66,73,82,123,224,108
Cash from Investing Activity +,-112,-109,-93,-194,-664,-47
Cash from Financing Activity +,46,38,10,70,443,-28
Net Cash Flow,0,1,-1,-0,4,34
Free Cash Flow,-44,-15,-11,-81,-180,-143
CFO/OP,87%,86%,79%,120%,186%,98%

--- RATIOS ---
,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017
Debtor Days,82,69,80,86,50,44
Inventory Days,0,0,0,,,
Days Payable,,,,,,
Cash Conversion Cycle,82,69,80,86,50,44
Working Capital Days,86,91,10,-25,-150,-168
ROCE %,,14%,16%,10%,9%,7%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,70.44%,70.44%,70.44%,70.44%,70.44%,70.44%,70.45%,70.45%,70.37%,70.37%,70.37%,70.37%
FIIs +,0.52%,0.15%,0.79%,0.28%,0.24%,0.29%,0.73%,0.33%,0.21%,0.22%,0.22%,0.17%
DIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,1.77%,1.31%,2.04%,1.89%,1.95%,1.65%,1.65%
Public +,29.03%,29.41%,28.76%,29.26%,29.32%,27.49%,27.51%,27.18%,27.54%,27.46%,27.75%,27.81%
No. of Shareholders,"60,224","59,442","53,408","57,956","55,007","56,459","55,823","55,359","56,267","58,573","60,248","60,347"

--- CAGR BOXES ---




