--- ABOUT ---
"Incorporated in 1993, Uttam Sugar Mills Ltd manufactures Sugar, Industrial Alcohol and does Power Generation [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
907,238,309,8.96

Book Value,Dividend Yield,ROCE,ROE
230,1.05,11.5,12.2

Face Value
10.0

--- QUARTERLY RESULTS ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,460,604,518,465,454,401,425,567,629,582,521,470
Expenses +,394,561,444,383,419,398,365,452,578,559,464,372
Operating Profit,66,43,74,82,35,3,60,115,50,23,57,98
OPM %,14%,7%,14%,18%,8%,1%,14%,20%,8%,4%,11%,21%
Other Income +,2,2,2,2,3,1,1,2,1,3,2,0
Interest,18,14,8,17,18,12,9,18,20,12,6,13
Depreciation,9,10,10,11,11,12,12,12,12,12,13,12
Profit before tax,41,22,59,57,9,-19,41,88,19,2,41,74
Tax %,25%,28%,26%,26%,25%,-22%,26%,27%,25%,41%,25%,26%
Net Profit +,31,16,43,42,6,-14,30,64,15,1,30,55
EPS in Rs,8.12,4.10,11.40,11.05,1.53,-3.81,8.18,17.27,3.82,0.26,7.86,14.36
Raw PDF,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2024,Mar 2025,Mar 2026
Sales +,"2,047","1,846","2,202"
Expenses +,"1,781","1,633","1,972"
Operating Profit,266,213,229
OPM %,13%,12%,10%
Other Income +,9,8,7
Interest,56,57,52
Depreciation,40,47,49
Profit before tax,179,118,135
Tax %,26%,27%,26%
Net Profit +,132,86,101
EPS in Rs,34.67,23.16,26.30
Dividend Payout %,7%,11%,10%

--- BALANCE SHEET ---
,Mar 2024,Mar 2025,Mar 2026
Equity Capital,38,38,38
Reserves,658,750,838
Borrowings +,761,833,722
Other Liabilities +,327,527,339
Total Liabilities,"1,785","2,148","1,937"
Fixed Assets +,777,882,880
CWIP,1,2,8
Investments,5,0,0
Other Assets +,"1,002","1,264","1,050"
Total Assets,"1,785","2,148","1,937"

--- CASH FLOW ---
,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,33,102,270
Cash from Investing Activity +,-137,-61,-79
Cash from Financing Activity +,102,-41,-187
Net Cash Flow,-2,0,4
Free Cash Flow,-91,55,216
CFO/OP,28%,59%,131%

--- RATIOS ---
,Mar 2024,Mar 2025,Mar 2026
Debtor Days,7,13,8
Inventory Days,227,313,209
Days Payable,39,84,36
Cash Conversion Cycle,195,242,180
Working Capital Days,17,24,25
ROCE %,,11%,12%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,72.84%,72.84%,73.18%,73.70%,74.39%,74.39%,74.39%,74.39%,74.39%,74.39%,74.39%,74.71%
FIIs +,0.69%,0.39%,0.30%,0.07%,0.03%,0.10%,0.03%,0.26%,0.13%,0.07%,0.04%,0.26%
DIIs +,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Public +,26.46%,26.76%,26.51%,26.22%,25.58%,25.51%,25.59%,25.36%,25.48%,25.55%,25.58%,25.04%
No. of Shareholders,"21,092","20,633","24,540","27,811","29,909","31,880","32,450","31,749","29,932","30,421","29,388","29,238"

--- CAGR BOXES ---




