--- ABOUT ---
"Incorporated in 2008, Hindprakash Industries Ltd does manufacturing and trading of dyes, intermediates, auxiliary, chemicals and other merchandise, etc. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
148,130,176,96.4

Book Value,Dividend Yield,ROCE,ROE
43.9,0.00,6.96,3.32

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024
Sales +,30.94,18.35,23.12,15.62,43.69,27.49,30.04,15.21,26.76
Expenses +,30.14,18.31,22.50,15.12,41.04,26.18,29.60,13.83,25.99
Operating Profit,0.80,0.04,0.62,0.50,2.65,1.31,0.44,1.38,0.77
OPM %,2.59%,0.22%,2.68%,3.20%,6.07%,4.77%,1.46%,9.07%,2.88%
Other Income +,0.61,0.16,0.69,0.48,0.44,0.24,0.36,0.32,0.37
Interest,0.29,0.29,0.37,0.61,0.51,0.63,0.67,0.66,0.64
Depreciation,0.08,0.07,0.16,0.11,0.13,0.11,0.11,0.11,0.11
Profit before tax,1.04,-0.16,0.78,0.26,2.45,0.81,0.02,0.93,0.39
Tax %,23.08%,-6.25%,23.08%,26.92%,26.12%,25.93%,100.00%,24.73%,35.90%
Net Profit +,0.81,-0.15,0.60,0.20,1.82,0.60,0.00,0.69,0.25
EPS in Rs,0.78,-0.14,0.58,0.19,1.75,0.58,0.00,0.66,0.22
Raw PDF,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2022,Mar 2023,Mar 2024
Sales +,103.61,100.79,99.50
Expenses +,99.91,96.96,95.58
Operating Profit,3.70,3.83,3.92
OPM %,3.57%,3.80%,3.94%
Other Income +,1.20,1.77,1.28
Interest,0.92,1.79,2.62
Depreciation,0.31,0.47,0.44
Profit before tax,3.67,3.34,2.14
Tax %,25.61%,26.05%,28.04%
Net Profit +,2.73,2.47,1.55
EPS in Rs,2.62,2.37,1.36
Dividend Payout %,38.17%,21.09%,36.84%

--- BALANCE SHEET ---
,Mar 2022,Mar 2023,Mar 2024
Equity Capital,10.42,10.42,11.42
Reserves,27.87,32.19,38.76
Borrowings +,9.16,21.41,22.35
Other Liabilities +,8.19,15.93,12.17
Total Liabilities,55.64,79.95,84.70
Fixed Assets +,10.82,15.54,15.15
CWIP,2.71,0.00,0.30
Investments,0.07,4.86,4.62
Other Assets +,42.04,59.55,64.63
Total Assets,55.64,79.95,84.70

--- CASH FLOW ---
,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity +,2.59,5.17,3.24
Cash from Investing Activity +,0.53,-12.83,-8.22
Cash from Financing Activity +,-3.11,8.27,4.38
Net Cash Flow,0.01,0.62,-0.59
Free Cash Flow,2.06,3.10,2.82
CFO/OP,106%,154%,93%

--- RATIOS ---
,Mar 2022,Mar 2023,Mar 2024
Debtor Days,81.69,118.02,95.27
Inventory Days,60.21,63.54,79.37
Days Payable,11.82,58.12,45.01
Cash Conversion Cycle,130.09,123.44,129.62
Working Capital Days,111.85,66.60,61.81
ROCE %,,9.20%,6.96%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,74.85%,74.85%,74.66%,74.95%,74.95%,74.95%,74.85%,74.85%,74.85%,74.85%,74.85%,74.85%
Public +,25.16%,25.16%,25.35%,25.05%,25.06%,25.06%,25.15%,25.14%,25.16%,25.16%,25.15%,25.14%
No. of Shareholders,"1,442","2,416","2,303","2,721","2,794","2,902","3,355","3,471","3,374","3,505","3,239","3,099"

--- CAGR BOXES ---




