--- ABOUT ---
Accelya Kale Solutions Is a Software solutions provider to the global Airline and Travel Industry.

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,683","1,128","1,527",16.1

Book Value,Dividend Yield,ROCE,ROE
176,7.98,53.6,45.5

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,119,122,127,125,131,128,127,133,137,132,136,133,136
Expenses +,75,73,79,79,81,80,79,85,90,81,88,88,102
Operating Profit,45,49,48,45,50,48,49,48,46,51,48,45,34
OPM %,37%,40%,38%,36%,38%,37%,38%,36%,34%,39%,36%,34%,25%
Other Income +,14,3,2,3,-31,3,3,3,3,3,3,-9,12
Interest,0,0,0,0,0,1,1,1,1,1,2,2,2
Depreciation,8,8,8,7,7,8,8,6,6,8,9,14,15
Profit before tax,50,44,42,40,12,42,44,44,42,46,40,19,30
Tax %,27%,26%,25%,23%,98%,26%,26%,26%,28%,25%,26%,26%,28%
Net Profit +,36,32,32,31,0,31,32,32,30,34,30,14,21
EPS in Rs,24.31,21.51,21.12,20.72,0.13,20.90,21.75,21.68,20.27,22.75,19.84,9.34,14.32
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Jun 2014,Jun 2015,Jun 2016,Jun 2017,Jun 2018,Jun 2019,Jun 2020,Jun 2021,Jun 2022,Jun 2023,Jun 2024,Jun 2025,TTM
Sales +,317,303,341,367,383,433,412,290,368,469,511,529,537
Expenses +,180,188,208,222,233,263,260,205,234,284,319,334,358
Operating Profit,137,115,133,145,150,170,152,86,134,186,193,194,179
OPM %,43%,38%,39%,39%,39%,39%,37%,29%,36%,40%,38%,37%,33%
Other Income +,5,6,9,20,3,9,6,11,8,21,-24,12,8
Interest,0,0,1,0,0,0,6,4,3,2,2,3,8
Depreciation,12,13,13,14,14,17,32,34,35,34,31,28,46
Profit before tax,129,107,128,150,138,162,120,58,103,170,136,175,134
Tax %,35%,37%,35%,35%,36%,34%,28%,27%,26%,26%,31%,26%,
Net Profit +,84,67,83,97,89,106,87,42,76,127,94,129,99
EPS in Rs,56.23,45.16,55.62,65.15,59.75,71.27,58.16,28.27,51.04,84.90,62.88,86.44,66.25
Dividend Payout %,87%,80%,81%,78%,77%,45%,17%,184%,121%,77%,103%,104%,

--- BALANCE SHEET ---
,Jun 2014,Jun 2015,Jun 2016,Jun 2017,Jun 2018,Jun 2019,Jun 2020,Jun 2021,Jun 2022,Jun 2023,Jun 2024,Jun 2025,Dec 2025
Equity Capital,15,15,15,15,15,15,15,15,15,15,15,15,15
Reserves,95,100,98,166,165,183,230,224,248,255,268,263,248
Borrowings +,0,0,0,0,0,0,49,39,25,15,33,62,87
Other Liabilities +,107,96,104,67,76,76,76,66,67,85,95,110,112
Total Liabilities,216,211,217,248,255,274,370,343,355,369,411,449,462
Fixed Assets +,79,75,77,62,69,71,137,125,101,87,63,82,144
CWIP,1,0,0,1,0,1,6,9,2,4,6,15,0
Investments,34,37,24,41,36,17,15,27,52,60,63,77,47
Other Assets +,102,98,116,143,149,185,212,183,200,219,279,276,271
Total Assets,216,211,217,248,255,274,370,343,355,369,411,449,462

--- CASH FLOW ---
,Jun 2014,Jun 2015,Jun 2016,Jun 2017,Jun 2018,Jun 2019,Jun 2020,Jun 2021,Jun 2022,Jun 2023,Jun 2024,Jun 2025
Cash from Operating Activity +,104,66,80,93,111,87,131,87,118,133,156,145
Cash from Investing Activity +,9,-8,-6,-26,-14,-3,-61,-11,-72,14,-65,-8
Cash from Financing Activity +,-114,-57,-69,-73,-94,-86,-53,-66,-64,-132,-94,-146
Net Cash Flow,-1,2,5,-6,3,-3,17,9,-18,15,-4,-9
Free Cash Flow,96,58,59,82,91,62,84,68,101,128,143,126
CFO/OP,109%,86%,95%,98%,110%,85%,113%,120%,108%,97%,106%,100%

--- RATIOS ---
,Jun 2014,Jun 2015,Jun 2016,Jun 2017,Jun 2018,Jun 2019,Jun 2020,Jun 2021,Jun 2022,Jun 2023,Jun 2024,Jun 2025
Debtor Days,44,45,42,66,53,66,67,80,67,60,55,62
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,44,45,42,66,53,66,67,80,67,60,55,62
Working Capital Days,-44,-30,-24,44,34,57,43,54,40,39,37,35
ROCE %,122%,95%,113%,103%,77%,86%,51%,22%,38%,56%,57%,54%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,74.66%,74.66%,74.66%,74.66%,74.66%,74.66%,74.66%,74.66%,74.66%,74.66%,74.66%,74.66%
FIIs +,0.21%,0.26%,0.27%,0.39%,0.28%,0.22%,0.23%,1.83%,2.34%,0.26%,0.30%,0.16%
DIIs +,0.35%,0.38%,0.44%,0.65%,0.65%,0.67%,1.09%,1.09%,0.34%,0.33%,0.05%,0.05%
Public +,24.77%,24.70%,24.62%,24.31%,24.41%,24.45%,24.02%,22.42%,22.66%,24.76%,25.00%,25.12%
No. of Shareholders,"27,188","28,278","31,535","33,673","32,982","32,197","34,269","35,897","35,927","36,127","39,532","39,644"

--- CAGR BOXES ---




