--- ABOUT ---
"Incorporated in 1976, LINC Ltd manufactures and sells Writing instruments and stationeries [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
619,104,159,18.9

Book Value,Dividend Yield,ROCE,ROE
43.3,1.44,19.2,13.3

Face Value
5.00

--- QUARTERLY RESULTS ---
,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,124,141,130,137,122,154,137,139,129,138
Expenses +,110,124,116,121,108,135,124,123,116,120
Operating Profit,14,17,14,16,15,19,13,16,13,18
OPM %,11%,12%,11%,12%,12%,12%,10%,11%,10%,13%
Other Income +,1,3,1,0,1,2,1,2,2,3
Interest,1,1,1,1,1,1,1,1,1,1
Depreciation,4,4,4,4,4,4,4,4,4,4
Profit before tax,10,16,11,12,11,17,10,13,10,16
Tax %,25%,25%,25%,25%,25%,28%,25%,25%,26%,27%
Net Profit +,8,12,8,9,9,12,7,8,7,10
EPS in Rs,1.27,1.94,1.42,1.48,1.47,2.04,1.19,1.42,1.14,1.76
Raw PDF,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2024,Mar 2025,Mar 2026
Sales +,508,543,543
Expenses +,451,479,484
Operating Profit,56,64,59
OPM %,11%,12%,11%
Other Income +,7,5,8
Interest,3,3,3
Depreciation,15,15,15
Profit before tax,46,51,50
Tax %,25%,26%,26%
Net Profit +,34,38,33
EPS in Rs,5.76,6.39,5.50
Dividend Payout %,22%,23%,27%

--- BALANCE SHEET ---
,Mar 2024,Mar 2025,Mar 2026
Equity Capital,15,30,30
Reserves,190,205,228
Borrowings +,26,27,27
Other Liabilities +,77,78,75
Total Liabilities,307,339,359
Fixed Assets +,115,113,107
CWIP,9,15,34
Investments,0,10,10
Other Assets +,183,201,209
Total Assets,307,339,359

--- CASH FLOW ---
,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,38,57,33
Cash from Investing Activity +,-20,-35,-33
Cash from Financing Activity +,-11,-11,-13
Net Cash Flow,7,10,-12
Free Cash Flow,11,40,-0
CFO/OP,88%,109%,79%

--- RATIOS ---
,Mar 2024,Mar 2025,Mar 2026
Debtor Days,38,36,34
Inventory Days,115,104,117
Days Payable,70,64,60
Cash Conversion Cycle,84,76,90
Working Capital Days,58,52,62
ROCE %,,22%,19%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,59.28%,59.28%,59.44%,59.46%,59.50%,59.43%,59.43%,61.02%,61.02%,61.03%,61.02%,61.02%
FIIs +,0.94%,1.43%,1.42%,1.27%,1.04%,1.10%,1.14%,1.06%,0.95%,0.92%,0.92%,0.84%
DIIs +,0.00%,0.38%,0.38%,0.38%,0.38%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Public +,39.78%,38.92%,38.76%,38.88%,39.09%,39.46%,39.43%,37.90%,38.03%,38.05%,38.06%,38.14%
No. of Shareholders,"7,522","8,390","9,694","10,873","11,280","11,479","20,068","19,311","19,654","19,018","18,571","18,082"

--- CAGR BOXES ---




