--- ABOUT ---
"Incorporated in 1992, Arihant Foundations & Housing Ltd is in the business of constructions of residential, commercial complexes and IT parks [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
868,871,"1,477",14.7

Book Value,Dividend Yield,ROCE,ROE
373,0.00,17.5,17.3

Face Value
10.0

--- QUARTERLY RESULTS ---
Cash from Financing Activity +,5,40,-16,-2,-20,209,-166,6,-146,-61,72,239
Net Cash Flow,10,-22,-1,5,-6,18,-16,1,21,-20,14,-4
Free Cash Flow,5,-60,-5,-1,-16,-211,147,-35,147,30,-85,61
CFO/OP,-71%,914%,-58%,385%,"1,392%","1,195%","-2,624%",964%,913%,149%,-89%,91%

--- RATIOS ---
,Dec 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,130,233,264,456,199,322,273,193,252,129,68,66
Inventory Days,,"3,996",,"2,834",,,"2,010","4,072",,"3,441",,316
Days Payable,,"1,230",,719,,,881,"2,738",,"1,395",,65
Cash Conversion Cycle,130,"2,998",264,"2,571",199,322,"1,402","1,526",252,"2,175",68,317
Working Capital Days,347,241,723,569,601,415,342,-195,456,324,294,346
ROCE %,-3%,1%,5%,6%,5%,1%,2%,2%,9%,11%,20%,17%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,42.87%,42.87%,42.87%,42.87%,42.87%,42.87%,37.29%,36.99%,37.29%,37.29%,37.29%,37.29%
DIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.70%,1.84%,1.84%,1.84%,1.84%,1.84%
Public +,57.14%,57.14%,57.13%,57.13%,57.14%,57.14%,61.01%,61.16%,60.86%,60.87%,60.87%,60.86%
No. of Shareholders,"2,989","3,149","3,136","3,136","3,096","3,076","3,286","3,218","3,074","3,368","3,281","3,188"

--- CAGR BOXES ---




