--- ABOUT ---
"Incorporated in 2010, Synergy Green Industries Ltd is into manufacturing of SG & CI Castings. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
911,586,654,180

Book Value,Dividend Yield,ROCE,ROE
71.5,0.17,9.27,4.63

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2025,Dec 2025,Mar 2026
Sales +,97.47,91.82,119.04
Expenses +,82.60,83.55,108.61
Operating Profit,14.87,8.27,10.43
OPM %,15.26%,9.01%,8.76%
Other Income +,0.44,0.71,4.40
Interest,4.49,4.75,6.69
Depreciation,3.15,5.46,7.83
Profit before tax,7.67,-1.23,0.31
Tax %,49.93%,21.14%,-29.03%
Net Profit +,3.84,-1.49,0.41
EPS in Rs,2.47,-0.96,0.26
Raw PDF,,,

--- ANNUAL RESULTS ---
,Mar 2025,Mar 2026
Sales +,362,366
Expenses +,310,327
Operating Profit,52,39
OPM %,14%,11%
Other Income +,1,9
Interest,16,21
Depreciation,13,20
Profit before tax,25,8
Tax %,32%,38%
Net Profit +,17,5
EPS in Rs,10.87,3.00
Dividend Payout %,9%,0%

--- BALANCE SHEET ---
,Mar 2025,Mar 2026
Equity Capital,16,16
Reserves,92,96
Borrowings +,156,250
Other Liabilities +,78,111
Total Liabilities,342,473
Fixed Assets +,100,250
CWIP,34,47
Investments,0,0
Other Assets +,208,176
Total Assets,342,473

--- CASH FLOW ---
,Mar 2025,Mar 2026
Cash from Operating Activity +,-16,19
Cash from Investing Activity +,-87,-94
Cash from Financing Activity +,101,74
Net Cash Flow,-2,-2
Free Cash Flow,-104,-120
CFO/OP,-20%,53%

--- RATIOS ---
,Mar 2025,Mar 2026
Debtor Days,57,65
Inventory Days,136,161
Days Payable,153,182
Cash Conversion Cycle,41,44
Working Capital Days,-51,-43
ROCE %,,9%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,74.02%,74.02%,74.02%,74.02%,74.02%,74.04%,69.76%,69.81%,69.84%,69.39%,69.45%,69.50%
FIIs +,5.11%,4.57%,3.23%,2.60%,2.86%,0.20%,0.27%,0.21%,0.60%,0.42%,0.25%,0.22%
DIIs +,1.80%,1.25%,0.76%,0.76%,0.76%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.51%
Public +,19.06%,20.17%,21.99%,22.61%,22.35%,25.75%,29.96%,29.96%,29.57%,30.20%,30.29%,28.72%
Others +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%
No. of Shareholders,"5,122","4,875","6,512","8,867","9,335","14,956","14,581","13,916","12,929","13,180","12,032","10,897"

--- CAGR BOXES ---




