--- ABOUT ---
"Incorporated in 1968, Blue Jet Healthcare (earlier called Jet Chemicals Pvt Ltd) is a pharmaceutical and healthcare ingredient & intermediate company and the first manufacturer of saccharin and its salts (artificial sweeteners) in India. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"8,892",513,"1,028",63.1

Book Value,Dividend Yield,ROCE,ROE
,0.23,57.3,52.1

Face Value
2.00

--- QUARTERLY RESULTS ---
""
Sales +
Expenses +
Operating Profit
OPM %
Other Income +
Interest
Depreciation
Profit before tax
Tax %
Net Profit +
EPS in Rs
Raw PDF

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021
Sales +,538,499
Expenses +,324,293
Operating Profit,214,206
OPM %,40%,41%
Other Income +,6,4
Interest,7,5
Depreciation,18,20
Profit before tax,194,185
Tax %,25%,26%
Net Profit +,145,136
EPS in Rs,"24,141.67","1,396.49"
Dividend Payout %,0%,0%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021
Equity Capital,0.60,10
Reserves,201,330
Borrowings +,79,53
Other Liabilities +,95,143
Total Liabilities,375,536
Fixed Assets +,107,139
CWIP,2,3
Investments,34,37
Other Assets +,232,358
Total Assets,375,536

--- CASH FLOW ---
,Mar 2020,Mar 2021
Cash from Operating Activity +,123,129
Cash from Investing Activity +,-45,-51
Cash from Financing Activity +,-72,-28
Net Cash Flow,5,51
Free Cash Flow,107,80
CFO/OP,80%,63%

--- RATIOS ---
,Mar 2020,Mar 2021
Debtor Days,80,105
Inventory Days,120,253
Days Payable,90,128
Cash Conversion Cycle,110,231
Working Capital Days,51,88
ROCE %,,57%

--- SHAREHOLDING PATTERN ---
,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,86.00%,86.00%,86.00%,86.00%,86.00%,86.00%,86.00%,79.81%,79.81%,79.81%
FIIs +,2.93%,2.01%,2.02%,2.18%,1.10%,2.28%,1.97%,1.83%,1.14%,0.89%
DIIs +,3.70%,3.04%,2.14%,1.75%,2.02%,1.33%,0.95%,3.63%,4.65%,4.51%
Public +,7.37%,8.97%,9.83%,10.06%,10.87%,10.38%,11.08%,14.74%,14.41%,14.80%
No. of Shareholders,"55,589","48,625","42,882","41,933","43,003","54,581","70,772","80,117","80,187","79,199"

--- CAGR BOXES ---




