--- ABOUT ---
"Incorporated in 2011, SecMark Consultancy Ltd offers services Consulting, Technology and Outsourcing services to financial market participants [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
138,132,161,53.5

Book Value,Dividend Yield,ROCE,ROE
22.4,0.00,11.7,11.7

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,6.16,4.50,6.33,6.47,7.29,5.83,8.79,8.00,12.50,6.65,9.33,7.25,14.30
Expenses +,6.16,7.00,7.40,5.08,3.88,4.63,7.62,7.15,6.40,7.02,7.36,8.98,7.14
Operating Profit,0.00,-2.50,-1.07,1.39,3.41,1.20,1.17,0.85,6.10,-0.37,1.97,-1.73,7.16
OPM %,0.00%,-55.56%,-16.90%,21.48%,46.78%,20.58%,13.31%,10.62%,48.80%,-5.56%,21.11%,-23.86%,50.07%
Other Income +,0.71,0.15,0.16,0.15,0.24,0.19,0.23,0.26,0.21,0.28,0.28,0.29,0.44
Interest,0.14,0.24,0.28,0.29,0.23,0.15,0.11,0.09,0.04,0.06,0.01,0.01,0.16
Depreciation,0.71,1.02,1.02,1.04,1.01,1.04,1.04,1.04,1.02,1.03,1.05,1.08,1.45
Profit before tax,-0.14,-3.61,-2.21,0.21,2.41,0.20,0.25,-0.02,5.25,-1.18,1.19,-2.53,5.99
Tax %,-7.14%,-24.93%,-24.89%,23.81%,23.65%,20.00%,16.00%,-50.00%,24.95%,-24.58%,27.73%,-25.69%,25.04%
Net Profit +,-0.06,-2.71,-1.66,0.02,1.92,0.16,0.21,-0.01,3.93,-0.90,0.86,-1.88,4.49
EPS in Rs,-0.06,-2.61,-1.60,0.02,1.85,0.15,0.20,-0.01,3.77,-0.86,0.82,-1.80,4.30
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,3.24,3.83,5.63,7.59,14.54,17.44,24.59,35.11,37.54
Expenses +,2.01,2.44,4.02,5.81,10.35,22.43,23.36,25.79,30.52
Operating Profit,1.23,1.39,1.61,1.78,4.19,-4.99,1.23,9.32,7.02
OPM %,37.96%,36.29%,28.60%,23.45%,28.82%,-28.61%,5.00%,26.55%,18.70%
Other Income +,0.06,0.07,0.12,0.52,0.63,0.76,0.70,0.89,1.29
Interest,0.04,0.01,0.08,0.08,0.14,0.37,1.04,0.39,0.24
Depreciation,0.07,0.10,0.21,0.22,1.13,2.40,4.08,4.14,4.61
Profit before tax,1.18,1.35,1.44,2.00,3.55,-7.00,-3.19,5.68,3.46
Tax %,27.12%,28.15%,26.39%,21.00%,25.35%,-24.71%,-26.02%,24.30%,25.72%
Net Profit +,0.87,0.97,1.06,1.57,2.64,-5.22,-2.43,4.29,2.57
EPS in Rs,,,1.41,1.52,2.54,-5.03,-2.34,4.12,2.46
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%

--- BALANCE SHEET ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.01,0.01,3.01,4.12,4.15,10.37,10.38,10.41,10.45
Reserves,2.07,3.04,1.20,16.70,19.35,7.97,5.62,10.10,12.96
Borrowings +,0.35,0.42,1.12,0.88,1.25,10.16,11.06,6.56,12.85
Other Liabilities +,0.50,1.45,0.78,1.65,2.43,2.33,4.25,6.77,11.92
Total Liabilities,2.93,4.92,6.11,23.35,27.18,30.83,31.31,33.84,48.18
Fixed Assets +,0.53,1.90,1.75,1.81,10.62,11.41,14.12,10.21,14.24
CWIP,0.00,0.00,0.00,0.00,1.24,0.00,0.08,0.29,0.00
Investments,0.06,0.26,0.26,0.66,0.89,0.27,0.21,0.00,0.00
Other Assets +,2.34,2.76,4.10,20.88,14.43,19.15,16.90,23.34,33.94
Total Assets,2.93,4.92,6.11,23.35,27.18,30.83,31.31,33.84,48.18

--- CASH FLOW ---
