--- ABOUT ---
"Incorporated in 1995, Dynacons Ltd provides IT infrastructure-related activities [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,846","1,449","1,926 / 781",21.8

Book Value,Dividend Yield,ROCE,ROE
247,0.03,29.8,31.0

Face Value
10.0

--- QUARTERLY RESULTS ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,61.10%,61.10%,61.10%,61.00%,61.00%,61.00%,61.00%,60.95%,60.95%,60.95%,60.95%,60.89%
FIIs +,0.00%,0.00%,0.00%,0.06%,0.01%,0.01%,0.81%,0.16%,0.17%,0.28%,0.34%,0.37%
DIIs +,0.00%,0.00%,0.00%,0.23%,0.18%,0.00%,0.00%,0.27%,0.24%,0.11%,0.26%,0.30%
Public +,38.90%,38.90%,38.90%,38.72%,38.80%,38.99%,38.19%,38.63%,38.63%,38.65%,38.45%,38.45%
No. of Shareholders,"19,964","21,973","24,408","27,723","32,774","36,084","38,209","40,699","41,931","41,997","42,368","43,055"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,%
5 Years:,27%
3 Years:,21%
TTM:,12%

Compounded Profit Growth
10 Years:,%
5 Years:,58%
3 Years:,36%
TTM:,17%

Stock Price CAGR
10 Years:,62%
5 Years:,57%
3 Years:,40%
1 Year:,34%

Return on Equity
10 Years:,32%
5 Years:,35%
3 Years:,35%
Last Year:,31%

