--- ABOUT ---
"Incorporated in 1989, Handson Global Management Ltd is in the business of providing Software and IT enabled services [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
66.3,52.6,84.8,

Book Value,Dividend Yield,ROCE,ROE
29.6,0.00,-0.37,-9.91

Face Value
10.0

--- QUARTERLY RESULTS ---
Free Cash Flow,-3.68,-1.44,1.24,9.71,2.53,-2.61,1.66,-0.11,1.54,-3.42,-1.28,-5.74
CFO/OP,189%,-345%,"2,257%","4,686%","1,215%",-139%,97%,15%,118%,-103%,-9%,340%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,95.26,126.24,102.66,115.67,97.31,193.65,187.03,188.67,184.62,187.48,249.02,185.20
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,95.26,126.24,102.66,115.67,97.31,193.65,187.03,188.67,184.62,187.48,249.02,185.20
Working Capital Days,-105.49,-111.31,-159.67,38.92,-9.35,-277.16,-312.48,-279.01,-220.94,-75.63,17.87,133.84
ROCE %,-0.58%,0.09%,0.12%,0.87%,0.12%,0.91%,5.06%,4.70%,19.46%,15.78%,20.13%,-0.37%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,50.41%,50.41%,50.41%,50.41%,50.41%,50.41%,50.41%,50.41%,50.41%,50.41%,50.41%,50.41%
Public +,49.57%,49.58%,49.59%,49.58%,49.59%,49.59%,49.58%,49.58%,49.58%,49.58%,49.59%,49.59%
No. of Shareholders,"9,027","8,631","9,969","9,470","9,411","10,445","10,254","10,175","10,063","9,570","9,273","9,255"

--- CAGR BOXES ---




