--- ABOUT ---
"MTAR develops and manufactures components and equipment for the defense, aerospace, nuclear and clean energy sectors. The company was incorporated in 1970 by the promoters, Mr PR Reddy, Mr KSN Reddy and Mr PJ Reddy, to cater to the technical and engineering needs of the Indian government in the post embargo regime. MTAR has manufacturing footprints in Hyderabad with seven units spread across a 4 km radius and a dedicated export facility as well. [1] In addition, the company also supplies specialised products such as Ball Screws, Water Lubricated Bearings, Roller Screws, Electro-Mechanical Actuation Systems, ASP assemblies etc. that find applications across diverse sectors. [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"25,760","8,374","8,715",266

Book Value,Dividend Yield,ROCE,ROE
267,0.00,15.1,12.5

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,196,153,167,118,143,128,190,174,183,157,136,278,306
Expenses +,147,118,131,95,125,112,153,141,149,128,119,214,244
Operating Profit,49,35,36,24,18,17,37,33,34,28,17,64,62
OPM %,25%,23%,22%,20%,13%,13%,19%,19%,19%,18%,13%,23%,20%
Other Income +,5,4,1,0,0,1,1,3,0,1,4,-1,16
Interest,6,6,5,6,6,5,5,6,6,6,6,8,10
Depreciation,5,6,6,6,6,6,8,9,10,8,9,9,9
Profit before tax,43,27,26,13,7,6,25,21,19,15,6,46,60
Tax %,28%,25%,20%,19%,32%,29%,26%,26%,26%,27%,25%,25%,26%
Net Profit +,31,20,20,10,5,4,19,16,14,11,4,35,44
EPS in Rs,10.10,6.61,6.65,3.40,1.58,1.44,6.10,5.19,4.46,3.51,1.38,11.28,14.40
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,214,246,322,574,581,676,876
Expenses +,156,163,228,420,468,555,705
Operating Profit,58,83,94,154,113,121,171
OPM %,27%,34%,29%,27%,19%,18%,20%
Other Income +,4,1,9,19,6,5,19
Interest,5,7,7,15,22,22,29
Depreciation,12,13,14,19,23,32,35
Profit before tax,46,65,82,140,73,72,126
Tax %,31%,29%,26%,26%,23%,26%,25%
Net Profit +,31,46,61,103,56,53,94
EPS in Rs,11.70,14.98,19.79,33.62,18.24,17.19,30.57
Dividend Payout %,43%,40%,15%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,27,31,31,31,31,31,31
Reserves,198,446,489,589,646,698,792
Borrowings +,29,17,96,143,191,177,377
Other Liabilities +,92,93,112,300,140,224,544
Total Liabilities,346,586,728,"1,063","1,008","1,130","1,743"
Fixed Assets +,155,167,196,291,341,439,514
CWIP,12,11,44,64,73,53,34
Investments,0,0,62,27,0,0,215
Other Assets +,179,409,425,680,594,638,979
Total Assets,346,586,728,"1,063","1,008","1,130","1,743"

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,56,9,-30,7,57,101,197
Cash from Investing Activity +,-12,-22,-145,-87,-56,-103,-353
Cash from Financing Activity +,-41,180,54,32,25,-36,155
Net Cash Flow,3,167,-121,-47,27,-37,-1
Free Cash Flow,44,-14,-121,-100,-36,2,64
CFO/OP,109%,24%,-12%,26%,70%,95%,130%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,105,114,154,133,92,113,140
Inventory Days,382,467,535,524,420,369,399
Days Payable,155,158,179,296,75,113,119
Cash Conversion Cycle,332,423,510,361,436,369,419
Working Capital Days,109,175,191,189,192,168,158
ROCE %,,19%,16%,22%,11%,10%,15%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,39.14%,39.14%,37.26%,37.26%,36.42%,36.42%,31.42%,31.77%,31.65%,31.41%,30.59%,30.44%
FIIs +,4.52%,8.81%,11.02%,10.57%,7.74%,7.81%,7.01%,6.74%,7.57%,9.21%,12.24%,17.31%
DIIs +,28.02%,24.06%,18.97%,18.07%,15.96%,17.28%,23.17%,24.40%,23.51%,24.81%,29.96%,27.66%
Public +,28.32%,27.98%,32.76%,34.10%,39.88%,38.49%,38.39%,37.10%,37.26%,34.58%,27.19%,24.59%
No. of Shareholders,"2,11,227","2,75,168","3,12,462","3,13,019","3,35,068","3,17,125","3,04,480","3,01,097","2,97,581","2,75,940","2,18,461","2,09,273"

--- CAGR BOXES ---




