--- ABOUT ---
"Reliance was founded by Dhirubhai Ambani and is now promoted and managed by his elder son, Mukesh Dhirubhai Ambani. Ambani's family has about 50% shareholding in the conglomerate."

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"17,72,085","1,310","1,612",22.8

Book Value,Dividend Yield,ROCE,ROE
668,0.46,10.3,8.91

Face Value
10.0

--- QUARTERLY RESULTS ---
Free Cash Flow,"-28,588","-8,420","-27,077","-1,495","-50,431","19,324","-76,560","13,646","-16,770","21,212","41,079","70,023"
CFO/OP,109%,112%,129%,126%,65%,116%,37%,105%,85%,105%,115%,113%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,5,6,10,16,19,12,15,12,12,13,16,20
Inventory Days,66,90,84,83,63,67,102,83,87,95,85,88
Days Payable,74,117,132,146,100,87,136,123,91,111,108,84
Cash Conversion Cycle,-2,-21,-38,-46,-18,-9,-19,-27,7,-3,-8,25
Working Capital Days,-64,-148,-179,-179,-108,-158,-58,-56,-66,-53,-68,-66
ROCE %,9%,10%,10%,11%,12%,11%,8%,8%,9%,10%,10%,10%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,50.39%,50.27%,50.30%,50.31%,50.33%,50.24%,50.13%,50.10%,50.07%,50.01%,50.00%,50.00%
FIIs +,22.55%,22.60%,22.13%,22.06%,21.75%,21.30%,19.16%,19.07%,19.21%,18.65%,19.09%,18.67%
DIIs +,16.13%,15.99%,16.59%,16.98%,17.30%,17.61%,19.02%,19.36%,19.72%,20.25%,20.10%,20.46%
Government +,0.17%,0.17%,0.18%,0.19%,0.19%,0.19%,0.18%,0.17%,0.17%,0.17%,0.17%,0.17%
Public +,10.76%,10.98%,10.80%,10.46%,10.43%,10.67%,11.52%,11.29%,10.84%,10.92%,10.64%,10.70%
No. of Shareholders,"35,06,867","36,98,648","36,13,814","34,63,276","34,93,125","38,34,968","47,14,959","47,65,728","44,35,756","43,93,764","42,06,159","44,21,289"

--- CAGR BOXES ---




