--- ABOUT ---
"AGL is engaged in City Gas Distribution (CGD) business and supplies natural gas to domestic, commercial, industrial and vehicle users."

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"79,989",727,860,123

Book Value,Dividend Yield,ROCE,ROE
44.2,0.03,15.3,14.4

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,115","1,056","1,096","1,156","1,167","1,145","1,219","1,294","1,341","1,379","1,451","1,507","1,557"
Expenses +,926,808,816,868,879,851,913,"1,030","1,075","1,085","1,156","1,202","1,256"
Operating Profit,189,248,280,288,288,295,306,265,266,293,295,305,301
OPM %,17%,23%,26%,25%,25%,26%,25%,20%,20%,21%,20%,20%,19%
Other Income +,9,10,15,18,19,9,16,8,14,12,12,12,24
Interest,32,24,27,31,29,26,23,27,24,28,26,41,35
Depreciation,31,33,38,39,49,46,51,53,53,56,62,62,63
Profit before tax,136,201,230,236,229,232,247,192,204,222,219,214,227
Tax %,28%,25%,25%,25%,27%,26%,25%,26%,24%,26%,25%,26%,26%
Net Profit +,98,150,173,177,168,172,186,142,155,165,163,159,168
EPS in Rs,0.89,1.37,1.57,1.61,1.53,1.56,1.69,1.29,1.41,1.50,1.49,1.44,1.53
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,374","1,719","1,875","1,696","3,038","4,378","4,475","5,000","5,894"
Expenses +,"1,008","1,264","1,280",991,"2,265","3,508","3,371","3,862","4,700"
Operating Profit,366,455,595,704,773,870,"1,104","1,137","1,195"
OPM %,27%,26%,32%,42%,25%,20%,25%,23%,20%
Other Income +,80,59,44,30,46,54,62,42,60
Interest,125,90,41,40,53,78,111,101,129
Depreciation,61,67,51,63,83,113,158,204,243
Profit before tax,259,357,547,631,684,733,896,875,882
Tax %,36%,36%,20%,25%,26%,25%,26%,25%,26%
Net Profit +,162,229,436,463,509,546,668,654,656
EPS in Rs,6.31,2.08,3.97,4.21,4.63,4.97,6.07,5.95,5.96
Dividend Payout %,0%,12%,6%,6%,5%,5%,4%,4%,4%

--- BALANCE SHEET ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,257,110,110,110,110,110,110,110,110
Reserves,759,992,"1,361","1,824","2,306","2,831","3,470","4,097","4,755"
Borrowings +,"1,345",394,428,529,"1,035","1,422","1,557","1,834","2,255"
Other Liabilities +,442,552,577,741,964,"1,282","1,454","1,624","2,428"
Total Liabilities,"2,803","2,048","2,476","3,204","4,415","5,645","6,592","7,665","9,549"
Fixed Assets +,897,980,"1,198","1,379","1,733","2,335","3,174","3,651","4,314"
CWIP,102,190,342,696,"1,171","1,619","1,502","1,872","2,001"
Investments,180,176,282,417,634,682,706,811,"1,690"
Other Assets +,"1,624",701,655,711,878,"1,010","1,209","1,331","1,544"
Total Assets,"2,803","2,048","2,476","3,204","4,415","5,645","6,592","7,665","9,549"

--- CASH FLOW ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,277,356,492,654,732,853,955,964,"1,149"
Cash from Investing Activity +,-988,791,-461,-770,"-1,133","-1,167",-752,-933,"-1,236"
Cash from Financing Activity +,779,"-1,077",-102,39,422,295,-78,56,116
Net Cash Flow,68,70,-71,-78,21,-19,125,87,29
Free Cash Flow,137,115,51,47,-218,-323,156,23,161
CFO/OP,100%,105%,105%,112%,114%,116%,103%,100%,110%

--- RATIOS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,38,18,12,22,22,26,33,31,26
Inventory Days,18,15,14,25,15,11,,,
Days Payable,57,35,28,55,31,36,,,
Cash Conversion Cycle,-2,-2,-2,-8,6,1,33,31,26
Working Capital Days,52,5,-24,-128,-137,-142,-101,-67,-99
ROCE %,,24%,34%,31%,25%,21%,21%,17%,15%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,74.80%,74.80%,74.80%,74.80%,74.80%,74.80%,74.80%,74.80%,74.80%,74.80%,74.80%,74.80%
FIIs +,14.08%,13.94%,13.06%,13.13%,12.96%,13.07%,13.06%,13.22%,13.02%,12.88%,12.81%,12.75%
DIIs +,6.15%,6.15%,6.14%,6.12%,6.15%,6.13%,6.27%,6.23%,6.31%,6.23%,6.25%,6.26%
Public +,4.97%,5.11%,5.98%,5.93%,6.08%,5.99%,5.85%,5.74%,5.87%,6.07%,6.14%,6.18%
No. of Shareholders,"4,82,919","4,94,186","6,53,417","6,31,022","6,55,643","6,25,899","6,43,039","6,41,091","6,32,842","6,34,539","6,18,119","6,36,149"

--- CAGR BOXES ---




