--- ABOUT ---
"Incorporated in 1939, The Ugar Sugar Works Ltd manufactures and sells sugar, industrial and potable alcohol, and does generation and distribution of electricity [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
446,39.6,52.5 / 33.1,6.51

Book Value,Dividend Yield,ROCE,ROE
15.4,0.25,27.3,60.2

Face Value
1.00

--- QUARTERLY RESULTS ---
,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023
Sales +,191,235,320,222,253,299,363,335,256,594,608,188,234
Expenses +,194,189,296,223,246,234,335,311,253,518,503,182,254
Operating Profit,-3,46,24,-1,7,64,29,24,3,75,105,6,-20
OPM %,-1%,19%,7%,-0%,3%,22%,8%,7%,1%,13%,17%,3%,-9%
Other Income +,1,1,4,0,0,1,1,2,0,2,2,2,4
Interest,9,10,12,13,11,10,11,14,12,9,13,9,9
Depreciation,3,3,3,3,3,3,3,3,4,5,6,7,7
Profit before tax,-14,34,12,-16,-6,53,16,9,-12,63,89,-8,-32
Tax %,-4%,4%,14%,7%,-7%,3%,6%,33%,10%,28%,26%,20%,2%
Net Profit +,-14,33,10,-17,-6,51,15,6,-13,46,65,-9,-33
EPS in Rs,-1.23,2.92,0.92,-1.50,-0.52,4.55,1.32,0.51,-1.20,4.05,5.80,-0.81,-2.95
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales +,750,870,956,"1,137","1,794","1,624"
Expenses +,700,802,888,"1,038","1,586","1,458"
Operating Profit,50,68,68,99,208,166
OPM %,7%,8%,7%,9%,12%,10%
Other Income +,9,3,6,2,6,10
Interest,38,43,43,44,48,40
Depreciation,15,14,12,11,18,25
Profit before tax,5,14,19,46,148,112
Tax %,21%,1%,8%,7%,31%,
Net Profit +,4,14,17,43,103,68
EPS in Rs,0.39,1.22,1.52,3.85,9.16,6.09
Dividend Payout %,0%,8%,13%,6%,5%,

--- BALANCE SHEET ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Sep 2023
Equity Capital,11,11,11,11,11,11
Reserves,40,54,69,111,210,161
Borrowings +,409,514,610,700,400,225
Other Liabilities +,423,252,203,342,296,232
Total Liabilities,883,831,893,"1,164",916,630
Fixed Assets +,152,137,128,119,224,250
CWIP,0,1,3,112,38,33
Investments,4,4,4,4,4,4
Other Assets +,726,689,759,929,651,343
Total Assets,883,831,893,"1,164",916,630

--- CASH FLOW ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Cash from Operating Activity +,,45,-78,93,394
Cash from Investing Activity +,,-1,-6,-131,-48
Cash from Financing Activity +,,-37,79,39,-346
Net Cash Flow,,7,-5,1,-0
Free Cash Flow,,43,-84,-39,335
CFO/OP,,66%,-115%,97%,203%

--- RATIOS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Debtor Days,14,5,19,29,38
Inventory Days,407,330,314,331,98
Days Payable,128,96,57,96,40
Cash Conversion Cycle,293,239,276,263,96
Working Capital Days,-45,-13,7,3,15
ROCE %,,11%,10%,12%,27%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,44.36%,44.34%,44.34%,44.45%,44.45%,44.41%,44.81%,46.57%,46.73%,47.03%,46.75%,44.54%
FIIs +,2.26%,3.62%,2.57%,2.05%,1.57%,0.61%,0.50%,0.38%,0.67%,0.19%,0.17%,0.19%
DIIs +,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Public +,53.39%,52.03%,53.08%,53.50%,53.97%,54.98%,54.69%,53.05%,52.60%,52.78%,53.07%,55.26%
No. of Shareholders,"53,802","58,988","63,471","66,327","65,482","61,830","61,146","61,788","62,151","63,874","72,337","72,687"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,%
5 Years:,%
3 Years:,27%
TTM:,30%

Compounded Profit Growth
10 Years:,%
5 Years:,%
3 Years:,96%
TTM:,17%

Stock Price CAGR
10 Years:,-1%
5 Years:,6%
3 Years:,-32%
1 Year:,-13%

Return on Equity
10 Years:,%
5 Years:,40%
3 Years:,47%
Last Year:,60%

