--- ABOUT ---
"G M Breweries Ltd, set up in 1981 manufactures and markets Alcoholic Beverages such as Country Liquor (CL) and Indian-made Foreign Liquor (IMFL). [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,103",920,"1,329",16.7

Book Value,Dividend Yield,ROCE,ROE
472,0.98,18.0,12.5

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2025,Dec 2025,Mar 2026
Sales +,169,202,202
Expenses +,141,150,150
Operating Profit,29,53,52
OPM %,17%,26%,26%
Other Income +,40,5,17
Interest,0,0,0
Depreciation,1,1,2
Profit before tax,68,56,68
Tax %,12%,25%,21%
Net Profit +,60,42,54
EPS in Rs,26.46,18.39,23.67
Raw PDF,,,

--- ANNUAL RESULTS ---
,Mar 2025,Mar 2026
Sales +,637,748
Expenses +,519,567
Operating Profit,118,181
OPM %,18%,24%
Other Income +,48,30
Interest,1,0
Depreciation,5,5
Profit before tax,160,205
Tax %,19%,24%
Net Profit +,129,157
EPS in Rs,56.48,68.64
Dividend Payout %,13%,13%

--- BALANCE SHEET ---
,Mar 2025,Mar 2026
Equity Capital,23,23
Reserves,916,"1,055"
Borrowings +,0,0
Other Liabilities +,159,147
Total Liabilities,"1,098","1,225"
Fixed Assets +,291,257
CWIP,0,47
Investments,590,570
Other Assets +,217,351
Total Assets,"1,098","1,225"

--- CASH FLOW ---
,Mar 2025,Mar 2026
Cash from Operating Activity +,162,-96
Cash from Investing Activity +,-149,114
Cash from Financing Activity +,-13,-17
Net Cash Flow,-0,1
Free Cash Flow,116,-114
CFO/OP,164%,-26%

--- RATIOS ---
,Mar 2025,Mar 2026
Debtor Days,2,1
Inventory Days,46,44
Days Payable,27,14
Cash Conversion Cycle,21,31
Working Capital Days,-41,19
ROCE %,,18%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,74.43%,74.43%,74.43%,74.43%,74.43%,74.43%,74.43%,74.43%,74.43%,74.43%,74.43%,74.43%
FIIs +,0.30%,0.34%,0.30%,0.36%,0.63%,0.34%,0.37%,0.32%,0.44%,0.37%,1.20%,1.19%
DIIs +,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.15%,0.01%
Public +,25.26%,25.24%,25.27%,25.22%,24.94%,25.22%,25.20%,25.25%,25.12%,25.18%,24.22%,24.39%
No. of Shareholders,"32,137","32,309","32,337","33,605","39,890","46,665","46,896","48,928","49,406","49,026","47,207","47,363"

--- CAGR BOXES ---




