--- ABOUT ---
"Incorporated in 1989, GPT Healthcare Ltd is engaged in running hospitals and providing medical services [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,213",148,185,29.1

Book Value,Dividend Yield,ROCE,ROE
,1.69,23.6,28.5

Face Value
10.0

--- QUARTERLY RESULTS ---
""
Sales +
Expenses +
Operating Profit
OPM %
Other Income +
Interest
Depreciation
Profit before tax
Tax %
Net Profit +
EPS in Rs
Raw PDF

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022
Sales +,212,243,337
Expenses +,176,194,263
Operating Profit,36,49,74
OPM %,17%,20%,22%
Other Income +,4,6,5
Interest,14,14,11
Depreciation,11,12,14
Profit before tax,15,29,54
Tax %,26%,27%,23%
Net Profit +,11,21,42
EPS in Rs,6.11,11.76,5.22
Dividend Payout %,0%,47%,115%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022
Equity Capital,18,18,80
Reserves,109,116,78
Borrowings +,157,166,96
Other Liabilities +,25,18,70
Total Liabilities,308,317,323
Fixed Assets +,226,220,220
CWIP,2,0,1
Investments,1,1,10
Other Assets +,80,97,92
Total Assets,308,317,323

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022
Cash from Operating Activity +,41,43,66
Cash from Investing Activity +,-54,-16,-5
Cash from Financing Activity +,12,-22,-57
Net Cash Flow,-1,4,3
Free Cash Flow,-5,38,59
CFO/OP,116%,88%,107%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022
Debtor Days,30,26,15
Inventory Days,60,41,30
Days Payable,314,165,121
Cash Conversion Cycle,-224,-98,-76
Working Capital Days,-4,32,3
ROCE %,,14%,24%

--- SHAREHOLDING PATTERN ---
,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,65.57%,65.57%,65.57%,65.57%,65.57%,65.57%,65.57%,65.57%,65.57%
FIIs +,6.68%,5.38%,4.70%,4.71%,4.49%,4.96%,3.20%,2.73%,2.81%
DIIs +,11.61%,11.88%,10.80%,11.30%,11.35%,9.33%,6.45%,6.20%,6.84%
Public +,16.14%,17.16%,18.92%,18.41%,18.59%,20.14%,24.77%,25.48%,24.79%
No. of Shareholders,"76,664","71,293","74,737","70,147","68,365","67,060","67,617","66,626","64,075"

--- CAGR BOXES ---




