--- ABOUT ---
"Incorporated in 2019, Allcargo Terminals Ltd is in the business of Container Freight Stations and Inland Container Depots [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
653,24.5,38.0,14.6

Book Value,Dividend Yield,ROCE,ROE
12.1,0.00,11.6,14.4

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,183.74,180.69,185.38,185.15,181.76,189.64,194.90,187.34,185.93,187.25,207.16,218.35,208.04
Expenses +,157.35,151.70,153.01,155.85,155.09,159.62,162.46,154.86,152.38,152.65,166.83,175.75,164.02
Operating Profit,26.39,28.99,32.37,29.30,26.67,30.02,32.44,32.48,33.55,34.60,40.33,42.60,44.02
OPM %,14.36%,16.04%,17.46%,15.83%,14.67%,15.83%,16.64%,17.34%,18.04%,18.48%,19.47%,19.51%,21.16%
Other Income +,8.12,2.01,2.41,6.82,5.45,2.46,1.87,1.42,2.46,8.43,4.47,2.54,3.16
Interest,6.75,7.07,6.97,6.95,7.22,7.20,7.08,8.51,10.81,14.30,14.52,13.07,16.46
Depreciation,12.41,13.35,13.29,13.66,13.92,13.80,13.40,12.80,15.72,15.21,15.82,16.04,20.72
Profit before tax,15.35,10.58,14.52,15.51,10.98,11.48,13.83,12.59,9.48,13.52,14.46,16.03,10.00
Tax %,17.92%,14.93%,17.91%,6.06%,16.03%,16.90%,18.15%,6.51%,125.32%,32.62%,21.85%,6.24%,12.30%
Net Profit +,12.60,9.00,11.91,14.57,9.22,9.55,11.32,11.77,-2.40,9.11,11.30,15.03,8.77
EPS in Rs,,0.32,0.42,0.51,0.31,0.33,0.39,0.41,-0.06,0.31,0.39,0.51,0.30
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,128,706,733,758,821
Expenses +,115,562,615,629,659
Operating Profit,14,144,118,129,162
OPM %,11%,20%,16%,17%,20%
Other Income +,1,15,16,8,19
Interest,2,32,28,34,58
Depreciation,6,51,54,56,68
Profit before tax,6,76,52,47,54
Tax %,36%,22%,13%,36%,18%
Net Profit +,4,59,45,30,44
EPS in Rs,,,1.56,1.07,1.51
Dividend Payout %,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.00,0.00,49,49,52
Reserves,3,206,189,219,300
Borrowings +,113,414,419,548,769
Other Liabilities +,72,154,125,139,127
Total Liabilities,188,774,782,955,"1,248"
Fixed Assets +,97,508,498,522,834
CWIP,0,1,0,0,2
Investments,0,36,72,214,192
Other Assets +,91,230,211,219,220
Total Assets,188,774,782,955,"1,248"

--- CASH FLOW ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,1,125,99,108,157
Cash from Investing Activity +,-90,-13,-39,-130,8
Cash from Financing Activity +,98,-108,-53,18,-173
Net Cash Flow,9,4,8,-4,-8
Free Cash Flow,1,114,77,102,145
CFO/OP,37%,98%,98%,99%,103%

--- RATIOS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,58,28,22,23,23
Inventory Days,,,,,
Days Payable,,,,,
Cash Conversion Cycle,58,28,22,23,23
Working Capital Days,-48,-25,-33,-37,-4
ROCE %,,28%,12%,12%,12%

--- SHAREHOLDING PATTERN ---
,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,69.91%,69.91%,69.91%,68.13%,67.52%,67.52%,67.52%,65.82%,65.82%,67.17%,67.17%
FIIs +,8.21%,7.61%,7.05%,7.00%,6.84%,6.82%,6.23%,5.36%,5.35%,5.32%,5.34%
DIIs +,1.93%,0.75%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.06%,0.10%,0.21%
Public +,19.93%,21.71%,23.02%,24.87%,25.63%,25.65%,26.24%,28.79%,28.76%,27.41%,27.28%
No. of Shareholders,"67,547","76,044","80,289","82,572","84,621","82,509","80,755","78,522","78,169","77,269","75,723"

--- CAGR BOXES ---




