--- ABOUT ---
"Incorporated in 1995, Globe Textiles (India) Ltd is involved in trading and manufacturing of textile products [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
103,2.28,3.29,9.36

Book Value,Dividend Yield,ROCE,ROE
3.24,0.00,10.9,7.51

Face Value
2.00

--- QUARTERLY RESULTS ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,136.40,110.88,103.67,107.94,124.42,147.96,151.59,130.02,148.28,156.56,159.46,178.10
Expenses +,133.52,103.91,99.00,105.91,118.99,140.88,145.71,123.23,140.41,149.11,150.34,172.43
Operating Profit,2.88,6.97,4.67,2.03,5.43,7.08,5.88,6.79,7.87,7.45,9.12,5.67
OPM %,2.11%,6.29%,4.50%,1.88%,4.36%,4.79%,3.88%,5.22%,5.31%,4.76%,5.72%,3.18%
Other Income +,4.64,0.28,2.94,7.66,3.20,2.23,2.73,0.68,0.17,2.00,1.07,1.91
Interest,3.42,3.62,4.03,3.70,3.80,3.51,3.57,4.92,4.32,4.05,4.55,4.63
Depreciation,1.21,1.19,1.24,1.21,1.26,1.30,1.30,1.26,1.25,1.24,1.25,1.23
Profit before tax,2.89,2.44,2.34,4.78,3.57,4.50,3.74,1.29,2.47,4.16,4.39,1.72
Tax %,22.49%,22.54%,18.80%,40.79%,23.81%,15.56%,22.19%,95.35%,43.32%,-7.45%,53.99%,26.74%
Net Profit +,2.24,1.88,1.90,2.84,2.71,3.80,2.92,0.06,1.40,4.46,2.02,1.27
EPS in Rs,0.04,0.04,0.04,0.07,0.06,0.08,0.06,0.00,0.03,0.10,0.04,0.03
Raw PDF,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2024,Mar 2025,Mar 2026
Sales +,459,554,642
Expenses +,441,529,610
Operating Profit,17,25,33
OPM %,4%,5%,5%
Other Income +,15,9,3
Interest,15,16,18
Depreciation,5,5,5
Profit before tax,12,13,13
Tax %,29%,28%,28%
Net Profit +,9,10,9
EPS in Rs,0.20,0.21,0.20
Dividend Payout %,-0%,-0%,-0%

--- BALANCE SHEET ---
,Mar 2024,Mar 2025,Mar 2026
Equity Capital,60,90,90
Reserves,57,56,56
Borrowings +,121,148,167
Other Liabilities +,76,91,99
Total Liabilities,314,385,412
Fixed Assets +,66,77,61
CWIP,3,0,0
Investments,-0,-0,-0
Other Assets +,244,308,350
Total Assets,314,385,412

--- CASH FLOW ---
,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,12,-18,-4
Cash from Investing Activity +,-1,-36,2
Cash from Financing Activity +,-11,54,1
Net Cash Flow,0,0,-0
Free Cash Flow,10,-21,-2
CFO/OP,92%,-59%,-5%

--- RATIOS ---
,Mar 2024,Mar 2025,Mar 2026
Debtor Days,89,107,110
Inventory Days,101,95,92
Days Payable,62,61,52
Cash Conversion Cycle,128,142,150
Working Capital Days,45,49,51
ROCE %,,10%,11%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,40.91%,40.91%,40.91%,42.11%,42.11%,42.11%,42.11%,31.78%,31.78%,32.84%,34.35%,34.35%
FIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.08%,0.08%,0.00%,0.00%
Public +,59.09%,59.09%,59.09%,57.89%,57.89%,57.89%,57.87%,68.22%,68.14%,67.08%,65.65%,65.65%
No. of Shareholders,"52,040","57,494","55,708","57,085","68,545","68,545","76,143","81,681","80,567","79,320","77,505","74,801"

--- CAGR BOXES ---




