--- ABOUT ---
"Bayer CropScience is engaged in Agri Care business which primarily includes manufacture, sale and distribution of insecticides, fungicides, herbicide and various other agrochemical products and corn seeds. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"19,188","4,270","6,540",390

Book Value,Dividend Yield,ROCE,ROE
84.5,2.93,20.1,15.8

Face Value
10.0

--- QUARTERLY RESULTS ---
,Dec 2005,Dec 2006
Sales +,223,242
Expenses +,194,225
Operating Profit,29,18
OPM %,13%,7%
Other Income +,7,18
Interest,2,3
Depreciation,6,6
Profit before tax,27,27
Tax %,71%,36%
Net Profit +,8,17
EPS in Rs,1.97,4.37
Raw PDF,,

--- ANNUAL RESULTS ---
,Dec 2005,Dec 2006
Sales +,667,727
Expenses +,610,692
Operating Profit,57,35
OPM %,9%,5%
Other Income +,50,84
Interest,8,9
Depreciation,23,23
Profit before tax,77,87
Tax %,50%,36%
Net Profit +,38,55
EPS in Rs,9.71,14.03
Dividend Payout %,23%,17%

--- BALANCE SHEET ---
,Dec 2005,Dec 2006
Equity Capital,40,40
Reserves,250,294
Borrowings +,120,112
Other Liabilities +,436,468
Total Liabilities,846,914
Fixed Assets +,161,153
CWIP,8,4
Investments,4,4
Other Assets +,674,754
Total Assets,846,914

--- CASH FLOW ---
,Dec 2005,Dec 2006
Cash from Operating Activity +,-12,38
Cash from Investing Activity +,-34,-16
Cash from Financing Activity +,25,-26
Net Cash Flow,-21,-4
Free Cash Flow,-56,21
CFO/OP,43%,208%

--- RATIOS ---
,Dec 2005,Dec 2006
Debtor Days,94,108
Inventory Days,186,163
Days Payable,170,139
Cash Conversion Cycle,111,133
Working Capital Days,112,128
ROCE %,,20%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,71.44%,71.44%,71.44%,71.44%,71.44%,71.44%,71.44%,71.44%,71.44%,71.44%,71.44%,71.44%
FIIs +,3.18%,3.30%,3.53%,3.62%,3.63%,3.30%,3.42%,3.49%,3.64%,3.80%,3.84%,3.89%
DIIs +,13.06%,13.23%,12.70%,12.80%,12.47%,12.08%,11.69%,11.56%,11.38%,11.22%,11.47%,11.89%
Public +,12.32%,12.05%,12.33%,12.15%,12.47%,13.18%,13.45%,13.53%,13.55%,13.56%,13.27%,12.79%
No. of Shareholders,"48,404","45,329","46,907","45,852","46,201","51,289","54,289","54,216","55,753","58,109","58,571","55,795"

--- CAGR BOXES ---




