--- ABOUT ---
Manorama Industries is engaged in manufacturing specialty fats and butter made from exotic seeds and nuts. [1]

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"9,304","1,558","1,774",41.4

Book Value,Dividend Yield,ROCE,ROE
114,0.04,35.0,39.4

Face Value
2.00

--- QUARTERLY RESULTS ---
,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,195,209,233,290,323,363,391
Expenses +,151,155,172,215,236,260,294
Operating Profit,44,54,61,75,88,102,97
OPM %,23%,26%,26%,26%,27%,28%,25%
Other Income +,3,4,10,6,1,12,-7
Interest,8,11,12,9,8,11,9
Depreciation,6,6,6,6,6,6,7
Profit before tax,34,41,52,65,74,96,74
Tax %,25%,26%,24%,28%,26%,25%,29%
Net Profit +,26,30,40,47,55,72,52
EPS in Rs,4.32,5.11,6.72,7.87,9.19,12.10,8.79
Raw PDF,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2025,Mar 2026
Sales +,771,"1,367"
Expenses +,584,"1,005"
Operating Profit,186,361
OPM %,24%,26%
Other Income +,21,10
Interest,39,38
Depreciation,22,26
Profit before tax,146,308
Tax %,25%,27%
Net Profit +,110,225
EPS in Rs,18.42,37.67
Dividend Payout %,3%,2%

--- BALANCE SHEET ---
,Mar 2025,Mar 2026
Equity Capital,12,12
Reserves,448,670
Borrowings +,482,356
Other Liabilities +,41,162
Total Liabilities,983,"1,200"
Fixed Assets +,176,196
CWIP,5,18
Investments,0,0
Other Assets +,802,985
Total Assets,983,"1,200"

--- CASH FLOW ---
,Mar 2025,Mar 2026
Cash from Operating Activity +,-57,250
Cash from Investing Activity +,-34,-78
Cash from Financing Activity +,93,-165
Net Cash Flow,2,7
Free Cash Flow,-89,196
CFO/OP,-15%,92%

--- RATIOS ---
,Mar 2025,Mar 2026
Debtor Days,48,17
Inventory Days,518,362
Days Payable,14,45
Cash Conversion Cycle,552,334
Working Capital Days,103,98
ROCE %,,35%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,57.26%,57.26%,57.26%,57.26%,57.26%,57.26%,54.42%,54.42%,54.41%,54.32%,54.32%,54.32%
FIIs +,2.60%,2.80%,2.81%,2.53%,2.16%,2.37%,2.53%,2.81%,3.40%,2.52%,2.71%,2.89%
DIIs +,3.40%,3.27%,2.55%,2.51%,1.74%,1.79%,4.70%,5.14%,4.61%,4.45%,3.61%,3.00%
Public +,36.75%,36.69%,37.40%,37.69%,38.83%,38.58%,38.35%,37.64%,37.56%,38.71%,39.36%,39.78%
No. of Shareholders,"6,499","6,712","8,048","14,279","14,040","14,506","18,152","19,938","24,617","32,671","34,703","36,335"

--- CAGR BOXES ---




