--- ABOUT ---
"Ador Welding Ltd is a  leading player in the field of Welding Products, Technologies and Services. It is also engaged in providing customized solutions for multi-disciplinary projects and contracts related to refineries, oil and gas, petrochemicals and other sectors. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,117","1,216","1,260 / 848",25.2

Book Value,Dividend Yield,ROCE,ROE
319,1.64,22.5,15.8

Face Value
10.0

--- QUARTERLY RESULTS ---
,Sep 2022,Dec 2022,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,185,199,277,261,297,269,269,274,310,252,281,288,319
Expenses +,170,174,242,235,265,242,249,251,279,256,246,244,272
Operating Profit,15,24,36,27,32,27,20,23,31,-4,35,44,47
OPM %,8%,12%,13%,10%,11%,10%,7%,8%,10%,-2%,12%,15%,15%
Other Income +,2,2,4,5,7,5,-5,4,4,5,4,-2,9
Interest,0,1,1,1,1,1,1,1,1,1,1,0,0
Depreciation,3,3,4,4,4,4,4,5,5,5,5,5,5
Profit before tax,13,22,35,26,34,27,9,21,29,-5,34,36,50
Tax %,25%,26%,26%,29%,24%,26%,28%,28%,38%,-22%,26%,26%,32%
Net Profit +,10,16,26,19,25,20,7,15,18,-4,25,27,34
EPS in Rs,7.34,12.03,19.08,13.76,18.66,14.60,4.93,8.85,10.39,-2.27,14.37,15.35,19.65
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2024,Mar 2025,Mar 2026
Sales +,371,388,408,442,458,513,526,448,661,"1,074","1,123","1,140"
Expenses +,344,360,366,411,423,468,484,425,601,955,"1,019","1,019"
Operating Profit,27,28,42,31,35,46,42,22,61,119,104,121
OPM %,7%,7%,10%,7%,8%,9%,8%,5%,9%,11%,9%,11%
Other Income +,-8,34,3,9,10,10,9,-17,14,19,7,15
Interest,2,1,2,2,6,11,10,8,6,6,6,2
Depreciation,12,13,12,11,10,10,11,11,11,16,18,19
Profit before tax,4,48,32,27,28,36,31,-14,58,117,87,115
Tax %,216%,33%,29%,34%,34%,31%,14%,-26%,22%,26%,31%,29%
Net Profit +,-5,32,22,18,18,25,26,-10,45,86,60,82
EPS in Rs,-3.76,23.43,16.47,13.13,13.54,18.05,19.21,-7.63,33.21,63.58,34.51,47.11
Dividend Payout %,-133%,21%,30%,38%,37%,36%,34%,-0%,38%,39%,58%,49%

--- BALANCE SHEET ---
,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2024,Mar 2025,Mar 2026
Equity Capital,14,14,14,14,14,14,14,14,14,14,17,17
Reserves,155,189,203,221,231,248,234,224,268,459,490,537
Borrowings +,19,0,0,36,81,65,82,29,2,45,2,3
Other Liabilities +,93,82,118,107,102,103,108,108,109,163,184,274
Total Liabilities,280,285,335,378,428,429,437,375,393,681,694,832
Fixed Assets +,77,97,100,102,103,116,125,117,117,157,197,204
CWIP,2,2,1,4,1,1,0,3,7,25,4,3
Investments,14,6,12,11,2,4,4,11,20,39,32,47
Other Assets +,188,179,222,261,322,309,308,244,248,459,461,577
Total Assets,280,285,335,378,428,429,437,375,393,681,694,832

--- CASH FLOW ---
,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,21,1,23,0,-37,64,14,79,26,58,137,116
Cash from Investing Activity +,-1,-9,-4,-12,0,-19,-22,-7,-5,-44,-17,-66
Cash from Financing Activity +,-3,-9,-9,19,32,-33,-13,-61,-31,-19,-94,-38
Net Cash Flow,17,-17,10,7,-4,11,-22,12,-10,-5,26,12
Free Cash Flow,8,-5,8,-16,-46,45,-8,71,28,16,98,94
CFO/OP,111%,23%,81%,33%,-77%,162%,57%,346%,67%,77%,155%,123%

--- RATIOS ---
,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2024,Mar 2025,Mar 2026
Debtor Days,77,78,107,63,73,60,90,86,51,61,63,74
Inventory Days,77,59,58,56,60,52,62,70,70,77,64,78
Days Payable,81,57,109,85,84,67,72,87,60,45,63,100
Cash Conversion Cycle,72,81,56,34,50,45,79,69,61,93,64,53
Working Capital Days,40,61,67,63,81,66,56,42,54,56,58,63
ROCE %,10%,10%,17%,12%,11%,14%,12%,6%,20%,,20%,22%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,56.90%,56.90%,56.90%,56.90%,56.94%,56.94%,53.24%,53.71%,53.71%,53.73%,53.74%,53.76%
FIIs +,0.22%,0.13%,0.30%,0.10%,0.06%,0.05%,0.06%,0.03%,0.07%,0.09%,0.14%,0.37%
DIIs +,2.79%,4.02%,4.43%,5.74%,10.21%,12.00%,10.31%,11.00%,11.85%,12.44%,12.56%,12.63%
Public +,40.08%,38.96%,38.38%,37.25%,32.78%,31.02%,36.39%,35.27%,34.37%,33.76%,33.57%,33.26%
No. of Shareholders,"23,209","28,059","30,274","32,575","29,283","30,665","41,468","40,702","38,889","37,949","36,356","35,567"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,11%
5 Years:,21%
3 Years:,%
TTM:,2%

Compounded Profit Growth
10 Years:,13%
5 Years:,40%
3 Years:,%
TTM:,24%

Stock Price CAGR
10 Years:,16%
5 Years:,15%
3 Years:,3%
1 Year:,21%

Return on Equity
10 Years:,%
5 Years:,%
3 Years:,16%
Last Year:,16%

