--- ABOUT ---
Ruchi Soya Industries Limited is engaged primarily in the business of processing of oil-seeds and refining of  oil for edible use.

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"45,886",422,654 / 408,22.8

Book Value,Dividend Yield,ROCE,ROE
120,0.83,12.0,16.5

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2025,Mar 2026
Debtor Days,38,53,40,59,67,78,82,101,9,8,17,22
Inventory Days,46,73,56,48,53,40,32,27,42,42,81,76
Days Payable,87,88,60,71,86,82,82,107,91,62,34,24
Cash Conversion Cycle,-3,38,36,36,34,36,33,21,-40,-13,64,74
Working Capital Days,19,-28,-35,-44,-3,1,-36,-88,-323,-311,52,52
ROCE %,12%,11%,12%,11%,9%,10%,1%,-11%,-106%,2%,,12%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,80.82%,73.82%,73.82%,73.77%,72.81%,69.76%,69.48%,69.45%,68.83%,68.81%,68.26%,68.25%
FIIs +,3.00%,10.63%,10.93%,10.58%,10.30%,14.39%,13.32%,13.42%,12.99%,12.24%,10.82%,9.20%
DIIs +,2.19%,2.21%,2.02%,2.57%,3.04%,5.28%,6.28%,8.71%,11.22%,11.85%,13.04%,12.06%
Public +,13.99%,13.32%,13.23%,13.07%,13.86%,10.57%,10.92%,8.42%,6.94%,7.08%,7.86%,10.49%
No. of Shareholders,"3,01,317","2,73,645","2,64,113","2,58,652","2,41,426","2,29,908","2,27,663","2,11,001","2,12,819","2,15,114","2,18,048","2,14,623"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,3%
5 Years:,%
3 Years:,%
TTM:,18%

Compounded Profit Growth
10 Years:,14%
5 Years:,%
3 Years:,%
TTM:,55%

Stock Price CAGR
10 Years:,50%
5 Years:,1%
3 Years:,2%
1 Year:,-23%

Return on Equity
10 Years:,%
5 Years:,%
3 Years:,%
Last Year:,16%

