--- ABOUT ---
"Gabriel India is part of ANAND Group. The Company has established a significant presence across all automotive customer segments, including OEMs, Aftermarket, and exports. Company manufactures over 500 models of ride control products. [1] Its products include shock absorbers, struts, front forks and others. [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"17,200","1,197","1,388",65.5

Book Value,Dividend Yield,ROCE,ROE
95.3,0.39,26.1,20.6

Face Value
1.00

--- QUARTERLY RESULTS ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,806,864,815,917,947,"1,027","1,017","1,073","1,098","1,180","1,179","1,210"
Expenses +,737,791,745,836,856,928,925,964,993,"1,067","1,072","1,097"
Operating Profit,69,74,70,80,91,99,91,109,105,113,107,113
OPM %,9%,9%,9%,9%,10%,10%,9%,10%,10%,10%,9%,9%
Other Income +,5,5,4,6,6,5,9,5,4,6,-6,9
Interest,2,2,2,2,2,2,3,3,3,3,3,5
Depreciation,14,14,14,18,19,19,19,24,25,25,25,25
Profit before tax,57,62,58,66,76,82,79,87,81,91,72,92
Tax %,27%,25%,29%,26%,24%,23%,23%,26%,24%,24%,24%,28%
Net Profit +,42,46,41,49,58,63,60,64,62,69,55,66
EPS in Rs,2.93,3.23,2.87,3.41,4.01,4.38,4.18,4.48,4.31,4.81,3.81,4.63
Raw PDF,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2024,Mar 2025,Mar 2026
Sales +,"3,403","4,063","4,667"
Expenses +,"3,110","3,674","4,229"
Operating Profit,293,390,438
OPM %,9%,10%,9%
Other Income +,19,26,13
Interest,8,10,14
Depreciation,60,81,100
Profit before tax,244,324,336
Tax %,27%,24%,25%
Net Profit +,179,245,252
EPS in Rs,12.44,17.05,17.55
Dividend Payout %,32%,28%,18%

--- BALANCE SHEET ---
,Mar 2024,Mar 2025,Mar 2026
Equity Capital,14,14,14
Reserves,988,"1,169","1,354"
Borrowings +,75,69,148
Other Liabilities +,702,770,913
Total Liabilities,"1,779","2,022","2,430"
Fixed Assets +,543,641,843
CWIP,56,76,38
Investments,103,39,121
Other Assets +,"1,078","1,267","1,428"
Total Assets,"1,779","2,022","2,430"

--- CASH FLOW ---
,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,177,204,345
Cash from Investing Activity +,-129,-149,-248
Cash from Financing Activity +,-28,-81,-19
Net Cash Flow,20,-26,78
Free Cash Flow,16,-0,108
CFO/OP,84%,73%,97%

--- RATIOS ---
,Mar 2024,Mar 2025,Mar 2026
Debtor Days,53,54,53
Inventory Days,43,44,43
Days Payable,84,76,78
Cash Conversion Cycle,12,22,18
Working Capital Days,28,37,30
ROCE %,,28%,26%

--- SHAREHOLDING PATTERN ---
,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters +,55.00%,55.00%,55.00%,55.00%,55.00%,55.00%,55.00%,55.00%,55.00%,55.00%,55.02%,63.55%
FIIs +,3.04%,4.08%,4.43%,4.92%,5.50%,5.33%,5.23%,5.97%,6.50%,6.49%,6.58%,6.51%
DIIs +,11.72%,12.16%,12.00%,12.12%,12.88%,13.46%,14.67%,15.02%,15.74%,16.20%,16.28%,12.80%
Public +,30.25%,28.74%,28.56%,27.97%,26.60%,26.20%,25.08%,24.00%,22.76%,22.30%,22.10%,17.14%
No. of Shareholders,"1,09,187","1,24,421","1,34,139","1,41,668","1,42,821","1,40,849","1,40,481","1,35,458","1,46,705","1,46,440","1,44,400","1,36,219"

--- CAGR BOXES ---




