--- ABOUT ---
"Incorporated in 1993, DAM Capital Advisors Ltd is an investment bank which provides financial advisory and solutions [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,095",155,286,15.1

Book Value,Dividend Yield,ROCE,ROE
47.0,0.65,35.5,24.4

Face Value
2.00

--- QUARTERLY RESULTS ---
,Dec 2023,Mar 2024,Jun 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,44.94,84.23,44.44,103.98,36.61,30.85,107.05,69.94,29.27
Expenses +,14.84,34.97,17.76,33.06,23.42,24.82,31.15,37.13,23.23
Operating Profit,30.10,49.26,26.68,70.92,13.19,6.03,75.90,32.81,6.04
OPM %,66.98%,58.48%,60.04%,68.21%,36.03%,19.55%,70.90%,46.91%,20.64%
Other Income +,0.00,0.49,1.83,0.03,0.00,0.03,0.00,0.00,0.00
Interest,0.30,0.32,0.30,0.37,1.46,2.25,2.25,2.23,2.21
Depreciation,1.63,1.66,1.66,1.28,2.61,3.38,3.65,3.61,3.62
Profit before tax,28.17,47.77,26.55,69.30,9.12,0.43,70.00,26.97,0.21
Tax %,25.13%,30.88%,16.69%,25.67%,6.80%,46.51%,25.50%,25.62%,-19.05%
Net Profit +,21.09,33.02,22.12,51.51,8.50,0.23,52.15,20.06,0.25
EPS in Rs,,,,7.29,1.20,0.03,7.38,2.84,0.04
Raw PDF,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,94,85,181,250,237
Expenses +,60,67,79,104,116
Operating Profit,34,18,102,147,121
OPM %,36%,22%,56%,59%,51%
Other Income +,0,-0,1,-0,0
Interest,1,1,1,2,9
Depreciation,5,5,6,7,14
Profit before tax,28,12,95,137,98
Tax %,22%,27%,26%,24%,26%
Net Profit +,22,9,71,104,73
EPS in Rs,,,,14.68,10.28
Dividend Payout %,10%,16%,5%,7%,10%

--- BALANCE SHEET ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,14,14,14,14,14
Reserves,74,81,148,250,318
Borrowings +,1,3,5,4,0
Other Liabilities +,77,"1,103",47,133,121
Total Liabilities,167,"1,201",215,401,453
Fixed Assets +,14,11,10,94,97
CWIP,0,1,0,12,0
Investments,8,6,4,5,6
Other Assets +,145,"1,183",201,289,350
Total Assets,167,"1,201",215,401,453

--- CASH FLOW ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,37,679,-595,96,37
Cash from Investing Activity +,-28,-671,658,-72,-17
Cash from Financing Activity +,-3,-4,-4,-10,-21
Net Cash Flow,6,4,59,14,-1
Free Cash Flow,36,676,-599,83,31
CFO/OP,124%,"3,714%",-564%,89%,53%

--- RATIOS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,180,801,48,36,43
Inventory Days,,,,,
Days Payable,,,,,
Cash Conversion Cycle,180,801,48,36,43
Working Capital Days,-50,"-2,908",-15,-129,-110
ROCE %,,14%,73%,64%,36%

--- SHAREHOLDING PATTERN ---
,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,40.00%,40.00%,40.00%,40.00%,40.00%,40.00%
FIIs +,4.75%,3.31%,1.82%,1.76%,1.81%,2.19%
DIIs +,14.82%,11.15%,10.30%,10.35%,9.79%,8.06%
Public +,40.44%,45.52%,47.87%,47.89%,48.39%,49.74%
No. of Shareholders,"1,76,333","1,69,737","1,59,171","1,51,993","1,51,113","1,44,954"

--- CAGR BOXES ---




