--- ABOUT ---
"National Fertilizers Limited is engaged in production and marketing of Neem Coated Urea, Bio-Fertilizers (solid & liquid) and other allied Industrial products. It is also engaged in trading of Imported and Domestic Fertilizers, Compost, Seeds and other Agro products. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"3,820",77.9,104 / 63.4,18.1

Book Value,Dividend Yield,ROCE,ROE
57.9,2.00,9.09,7.61

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"6,257","5,048","5,660","7,584","5,284","5,092","4,390","5,856","4,457","3,534","6,763","6,870","4,347"
Expenses +,"6,590","5,060","5,714","7,266","4,905","4,985","4,265","5,710","4,222","3,453","6,660","6,574","4,026"
Operating Profit,-333,-12,-55,318,379,107,125,146,234,81,103,296,321
OPM %,-5%,-0%,-1%,4%,7%,2%,3%,2%,5%,2%,2%,4%,7%
Other Income +,179,34,58,25,55,53,37,47,62,9,15,59,46
Interest,84,104,39,50,74,90,60,41,35,46,55,72,77
Depreciation,89,87,90,92,92,91,93,94,95,96,99,110,100
Profit before tax,-326,-169,-127,201,268,-21,9,57,167,-52,-36,172,190
Tax %,-28%,-28%,-31%,25%,23%,-59%,-35%,19%,19%,-24%,-0%,22%,20%
Net Profit +,-236,-121,-87,151,208,-9,12,46,135,-39,-36,135,152
EPS in Rs,-4.81,-2.48,-1.78,3.08,4.23,-0.18,0.25,0.93,2.75,-0.80,-0.73,2.76,3.09
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"8,514","7,757","7,600","8,943","12,429","13,135","11,906","15,857","29,587","23,556","19,798","21,514"
Expenses +,"8,130","7,197","7,041","8,404","11,417","12,283","11,001","15,469","28,509","22,939","19,182","20,681"
Operating Profit,385,560,559,539,"1,012",852,904,388,"1,077",617,615,834
OPM %,5%,7%,7%,6%,8%,6%,8%,2%,4%,3%,3%,4%
Other Income +,37,45,45,62,52,-331,33,26,195,196,203,96
Interest,304,231,193,192,320,409,294,137,308,277,233,249
Depreciation,73,87,85,73,285,374,312,335,353,362,373,405
Profit before tax,45,287,325,335,459,-263,331,-58,612,174,212,275
Tax %,41%,31%,36%,36%,36%,-31%,28%,63%,25%,14%,13%,23%
Net Profit +,26,197,208,213,294,-181,237,-95,458,150,184,211
EPS in Rs,0.53,4.02,4.24,4.34,5.99,-3.69,4.83,-1.94,9.34,3.06,3.75,4.31
Dividend Payout %,32%,30%,-0%,-0%,31%,-26%,-0%,-0%,30%,9%,42%,-0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,491,491,491,491,491,491,491,491,491,491,491,491
Reserves,990,"1,199","1,334","1,495","1,720","1,412","1,650","1,589","2,051","2,055","2,225","2,350"
Borrowings +,"7,645","6,124","4,135","3,061","6,464","8,103","1,892","3,172","3,993","4,091","2,001","3,964"
Other Liabilities +,"4,332","4,207","4,223","4,582","5,231","4,561","4,382","5,244","6,002","4,563","4,599","4,920"
Total Liabilities,"13,458","12,019","10,182","9,628","13,905","14,565","8,414","10,496","12,536","11,199","9,316","11,724"
Fixed Assets +,"4,443","4,259","4,059","4,080","3,993","3,726","3,615","4,230","3,969","3,831","3,694","3,534"
CWIP,39,33,51,64,133,656,862,138,178,242,172,161
Investments,-0,23,152,217,265,323,416,257,259,336,443,496
Other Assets +,"8,975","7,705","5,921","5,268","9,513","9,861","3,520","5,870","8,131","6,791","5,007","7,534"
Total Assets,"13,458","12,019","10,182","9,628","13,905","14,565","8,414","10,496","12,536","11,199","9,316","11,724"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,304,"1,848","2,453","1,661","-2,703",-319,"7,021","-1,029",-333,668,"2,590","-1,342"
Cash from Investing Activity +,-89,-87,-201,-346,-310,-810,-497,-129,-206,-334,-268,-263
Cash from Financing Activity +,-214,"-1,760","-2,250","-1,314","3,022","1,132","-6,505","1,145",526,-318,"-2,334","1,643"
Net Cash Flow,1,2,1,1,9,3,20,-14,-13,16,-12,37
Free Cash Flow,212,"1,771","2,364","1,364","-2,969","-1,075","6,607","-1,322",-540,386,"2,418","-1,564"
CFO/OP,79%,340%,452%,325%,-258%,-32%,779%,-252%,-18%,109%,410%,-156%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,216,226,205,160,210,215,81,65,51,63,60,92
Inventory Days,25,49,63,45,90,67,25,90,57,41,28,29
Days Payable,15,31,44,42,35,47,42,58,33,31,46,39
Cash Conversion Cycle,225,244,224,163,265,235,64,97,75,72,42,81
Working Capital Days,30,30,29,29,28,8,4,3,7,-3,0,0
ROCE %,,6%,8%,9%,11%,6%,9%,2%,16%,7%,8%,9%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,74.71%,74.71%,74.71%,74.71%,74.71%,74.71%,74.71%,74.71%,74.71%,74.71%,74.71%,74.71%
FIIs +,0.39%,0.39%,1.10%,0.48%,0.41%,0.41%,0.42%,0.60%,0.49%,0.91%,1.06%,0.70%
DIIs +,11.89%,9.90%,8.51%,8.38%,7.47%,7.27%,7.28%,6.83%,6.21%,5.99%,5.91%,5.53%
