--- ABOUT ---
"Incorporated in April 2022, NTPC Green Energy is a renewable energy company that focuses on undertaking projects through organic and inorganic routes. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"80,926",96.0,120,155

Book Value,Dividend Yield,ROCE,ROE
22.5,0.00,3.53,2.79

Face Value
10.0

--- QUARTERLY RESULTS ---
,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,446,508,578,504,505,622,680,612,653,913
Expenses +,51,71,65,85,82,62,77,83,118,138
Operating Profit,395,437,513,419,424,560,604,530,535,774
OPM %,89%,86%,89%,83%,84%,90%,89%,86%,82%,85%
Other Income +,17,45,29,21,76,129,89,60,31,48
Interest,174,181,183,195,206,177,193,207,230,257
Depreciation,159,173,175,182,195,206,223,261,300,318
Profit before tax,80,127,183,63,99,307,277,122,37,247
Tax %,31%,36%,24%,42%,34%,24%,20%,29%,53%,20%
Net Profit +,56,81,139,37,66,233,220,86,17,197
EPS in Rs,0.12,0.14,0.24,0.05,0.08,0.28,0.26,0.10,0.02,0.23
Raw PDF,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,170,"1,963","2,210","2,858"
Expenses +,18,217,290,383
Operating Profit,152,"1,745","1,920","2,475"
OPM %,90%,89%,87%,87%
Other Income +,1,77,257,197
Interest,51,694,766,887
Depreciation,50,643,758,"1,102"
Profit before tax,53,486,653,683
Tax %,-226%,29%,27%,24%
Net Profit +,171,343,474,521
EPS in Rs,0.36,0.60,0.56,0.62
Dividend Payout %,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,"4,720","5,720","8,426","8,426"
Reserves,168,513,"10,014","10,539"
Borrowings +,"6,137","13,856","19,441","31,716"
Other Liabilities +,"7,407","7,119","7,540","9,700"
Total Liabilities,"18,431","27,207","45,421","60,382"
Fixed Assets +,"14,758","17,573","21,816","39,202"
CWIP,"1,749","7,138","13,983","14,193"
Investments,0,0,"3,199","3,536"
Other Assets +,"1,924","2,495","6,423","3,451"
Total Assets,"18,431","27,207","45,421","60,382"

--- CASH FLOW ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,17,"1,616","1,999","2,386"
Cash from Investing Activity +,"-10,304","-9,218","-17,793","-12,117"
Cash from Financing Activity +,"10,360","7,645","15,715","9,796"
Net Cash Flow,73,43,-80,66
Free Cash Flow,-734,"-7,937","-9,986","-12,832"
CFO/OP,11%,93%,104%,97%

--- RATIOS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,700,131,85,78
Inventory Days,,,,
Days Payable,,,,
Cash Conversion Cycle,700,131,85,78
Working Capital Days,"-8,849",-723,-642,-684
ROCE %,,8%,5%,4%

--- SHAREHOLDING PATTERN ---
,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,89.01%,89.01%,89.01%,89.01%,89.01%,89.01%
FIIs +,2.18%,1.98%,1.85%,1.79%,1.61%,1.61%
DIIs +,5.28%,4.87%,4.66%,4.63%,4.80%,5.07%
Public +,3.52%,4.14%,4.48%,4.57%,4.58%,4.30%
No. of Shareholders,"12,76,901","14,07,563","13,86,018","13,58,211","13,32,650","13,01,463"

--- CAGR BOXES ---




