--- ABOUT ---
"Incorporated in 1995, Solex Energy Ltd manufactures solar photo-voltaic cells and modules and is also in the Engineering, Procurement and Construction in the solar energy market [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,192","1,104","1,985",12.5

Book Value,Dividend Yield,ROCE,ROE
234,0.05,35.8,46.3

Face Value
10.0

--- QUARTERLY RESULTS ---
,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,132,135,254,260,155,318,886
Expenses +,117,111,226,218,136,292,787
Operating Profit,14,24,28,41,19,26,98
OPM %,11%,18%,11%,16%,12%,8%,11%
Other Income +,1,1,0,1,-0,2,0
Interest,3,3,5,5,6,9,10
Depreciation,2,3,3,4,4,6,10
Profit before tax,11,19,20,33,8,12,78
Tax %,16%,27%,25%,25%,27%,26%,25%
Net Profit +,9,14,15,25,6,9,59
EPS in Rs,8.42,13.01,13.26,22.37,4.83,8.06,53.61
Raw PDF,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,162,366,662,"1,618"
Expenses +,150,337,589,"1,434"
Operating Profit,11,28,73,184
OPM %,7%,8%,11%,11%
Other Income +,3,2,4,3
Interest,6,10,11,31
Depreciation,5,8,9,25
Profit before tax,4,12,57,131
Tax %,30%,24%,25%,25%
Net Profit +,3,9,43,98
EPS in Rs,2.71,8.73,38.91,88.88
Dividend Payout %,0%,5%,1%,0%

--- BALANCE SHEET ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,8,11,11
Reserves,,38,150,242
Borrowings +,,96,148,339
Other Liabilities +,,70,172,590
Total Liabilities,,212,480,"1,181"
Fixed Assets +,,54,110,338
CWIP,,0,2,11
Investments,,14,2,0
Other Assets +,,143,366,833
Total Assets,,212,480,"1,181"

--- CASH FLOW ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,,2,-47,201
Cash from Investing Activity +,,-21,-54,-225
Cash from Financing Activity +,,20,113,89
Net Cash Flow,,0,12,64
Free Cash Flow,,-6,-114,7
CFO/OP,,13%,-47%,117%

--- RATIOS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,,47,64,80
Inventory Days,,,,81
Days Payable,,,,128
Cash Conversion Cycle,,47,64,33
Working Capital Days,,23,57,7
ROCE %,,,30%,36%

--- SHAREHOLDING PATTERN ---
,Apr 2021,Sep 2021,Mar 2022,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,70.65%,43.49%,70.65%,70.65%,70.65%,70.65%,70.66%,66.15%,66.15%,66.15%,66.15%,66.15%
FIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.01%,0.09%,0.25%,0.13%
DIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.10%,0.89%,0.79%,1.02%,0.98%,0.81%
Public +,29.35%,56.51%,29.36%,29.35%,29.35%,29.35%,28.24%,32.94%,33.06%,32.75%,32.63%,32.91%
No. of Shareholders,246,245,308,303,567,917,"1,402","2,269","2,917","3,007","5,427","7,027"

--- CAGR BOXES ---




