--- ABOUT ---
"Incorporated in the year 1967, Hindustan Copper Limited (HCL) was formed to take over from National Mineral Development Corporation Ltd. It is the first Indian PSU and only vertically integrated copper producing company. HCL is engaged in various processes right from copper mining to the final stage of converting copper into saleable products. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"49,429",511,760,50.0

Book Value,Dividend Yield,ROCE,ROE
34.6,0.29,42.5,32.9

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,560,371,381,399,565,494,518,328,731,516,718,687,"1,156"
Expenses +,374,278,260,293,339,305,366,220,465,304,436,347,528
Operating Profit,186,93,121,107,226,188,152,108,267,212,282,340,628
OPM %,33%,25%,32%,27%,40%,38%,29%,33%,36%,41%,39%,50%,54%
Other Income +,52,14,11,10,20,7,32,16,46,10,11,-78,33
Interest,3,4,4,4,4,3,1,1,2,2,0,2,1
Depreciation,61,41,46,30,59,38,48,38,52,41,44,48,67
Profit before tax,174,62,83,82,184,154,135,84,259,179,249,213,592
Tax %,24%,24%,27%,23%,32%,26%,25%,26%,27%,25%,25%,26%,25%
Net Profit +,132,47,61,63,124,113,102,63,187,134,184,156,444
EPS in Rs,1.37,0.49,0.63,0.65,1.29,1.17,1.05,0.65,1.94,1.39,1.90,1.62,4.59
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,816",832,"1,787","1,822","1,677","1,717","2,071","3,078"
Expenses +,"1,310","1,074","1,375","1,310","1,185","1,170","1,333","1,616"
Operating Profit,506,-242,411,512,492,547,738,"1,462"
OPM %,28%,-29%,23%,28%,29%,32%,36%,48%
Other Income +,37,57,35,50,96,55,77,-24
Interest,60,62,64,30,17,17,8,5
Depreciation,253,291,295,150,175,175,176,200
Profit before tax,230,-538,87,382,396,411,632,"1,233"
Tax %,37%,6%,-26%,2%,25%,28%,26%,25%
Net Profit +,145,-569,110,374,295,295,465,919
EPS in Rs,1.57,-6.16,1.19,3.87,3.06,3.05,4.81,9.50
Dividend Payout %,33%,0%,29%,30%,30%,30%,30%,30%

--- BALANCE SHEET ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,463,463,463,484,484,484,484,484
Reserves,"1,174",497,627,"1,428","1,599","1,802","2,177","2,859"
Borrowings +,"1,070","1,564","1,137",409,156,223,167,111
Other Liabilities +,636,802,819,844,956,971,880,963
Total Liabilities,"3,343","3,326","3,046","3,164","3,194","3,479","3,708","4,416"
Fixed Assets +,317,337,322,282,"1,326","1,430","1,731","1,922"
CWIP,"1,022","1,232","1,179",683,731,917,766,741
Investments,0,0,1,1,10,29,27,25
Other Assets +,"2,005","1,757","1,544","2,199","1,127","1,102","1,183","1,728"
Total Assets,"3,343","3,326","3,046","3,164","3,194","3,479","3,708","4,416"

--- CASH FLOW ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,252,86,832,"1,052",674,341,544,"1,474"
Cash from Investing Activity +,-587,-430,-364,-404,-337,-525,-402,-434
Cash from Financing Activity +,445,42,133,-251,-339,-39,-152,-299
Net Cash Flow,110,-302,601,397,-3,-222,-10,741
Free Cash Flow,-341,-354,465,633,329,-193,132,"1,348"
CFO/OP,61%,-54%,202%,225%,153%,82%,95%,118%

--- RATIOS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,73,36,34,16,14,29,30,16
Inventory Days,"1,176",,409,602,,,,
Days Payable,354,,145,378,,,,
Cash Conversion Cycle,894,36,298,239,14,29,30,16
Working Capital Days,69,-96,18,-19,-29,35,56,-28
ROCE %,,-18%,6%,18%,18%,18%,24%,42%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,66.14%,66.14%,66.14%,66.14%,66.14%,66.14%,66.14%,66.14%,66.14%,66.14%,66.14%,66.14%
FIIs +,1.80%,2.18%,2.05%,3.13%,3.22%,3.30%,3.41%,3.27%,3.71%,5.05%,6.56%,6.34%
DIIs +,15.89%,13.29%,13.70%,12.28%,9.34%,9.24%,9.06%,8.57%,8.24%,6.00%,5.57%,5.39%
Public +,16.18%,18.39%,18.11%,18.45%,21.30%,21.32%,21.38%,22.00%,21.90%,22.79%,21.72%,22.14%
No. of Shareholders,"3,20,901","3,16,684","3,64,291","4,28,801","5,92,285","6,07,887","6,28,085","6,35,955","6,60,201","6,45,660","8,51,683","13,39,149"

--- CAGR BOXES ---




