--- ABOUT ---
"Incorporated in 2005, AKG Exim Ltd in the business of Metals Scrap, Rice, Spices & Dry Fruits [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
34.4,10.8,16.8,95.7

Book Value,Dividend Yield,ROCE,ROE
16.8,0.00,1.99,0.68

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,58.20,56.09,36.59,44.76,46.30,40.38,33.75,29.61,29.56,28.56,23.23,18.19,16.39
Expenses +,56.92,55.29,35.99,43.93,45.98,39.78,33.38,29.47,29.06,28.52,22.84,18.68,16.15
Operating Profit,1.28,0.80,0.60,0.83,0.32,0.60,0.37,0.14,0.50,0.04,0.39,-0.49,0.24
OPM %,2.20%,1.43%,1.64%,1.85%,0.69%,1.49%,1.10%,0.47%,1.69%,0.14%,1.68%,-2.69%,1.46%
Other Income +,0.36,0.15,0.12,0.11,0.50,0.03,0.16,0.35,0.06,0.32,0.01,0.82,0.01
Interest,0.30,0.34,0.31,0.31,0.29,0.29,0.30,0.26,0.18,0.22,0.22,0.17,0.15
Depreciation,0.12,0.03,0.03,0.05,0.09,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02
Profit before tax,1.22,0.58,0.38,0.58,0.44,0.30,0.19,0.19,0.34,0.11,0.15,0.14,0.08
Tax %,21.31%,20.69%,26.32%,20.69%,38.64%,26.67%,21.05%,21.05%,17.65%,36.36%,26.67%,28.57%,25.00%
Net Profit +,0.97,0.46,0.28,0.47,0.27,0.22,0.15,0.15,0.27,0.08,0.11,0.10,0.07
EPS in Rs,0.31,0.16,0.10,0.15,0.09,0.08,0.05,0.05,0.08,0.03,0.03,0.03,0.02
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,117.80,66.38,104.38,186.34,221.03,183.58,132.69,87.01
Expenses +,114.81,65.94,101.70,183.08,217.73,180.63,130.55,86.78
Operating Profit,2.99,0.44,2.68,3.26,3.30,2.95,2.14,0.23
OPM %,2.54%,0.66%,2.57%,1.75%,1.49%,1.61%,1.61%,0.26%
Other Income +,0.61,3.23,0.20,0.46,1.11,0.70,0.27,1.11
Interest,1.60,1.58,0.94,1.14,1.25,1.47,1.18,0.76
Depreciation,0.49,0.58,0.17,0.16,0.18,0.21,0.16,0.11
Profit before tax,1.51,1.51,1.77,2.42,2.98,1.97,1.07,0.47
Tax %,28.48%,28.48%,23.16%,19.83%,17.11%,22.34%,19.63%,23.40%
Net Profit +,1.08,1.09,1.37,1.94,2.48,1.54,0.85,0.36
EPS in Rs,0.34,0.34,0.43,0.61,0.81,0.51,0.27,0.11
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%

--- BALANCE SHEET ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,6.62,10.59,10.59,31.78,31.78,31.78,31.78
Reserves,,13.07,10.49,12.51,19.31,20.80,21.13,21.72
Borrowings +,,9.96,10.05,12.70,12.38,14.17,11.33,5.79
Other Liabilities +,,1.77,4.46,9.20,9.11,12.12,14.60,2.58
Total Liabilities,,31.42,35.59,45.00,72.58,78.87,78.84,61.87
Fixed Assets +,,0.87,0.69,0.58,0.71,2.35,2.19,0.93
CWIP,,0.00,1.18,1.80,1.97,2.00,0.00,0.00
Investments,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Other Assets +,,30.55,33.72,42.62,69.90,74.52,76.65,60.94
Total Assets,,31.42,35.59,45.00,72.58,78.87,78.84,61.87

--- CASH FLOW ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,,11.10,-1.46,-0.15,-18.25,-3.04,1.21,3.99
Cash from Investing Activity +,,10.18,-1.16,0.49,0.07,-1.18,0.10,1.29
Cash from Financing Activity +,,-20.71,-0.65,1.80,26.16,-3.04,-3.26,-6.25
Net Cash Flow,,0.58,-3.27,2.14,7.99,-7.25,-1.95,-0.98
Free Cash Flow,,20.96,-2.64,-0.77,-18.55,-4.91,1.20,5.25
CFO/OP,,"2,593%",-41%,1%,-543%,-92%,61%,"1,735%"

--- RATIOS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,,94.58,81.83,63.29,72.79,67.72,80.87,54.49
Inventory Days,,18.63,11.85,6.73,20.39,16.51,22.55,11.33
Days Payable,,5.68,11.29,12.57,13.99,16.51,27.08,4.75
Cash Conversion Cycle,,107.52,82.38,57.45,79.19,67.72,76.34,61.07
Working Capital Days,,87.54,68.75,36.98,62.93,91.04,137.26,222.16
ROCE %,,,8.90%,10.62%,8.53%,5.46%,3.45%,1.99%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,57.68%,57.84%,57.84%,57.84%,54.32%,51.49%,51.49%,37.60%,37.60%,37.60%,37.60%,37.60%
FIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.49%,1.49%,1.49%
Public +,42.32%,42.16%,42.16%,42.16%,45.68%,48.51%,48.51%,62.40%,62.40%,60.91%,60.91%,60.91%
