--- ABOUT ---
"Incorporated in 2021, HP Adhesives Ltd manufactures and distributes adhesives and sealants along with other ancillary products [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
334,36.3,53.7,44.0

Book Value,Dividend Yield,ROCE,ROE
20.4,1.10,5.66,4.08

Face Value
2.00

--- QUARTERLY RESULTS ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,59.32,62.60,54.75,59.31,60.52,58.93,66.65,66.16,66.10,65.06,61.97,57.82
Expenses +,53.04,55.26,46.97,50.50,52.98,52.40,60.40,61.06,59.58,58.69,58.02,61.58
Operating Profit,6.28,7.34,7.78,8.81,7.54,6.53,6.25,5.10,6.52,6.37,3.95,-3.76
OPM %,10.59%,11.73%,14.21%,14.85%,12.46%,11.08%,9.38%,7.71%,9.86%,9.79%,6.37%,-6.50%
Other Income +,0.98,1.04,0.62,0.88,1.48,0.19,1.32,1.53,1.10,0.52,0.44,0.73
Interest,0.37,0.21,0.18,0.56,0.47,0.51,0.58,0.59,0.64,0.63,0.64,0.75
Depreciation,1.03,1.08,1.11,1.08,1.13,1.16,1.18,1.25,1.41,1.45,1.51,1.46
Profit before tax,5.86,7.09,7.11,8.05,7.42,5.05,5.81,4.79,5.57,4.81,2.24,-5.24
Tax %,22.87%,26.09%,26.72%,30.43%,24.26%,17.43%,27.71%,25.05%,24.60%,26.20%,27.68%,-54.58%
Net Profit +,4.51,5.24,5.21,5.61,5.61,4.17,4.21,3.59,4.19,3.53,1.62,-2.37
EPS in Rs,0.49,0.57,0.57,0.61,0.61,0.45,0.46,0.39,0.46,0.38,0.18,-0.26
Raw PDF,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2024,Mar 2025,Mar 2026
Sales +,236,253,249
Expenses +,205,227,236
Operating Profit,31,26,13
OPM %,13%,10%,5%
Other Income +,4,5,3
Interest,2,2,3
Depreciation,4,5,6
Profit before tax,28,24,7
Tax %,27%,23%,5%
Net Profit +,21,18,7
EPS in Rs,2.24,1.99,0.76
Dividend Payout %,13%,20%,53%

--- BALANCE SHEET ---
,Mar 2024,Mar 2025,Mar 2026
Equity Capital,18,18,18
Reserves,151,166,169
Borrowings +,3,8,4
Other Liabilities +,26,36,40
Total Liabilities,198,228,232
Fixed Assets +,52,73,73
CWIP,16,4,5
Investments,18,25,22
Other Assets +,111,126,133
Total Assets,198,228,232

--- CASH FLOW ---
,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,22,10,7
Cash from Investing Activity +,-15,-9,-2
Cash from Financing Activity +,-6,2,-8
Net Cash Flow,0,2,-2
Free Cash Flow,5,-4,-6
CFO/OP,94%,65%,82%

--- RATIOS ---
,Mar 2024,Mar 2025,Mar 2026
Debtor Days,56,60,55
Inventory Days,118,130,120
Days Payable,40,53,66
Cash Conversion Cycle,134,137,109
Working Capital Days,106,111,151
ROCE %,,14%,6%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,71.35%,71.35%,71.35%,71.35%,71.35%,71.35%,71.35%,71.35%,71.35%,71.35%,71.35%,71.35%
FIIs +,0.10%,2.81%,0.71%,0.25%,0.08%,0.10%,0.03%,0.16%,0.04%,0.02%,0.01%,0.02%
DIIs +,2.09%,3.72%,3.72%,3.72%,3.72%,3.28%,2.86%,2.82%,1.34%,0.00%,0.00%,0.00%
Public +,26.47%,22.12%,24.22%,24.68%,24.86%,25.28%,25.76%,25.66%,27.27%,28.63%,28.64%,28.63%
No. of Shareholders,"22,912","26,757","43,680","49,909","52,081","56,369","56,881","57,835","57,430","57,134","55,426","53,662"

--- CAGR BOXES ---




