--- ABOUT ---
"Container Corporation Of India (CONCOR) is engaged in the business of providing inland transportation of containers by rail. It also covers the Management of Ports, Air cargo complexes and establishes cold chains. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"35,929",472,629,28.9

Book Value,Dividend Yield,ROCE,ROE
170,1.95,12.4,9.81

Face Value
5.00

--- QUARTERLY RESULTS ---
Promoters +,54.80%,54.80%,54.80%,54.80%,54.80%,54.80%,54.80%,54.80%,54.80%,54.80%,54.80%,54.80%
FIIs +,21.57%,20.69%,19.55%,16.63%,16.15%,13.65%,13.47%,13.10%,12.74%,12.38%,9.05%,8.32%
DIIs +,20.49%,21.46%,22.76%,24.88%,24.71%,25.73%,25.70%,26.19%,26.12%,25.82%,28.68%,29.77%
Government +,0.12%,0.12%,0.12%,0.12%,0.12%,0.08%,0.08%,0.08%,0.08%,0.00%,0.00%,0.00%
Public +,3.02%,2.93%,2.77%,3.57%,4.23%,5.73%,5.94%,5.83%,6.27%,7.01%,7.45%,7.10%
No. of Shareholders,"1,30,976","1,28,133","1,19,870","1,36,322","1,92,067","3,01,984","3,18,196","3,25,984","3,40,662","3,61,245","3,62,999","3,57,604"

--- CAGR BOXES ---




