--- ABOUT ---
"Incorporated in 1982, Elin Electronics Ltd is in the business of Electronics Manufacturing Services [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
529,106,234,22.7

Book Value,Dividend Yield,ROCE,ROE
112,0.00,6.85,4.27

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,268.72,253.83,273.34,236.71,277.83,293.58,304.56,266.32,315.75,295.48,374.54,293.52,324.19
Expenses +,259.88,244.03,263.49,228.22,265.43,280.33,293.26,258.76,295.50,277.92,354.18,281.83,318.23
Operating Profit,8.84,9.80,9.85,8.49,12.40,13.25,11.30,7.56,20.25,17.56,20.36,11.69,5.96
OPM %,3.29%,3.86%,3.60%,3.59%,4.46%,4.51%,3.71%,2.84%,6.41%,5.94%,5.44%,3.98%,1.84%
Other Income +,1.84,2.73,2.11,1.95,2.32,2.36,2.61,2.14,11.24,2.99,1.77,0.78,1.11
Interest,2.55,2.75,1.33,1.89,2.15,1.84,2.00,1.63,2.11,2.02,2.23,1.65,2.30
Depreciation,5.86,4.85,4.76,4.77,7.47,5.71,5.48,6.07,7.36,5.86,6.03,6.00,6.48
Profit before tax,2.27,4.93,5.87,3.78,5.10,8.06,6.43,2.00,22.02,12.67,13.87,4.82,-1.71
Tax %,29.52%,23.53%,33.22%,29.89%,30.78%,26.55%,25.82%,29.50%,21.80%,25.89%,25.74%,24.07%,-55.56%
Net Profit +,1.60,3.77,3.92,2.64,3.54,5.92,4.78,1.40,17.22,9.39,10.30,3.66,-0.76
EPS in Rs,0.32,0.76,0.79,0.53,0.71,1.19,0.96,0.28,3.47,1.89,2.07,0.74,-0.15
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,494,829,786,862,"1,094","1,075","1,042","1,180","1,288"
Expenses +,457,771,730,796,"1,015","1,010","1,001","1,128","1,232"
Operating Profit,38,57,55,67,79,65,41,52,56
OPM %,8%,7%,7%,8%,7%,6%,4%,4%,4%
Other Income +,1,1,1,2,1,2,9,18,7
Interest,9,13,12,10,13,13,8,8,8
Depreciation,12,17,20,12,14,19,22,25,24
Profit before tax,17,28,24,47,53,36,20,39,30
Tax %,24%,19%,24%,27%,26%,25%,30%,24%,24%
Net Profit +,15,23,19,35,39,27,14,29,23
EPS in Rs,24.37,36.01,26.18,49.13,9.20,5.40,2.79,5.90,4.54
Dividend Payout %,0%,0%,0%,0%,10%,18%,35%,0%,0%

--- BALANCE SHEET ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,6,5,7,7,20,24,24,24,24
Reserves,139,185,202,255,283,469,479,510,532
Borrowings +,62,86,70,114,103,78,12,24,17
Other Liabilities +,71,109,84,132,127,163,154,170,193
Total Liabilities,278,385,363,508,533,734,669,728,766
Fixed Assets +,84,122,134,161,188,232,224,246,253
CWIP,2,0,0,0,0,0,12,3,28
Investments,26,13,24,14,1,27,63,69,82
Other Assets +,165,250,205,333,343,475,370,410,403
Total Assets,278,385,363,508,533,734,669,728,766

--- CASH FLOW ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,44,27,83,-34,57,62,43,17,54
Cash from Investing Activity +,-30,-30,-43,-5,-28,-197,36,-21,-34
Cash from Financing Activity +,-5,-4,-33,34,-30,131,-79,4,-15
Net Cash Flow,9,-7,7,-4,-1,-4,-0,-0,4
Free Cash Flow,24,-2,51,-52,16,12,18,-21,-5
CFO/OP,125%,58%,161%,-40%,91%,112%,114%,45%,111%

--- RATIOS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,61,61,42,77,59,67,70,70,59
Inventory Days,56,49,53,67,54,57,52,53,60
Days Payable,64,55,45,61,44,58,51,52,52
Cash Conversion Cycle,53,55,50,83,68,65,71,71,67
Working Capital Days,30,32,30,45,44,49,72,59,78
ROCE %,,17%,13%,17%,17%,10%,5%,7%,7%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,32.97%,32.98%,32.99%,33.41%,33.41%,33.41%,33.41%,32.98%,32.98%,32.98%,32.98%,32.95%
FIIs +,1.46%,1.02%,0.56%,0.35%,0.97%,0.86%,0.38%,0.41%,0.69%,0.78%,0.68%,0.74%
DIIs +,14.38%,13.66%,11.93%,11.90%,13.10%,12.58%,12.06%,10.77%,7.60%,5.53%,6.14%,5.40%
Public +,51.20%,52.32%,54.53%,54.34%,52.53%,53.14%,54.15%,55.84%,58.73%,60.71%,60.20%,60.92%
No. of Shareholders,"88,003","86,225","83,782","78,607","71,516","61,159","60,747","60,208","58,085","54,166","52,411","51,710"

--- CAGR BOXES ---




