--- ABOUT ---
"Incorporated in 1997, STL Global Ltd is engaged in the business of textile manufacturing. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
28.0,10.2,20.8,2.65

Book Value,Dividend Yield,ROCE,ROE
,0.00,,

Face Value
10.0

--- QUARTERLY RESULTS ---
,Jun 2006,Sep 2006,Dec 2006,Mar 2007
Sales +,60.46,65.72,75.78,69.01
Expenses +,51.79,56.82,65.96,60.56
Operating Profit,8.67,8.90,9.82,8.45
OPM %,14.34%,13.54%,12.96%,12.24%
Other Income +,0.19,0.11,0.06,0.10
Interest,2.67,2.63,3.02,3.81
Depreciation,2.24,2.28,2.49,2.34
Profit before tax,3.95,4.10,4.37,2.40
Tax %,14.43%,21.22%,26.32%,69.58%
Net Profit +,3.38,3.23,3.22,0.73
EPS in Rs,1.39,1.33,1.33,0.30
Raw PDF,,,,

--- ANNUAL RESULTS ---
,TTM
Sales +,271
Expenses +,235
Operating Profit,36
OPM %,13%
Other Income +,0
Interest,12
Depreciation,9
Profit before tax,15
Tax %,
Net Profit +,11
EPS in Rs,4.35
Dividend Payout %,

--- BALANCE SHEET ---
""
Equity Capital
Reserves
Borrowings +
Other Liabilities +
Total Liabilities
Fixed Assets +
CWIP
Investments
Other Assets +
Total Assets

--- CASH FLOW ---
""
Cash from Operating Activity +
Cash from Investing Activity +
Cash from Financing Activity +
Net Cash Flow
Free Cash Flow
CFO/OP

--- RATIOS ---
""
Debtor Days
Inventory Days
Days Payable
Cash Conversion Cycle
Working Capital Days
ROCE %

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,65.76%,65.76%,65.76%,65.76%,65.76%,65.76%,65.76%,65.76%,65.76%,65.76%,65.76%,65.76%
Public +,34.24%,34.24%,34.24%,34.24%,34.24%,34.23%,34.24%,34.24%,34.23%,34.24%,34.24%,34.25%
No. of Shareholders,"12,824","13,891","13,284","13,711","13,562","14,387","14,577","14,592","14,728","14,792","14,527","14,408"

--- CAGR BOXES ---




