--- ABOUT ---
Narayana Hrudayalaya Ltd is engaged in providing economical healthcare services. It has a network of multispecialty and super specialty hospitals spread across multiple locations. [1]

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"38,393","1,879","2,372",45.1

Book Value,Dividend Yield,ROCE,ROE
222,0.24,15.4,20.9

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,222","1,233","1,305","1,204","1,246","1,306","1,367","1,335","1,475","1,507","1,644","2,151","2,594"
Expenses +,946,963,997,925,955,"1,004","1,058","1,027","1,118","1,171","1,243","1,786","2,086"
Operating Profit,276,271,308,279,291,302,309,307,358,337,401,365,508
OPM %,23%,22%,24%,23%,23%,23%,23%,23%,24%,22%,24%,17%,20%
Other Income +,15,15,18,18,26,24,23,18,20,24,24,-29,25
Interest,21,21,23,25,28,34,35,37,41,45,42,65,91
Depreciation,56,59,55,63,65,61,65,70,82,84,87,122,154
Profit before tax,214,206,248,209,225,231,232,219,254,232,296,149,288
Tax %,19%,11%,9%,10%,15%,13%,14%,12%,22%,15%,13%,15%,22%
Net Profit +,173,184,227,188,191,202,199,193,197,197,258,127,224
EPS in Rs,8.47,9.00,11.09,9.20,9.33,9.85,9.72,9.44,9.65,9.62,12.64,6.20,10.96
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,364","1,614","1,878","2,281","2,861","3,128","2,583","3,701","4,525","4,890","5,483","7,896"
Expenses +,"1,236","1,434","1,642","2,064","2,566","2,694","2,394","3,038","3,538","3,722","4,185","6,285"
Operating Profit,128,180,236,217,295,434,189,664,987,"1,168","1,298","1,611"
OPM %,9%,11%,13%,10%,10%,14%,7%,18%,22%,24%,24%,20%
Other Income +,6,-19,7,18,16,7,21,26,59,73,80,45
Interest,45,33,28,55,81,94,82,76,84,112,163,244
Depreciation,68,76,80,100,137,186,184,183,210,241,278,448
Profit before tax,21,51,135,80,93,161,-56,430,752,888,936,964
Tax %,71%,59%,39%,36%,37%,26%,-75%,20%,19%,11%,16%,16%
Net Profit +,-19,21,83,51,59,119,-14,342,607,790,791,806
EPS in Rs,-0.84,1.04,4.06,2.51,2.90,5.82,-0.70,16.73,29.67,38.62,38.66,39.42
Dividend Payout %,0%,0%,0%,0%,35%,17%,0%,6%,8%,10%,12%,11%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,200,204,204,204,204,204,204,204,204,204,204,204
Reserves,568,672,759,831,877,932,916,"1,284","1,927","2,679","3,422","4,333"
Borrowings +,362,258,217,802,813,952,826,723,884,"1,627","2,428","5,857"
Other Liabilities +,241,424,468,692,746,813,833,931,"1,155","1,123","1,216","2,080"
Total Liabilities,"1,371","1,557","1,648","2,529","2,640","2,901","2,779","3,143","4,170","5,633","7,271","12,474"
Fixed Assets +,913,"1,054","1,082","1,848","1,838","2,092","1,961","1,980","2,336","2,651","4,266","7,821"
CWIP,20,14,53,35,56,12,20,67,259,514,86,267
Investments,52,87,96,9,17,86,120,132,252,844,"1,084",573
Other Assets +,385,402,417,637,729,711,678,964,"1,323","1,624","1,835","3,813"
Total Assets,"1,371","1,557","1,648","2,529","2,640","2,901","2,779","3,143","4,170","5,633","7,271","12,474"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,77,174,219,182,279,443,304,485,"1,085","1,067",986,"1,621"
Cash from Investing Activity +,-223,-150,-146,-520,-162,-189,-113,-267,"-1,176","-1,458","-1,325","-3,700"
Cash from Financing Activity +,140,18,-45,315,-27,-247,-194,-159,88,488,544,"2,340"
Net Cash Flow,-6,42,28,-22,89,7,-2,59,-4,97,205,262
Free Cash Flow,-15,86,85,-20,129,329,235,235,563,99,-93,753
CFO/OP,78%,116%,108%,100%,113%,117%,133%,83%,119%,99%,86%,110%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,38,34,30,45,34,31,39,43,35,31,37,30
Inventory Days,56,48,45,56,48,35,32,30,31,44,40,37
Days Payable,146,152,173,200,177,177,221,180,224,214,185,248
Cash Conversion Cycle,-51,-70,-98,-100,-95,-111,-150,-108,-158,-138,-108,-181
Working Capital Days,-30,-12,-11,-10,-10,-22,-38,-16,-25,-30,-17,-1
ROCE %,7%,9%,14%,9%,9%,14%,2%,25%,32%,26%,21%,15%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,63.85%,63.85%,63.85%,63.85%,63.85%,63.85%,63.85%,63.85%,63.85%,63.85%,63.27%,63.27%
FIIs +,11.10%,11.59%,11.51%,10.91%,10.01%,9.69%,9.45%,9.66%,10.46%,10.49%,11.10%,9.98%
DIIs +,11.95%,10.89%,10.23%,9.51%,8.22%,7.90%,8.68%,8.52%,8.09%,7.76%,7.91%,9.14%
Government +,0.00%,0.00%,0.00%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Public +,12.45%,13.05%,13.78%,15.12%,17.29%,17.94%,17.39%,17.34%,16.98%,17.29%,17.09%,16.98%
Others +,0.63%,0.62%,0.62%,0.62%,0.62%,0.62%,0.62%,0.62%,0.62%,0.62%,0.62%,0.62%
No. of Shareholders,"86,631","1,02,994","1,20,506","1,38,052","1,60,686","1,78,356","1,77,792","1,85,787","2,05,639","2,26,480","2,28,123","2,20,561"

--- CAGR BOXES ---




