--- ABOUT ---
"Incorporated in 2016, OnEMI Technology Solutions Limited is a technology-enabled lender in India, primarily offering digital loans through its mobile application for various consumption and business needs. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"4,982",296,299,17.7

Book Value,Dividend Yield,ROCE,ROE
,0.00,22.6,24.0

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2025,Dec 2025,Mar 2026
Sales +,369,591,619
Expenses +,246,417,433
Operating Profit,123,175,186
OPM %,33%,30%,30%
Other Income +,4,10,6
Interest,52,75,77
Depreciation,5,5,5
Profit before tax,70,104,110
Tax %,23%,26%,25%
Net Profit +,54,77,82
EPS in Rs,101.01,14.25,6.92
Raw PDF,,,

--- ANNUAL RESULTS ---
,Mar 2021,Mar 2022,Mar 2024,Mar 2025,Mar 2026
Sales +,175,517,"1,700","1,352","2,179"
Expenses +,198,430,"1,307",914,"1,529"
Operating Profit,-23,86,393,438,651
OPM %,-13%,17%,23%,32%,30%
Other Income +,1,0,0,0,30
Interest,26,26,103,199,282
Depreciation,6,7,23,23,22
Profit before tax,-55,54,267,216,377
Tax %,6%,-16%,26%,26%,25%
Net Profit +,-58,63,197,161,281
EPS in Rs,-240.36,257.50,412.72,299.49,23.70
Dividend Payout %,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2021,Mar 2022,Mar 2024,Mar 2025,Mar 2026
Equity Capital,2,2,5,5,12
Reserves,158,233,794,995,"1,331"
Borrowings +,125,144,841,"1,562","1,928"
Other Liabilities +,60,162,156,139,718
Total Liabilities,345,541,"1,797","2,701","3,989"
Fixed Assets +,18,12,57,53,49
CWIP,0,0,0,5,0
Investments,1,0,0,0,8
Other Assets +,326,529,"1,739","2,643","3,931"
Total Assets,345,541,"1,797","2,701","3,989"

--- CASH FLOW ---
,Mar 2021,Mar 2022,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,79,-16,-637,-661,-461
Cash from Investing Activity +,100,33,40,-33,-70
Cash from Financing Activity +,-202,19,312,542,608
Net Cash Flow,-23,37,-285,-152,77
Free Cash Flow,75,-15,-640,-669,-471
CFO/OP,-340%,20%,-140%,-141%,-257%

--- RATIOS ---
,Mar 2021,Mar 2022,Mar 2024,Mar 2025,Mar 2026
Debtor Days,2,4,35,19,17
Inventory Days,,,,,
Days Payable,,,,,
Cash Conversion Cycle,2,4,35,19,17
Working Capital Days,310,135,211,509,150
ROCE %,,24%,,20%,23%

--- SHAREHOLDING PATTERN ---
,May 2026
Promoters +,24.80%
FIIs +,5.10%
DIIs +,19.11%
Government +,0.86%
Public +,50.14%
No. of Shareholders,"1,42,264"

--- CAGR BOXES ---




