--- ABOUT ---
"KFIL, incorporated in 1991, is a part of the Pune-based Kirloskar Group. KFIL manufactures pig  iron and ferrous castings such as cylinder blocks, cylinder heads, and transmission parts and different types of housings required by automobile, tractor and diesel engine industries. It is one of the leading players in foundry-grade pig iron manufacturing and ferrous castings in the domestic market. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"7,867",477,618,21.3

Book Value,Dividend Yield,ROCE,ROE
225,1.15,13.5,10.3

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,566","1,502","1,560","1,548","1,536","1,554","1,666","1,608","1,737","1,698","1,755","1,618","1,817"
Expenses +,"1,345","1,295","1,306","1,316","1,371","1,367","1,472","1,434","1,536","1,481","1,541","1,432","1,593"
Operating Profit,221,207,253,232,165,187,194,174,201,217,214,186,225
OPM %,14%,14%,16%,15%,11%,12%,12%,11%,12%,13%,12%,11%,12%
Other Income +,12,4,-33,9,-25,6,14,9,24,11,4,-13,44
Interest,26,29,30,30,32,33,37,39,35,34,33,29,30
Depreciation,48,47,57,63,72,61,63,65,67,64,66,67,69
Profit before tax,159,136,133,148,36,99,108,79,124,130,120,77,170
Tax %,41%,32%,39%,29%,51%,29%,28%,31%,25%,27%,28%,31%,28%
Net Profit +,95,93,82,105,18,70,78,54,92,95,86,53,123
EPS in Rs,6.35,5.32,5.87,7.56,1.28,5.00,4.72,3.30,5.61,5.78,5.24,3.23,7.46
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"3,748","6,417","6,146","6,564","6,889"
Expenses +,"3,105","5,582","5,284","5,802","6,047"
Operating Profit,643,836,863,762,842
OPM %,17%,13%,14%,12%,12%
Other Income +,12,49,-50,47,47
Interest,30,95,120,144,125
Depreciation,92,173,239,256,267
Profit before tax,533,617,453,408,497
Tax %,44%,29%,34%,28%,28%
Net Profit +,300,437,298,294,358
EPS in Rs,25.02,31.47,21.37,17.86,21.70
Dividend Payout %,22%,17%,26%,31%,14%

--- BALANCE SHEET ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,69,69,70,82,82
Reserves,"1,696","2,939","3,162","3,353","3,631"
Borrowings +,"1,208",971,"1,224","1,278","1,036"
Other Liabilities +,"2,341","1,502","1,440","1,635","1,810"
Total Liabilities,"5,314","5,482","5,894","6,349","6,559"
Fixed Assets +,"2,734","3,067","3,219","3,513","3,630"
CWIP,222,205,495,339,312
Investments,4,1,1,1,1
Other Assets +,"2,353","2,208","2,180","2,496","2,616"
Total Assets,"5,314","5,482","5,894","6,349","6,559"

--- CASH FLOW ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,345,798,562,654,942
Cash from Investing Activity +,-190,-399,-521,-475,-444
Cash from Financing Activity +,-85,-423,-62,-173,-453
Net Cash Flow,71,-25,-20,7,45
Free Cash Flow,-79,382,37,176,494
CFO/OP,72%,115%,82%,98%,113%

--- RATIOS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,79,47,53,58,58
Inventory Days,160,106,111,110,101
Days Payable,173,102,93,105,111
Cash Conversion Cycle,66,51,72,64,48
Working Capital Days,-13,9,9,4,1
ROCE %,,18%,15%,12%,13%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,56.61%,56.53%,56.50%,56.48%,56.44%,50.93%,50.91%,50.90%,50.90%,50.86%,50.82%,50.80%
FIIs +,1.70%,1.65%,1.71%,1.86%,1.98%,1.86%,1.94%,1.93%,1.91%,1.90%,1.76%,1.78%
DIIs +,10.72%,11.33%,11.99%,12.49%,12.49%,10.50%,10.47%,10.68%,10.70%,11.31%,11.95%,12.57%
Public +,30.98%,30.49%,29.81%,29.18%,29.10%,36.71%,36.69%,36.50%,36.49%,35.93%,35.48%,34.84%
No. of Shareholders,"79,183","83,671","68,331","65,047","63,670","1,59,524","1,09,719","1,07,029","1,05,100","1,02,890","98,828","90,482"

--- CAGR BOXES ---




