--- ABOUT ---
"PNB Housing Finance offers retail customers housing and non-housing loans, including individual home loans, loan against property, non-resident property loan, among others. It is promoted by Punjab National Bank. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"26,137","1,003","1,136",11.4

Book Value,Dividend Yield,ROCE,ROE
738,0.50,9.40,12.7

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue +,"1,636","1,708","1,778","1,755","1,810","1,823","1,879","1,942","2,022","2,076","2,128","2,119","2,182"
Interest,"1,008","1,048","1,057","1,087","1,070","1,097","1,118","1,158","1,178","1,234","1,267","1,253","1,246"
Expenses +,275,201,204,216,170,168,143,155,133,145,88,183,52
Financing Profit,353,459,517,452,570,559,618,629,711,697,773,683,883
Financing Margin %,22%,27%,29%,26%,31%,31%,33%,32%,35%,34%,36%,32%,40%
Other Income +,2,0,2,1,4,9,1,1,15,6,3,2,-10
Depreciation,13,13,11,13,14,13,14,14,14,15,16,16,19
Profit before tax,342,447,507,440,560,554,605,616,711,688,760,668,855
Tax %,18%,22%,24%,23%,22%,22%,22%,22%,23%,22%,23%,22%,23%
Net Profit +,279,347,383,338,439,433,470,483,550,534,582,520,656
EPS in Rs,10.76,13.38,14.75,13.03,16.91,16.66,18.08,18.60,21.17,20.51,22.33,19.97,25.17
Gross NPA %,,,,,,,1.24%,1.19%,,1.06%,1.04%,1.04%,0.93%
Net NPA %,,,,,,,0.84%,0.80%,,0.69%,0.69%,0.68%,0.57%
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue +,"5,489","7,679","8,482","7,604","6,196","6,527","7,053","7,685","8,505"
Interest,"3,537","5,167","5,875","5,101","4,065","3,900","4,263","4,552","5,000"
Expenses +,693,750,"1,737","1,253",998,"1,217",789,598,468
Financing Profit,"1,258","1,762",870,"1,250","1,133","1,410","2,001","2,535","3,037"
Financing Margin %,23%,23%,10%,16%,18%,22%,28%,33%,36%
Other Income +,0,4,7,16,5,2,4,6,1
Depreciation,24,31,66,59,53,51,51,56,66
Profit before tax,"1,235","1,734",811,"1,207","1,084","1,361","1,954","2,486","2,971"
Tax %,32%,31%,20%,23%,23%,23%,23%,22%,23%
Net Profit +,841,"1,192",646,930,836,"1,046","1,508","1,936","2,291"
EPS in Rs,32.86,46.29,25.00,35.96,32.28,40.31,58.06,74.49,87.94
Dividend Payout %,18%,13%,-0%,-0%,-0%,-0%,-0%,7%,9%

--- BALANCE SHEET ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,167,167,168,168,169,169,260,260,261
Reserves,"6,401","7,376","7,830","8,755","9,703","10,845","14,715","16,603","18,959"
Borrowing,"53,777","71,859","67,735","59,392","52,961","53,621","55,017","62,310","71,199"
Other Liabilities +,"2,670","4,466","3,197","3,077","2,897","2,238","2,414","3,348","3,094"
Total Liabilities,"63,014","83,869","78,930","71,392","65,730","66,874","72,405","82,520","93,512"
Fixed Assets +,76,103,251,181,150,146,207,239,279
CWIP,10,5,4,2,4,3,15,16,1
