--- ABOUT ---
"Incorporated in 1985, NDL Ventures provides Financial services, except  insurance and pension funding [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
453,134,140,

Book Value,Dividend Yield,ROCE,ROE
73.5,0.37,1.84,-10.2

Face Value
10.0

--- QUARTERLY RESULTS ---
,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022
Sales +,257,298,215,228,230,251,265,247,271,250,313,237,245
Expenses +,225,220,393,184,184,197,210,215,225,212,244,225,215
Operating Profit,32,78,-177,44,46,54,55,31,45,37,69,12,31
OPM %,12%,26%,-82%,19%,20%,21%,21%,13%,17%,15%,22%,5%,12%
Other Income +,125,40,12,7,6,10,13,20,7,15,32,42,26
Interest,25,32,33,36,38,36,33,35,36,36,29,37,35
Depreciation,48,50,54,49,57,52,46,54,54,56,59,59,68
Profit before tax,84,36,-252,-34,-42,-23,-12,-38,-38,-40,13,-42,-46
Tax %,-47%,-49%,-7%,-14%,-100%,-107%,-217%,-25%,-27%,-34%,-575%,-7%,2%
Net Profit +,124,53,-234,-30,0,2,14,-29,-27,-27,84,-39,-46
EPS in Rs,32.09,16.88,-80.78,-7.96,-3.41,-1.58,3.15,-9.39,-8.87,-8.97,23.46,-11.53,-14.23
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,434,538,698,767,755,671,785,840,665,"1,000",975,"1,080","1,044"
Expenses +,306,342,475,629,639,596,726,791,801,"1,058",769,892,896
Operating Profit,127,196,223,138,116,75,59,49,-136,-58,206,188,148
OPM %,29%,36%,32%,18%,15%,11%,8%,6%,-20%,-6%,21%,17%,14%
Other Income +,42,25,5,7,25,96,41,24,65,162,36,72,114
Interest,4,15,46,121,93,135,162,149,110,126,150,141,137
Depreciation,28,35,67,122,84,89,124,150,153,197,204,223,241
Profit before tax,137,170,115,-98,-36,-53,-186,-226,-333,-219,-112,-103,-115
Tax %,20%,28%,24%,-42%,76%,72%,9%,2%,3%,-39%,-88%,-102%,
Net Profit +,109,123,87,-57,-64,-90,-204,-231,-343,-134,-14,2,-28
