--- ABOUT ---
"Incorporated in 1980, Vintage Coffee and Beverages Ltd manufactures and exports instant coffee and chicory [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,217",152,180,30.7

Book Value,Dividend Yield,ROCE,ROE
39.1,0.07,18.2,16.6

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,19,21,30,38,42,44,72,88,105,102,136,151,165
Expenses +,14,15,24,31,35,36,62,72,86,84,113,122,135
Operating Profit,4,5,6,7,7,8,10,16,19,18,22,29,31
OPM %,22%,26%,19%,18%,17%,18%,14%,18%,18%,18%,16%,19%,18%
Other Income +,0,0,0,0,1,0,2,1,1,1,1,2,4
Interest,1,2,2,1,2,1,2,1,2,2,2,2,3
Depreciation,1,1,1,1,1,2,2,2,2,2,2,3,3
Profit before tax,2,2,3,4,5,5,8,14,17,16,20,25,28
Tax %,14%,16%,17%,15%,11%,9%,9%,9%,9%,8%,10%,24%,26%
Net Profit +,1,2,2,4,4,5,8,12,16,14,18,19,21
EPS in Rs,0.13,0.16,0.23,0.34,0.41,0.37,0.61,1.01,1.24,1.09,1.23,1.31,1.44
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,37,63,131,309,553
Expenses +,41,48,106,256,453
Operating Profit,-4,15,25,53,100
OPM %,-12%,24%,19%,17%,18%
Other Income +,1,0,1,4,8
Interest,4,6,7,6,9
Depreciation,3,5,5,7,9
Profit before tax,-12,5,14,44,89
Tax %,5%,19%,14%,9%,19%
Net Profit +,-12,4,12,40,72
EPS in Rs,-1.17,0.37,1.14,3.19,4.96
Dividend Payout %,-0%,9%,4%,-0%,3%

--- BALANCE SHEET ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,70,70,105,126,146
Reserves,35,39,62,177,424
Borrowings +,110,102,97,82,124
Other Liabilities +,32,35,25,25,32
Total Liabilities,246,246,288,409,725
Fixed Assets +,157,152,149,151,302
CWIP,-0,-0,-0,-0,-0
Investments,-0,-0,-0,-0,-0
Other Assets +,89,94,139,258,423
Total Assets,246,246,288,409,725

--- CASH FLOW ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-27,11,-36,-23,15
Cash from Investing Activity +,-157,-1,-4,-46,-128
Cash from Financing Activity +,186,-11,43,189,193
Net Cash Flow,2,-1,3,121,79
Free Cash Flow,-184,11,-37,-30,-142
CFO/OP,606%,73%,-142%,-43%,32%

--- RATIOS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,124,70,60,93,88
Inventory Days,924,676,318,125,94
Days Payable,127,138,9,12,3
Cash Conversion Cycle,921,608,370,206,178
Working Capital Days,234,157,241,187,147
ROCE %,,5%,9%,15%,18%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,69.91%,46.61%,47.61%,47.61%,40.57%,40.57%,40.06%,39.17%,38.68%,34.08%,34.65%,34.65%
FIIs +,0.00%,0.00%,0.00%,0.00%,2.30%,2.25%,3.42%,3.36%,3.88%,5.28%,4.38%,4.84%
DIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.37%,1.86%,2.55%,6.26%,6.27%,7.62%
Public +,30.10%,53.40%,52.39%,52.38%,57.14%,57.20%,55.14%,55.62%,54.90%,54.38%,54.71%,52.90%
No. of Shareholders,"8,300","8,018","7,983","8,704","9,366","14,539","18,229","19,362","21,359","30,683","38,090","36,411"

--- CAGR BOXES ---




