--- ABOUT ---
"Incorporated in 1998, ABM Knowledgeware Ltd provides activities in e-governance, information security, technology enabled applications through cloud services and other software services [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
436,218,325,46.1

Book Value,Dividend Yield,ROCE,ROE
121,0.57,6.53,3.97

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,19.16,20.54,23.19,20.87,26.55,21.63,22.42,28.24,24.38,25.11,22.08,30.74,25.53
Expenses +,16.25,17.02,18.84,18.54,19.66,18.30,18.05,20.85,21.56,20.32,19.69,26.48,22.54
Operating Profit,2.91,3.52,4.35,2.33,6.89,3.33,4.37,7.39,2.82,4.79,2.39,4.26,2.99
OPM %,15.19%,17.14%,18.76%,11.16%,25.95%,15.40%,19.49%,26.17%,11.57%,19.08%,10.82%,13.86%,11.71%
Other Income +,1.58,1.77,1.42,1.40,1.74,1.81,2.16,1.70,2.52,2.64,1.24,1.60,0.30
Interest,0.05,0.08,0.07,0.07,0.04,0.06,0.08,0.09,0.07,0.07,0.08,0.06,0.07
Depreciation,0.78,0.94,0.77,0.82,0.85,0.89,0.92,0.94,0.97,1.02,1.04,1.08,1.06
Profit before tax,3.66,4.27,4.93,2.84,7.74,4.19,5.53,8.06,4.30,6.34,2.51,4.72,2.16
Tax %,6.56%,20.84%,21.70%,17.25%,25.97%,20.29%,20.43%,24.07%,24.65%,22.71%,44.22%,33.47%,62.50%
Net Profit +,3.42,3.39,3.86,2.35,5.73,3.35,4.40,6.11,3.24,4.89,1.40,3.14,0.80
EPS in Rs,1.60,1.56,1.74,1.26,2.66,1.68,1.90,1.75,1.85,1.86,1.01,0.96,0.88
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,74,61,85,89,96,80,91,97,103
Expenses +,55,41,66,63,78,63,74,79,89
Operating Profit,18,20,18,26,17,17,17,18,14
OPM %,25%,33%,22%,29%,18%,21%,19%,19%,14%
Other Income +,3,4,4,5,4,5,6,8,6
Interest,0,0,0,0,0,0,0,0,0
Depreciation,2,2,2,2,2,3,3,4,4
Profit before tax,19,22,21,29,18,19,20,22,16
Tax %,25%,31%,19%,25%,23%,21%,23%,23%,35%
Net Profit +,14,15,17,22,14,15,15,17,10
EPS in Rs,7.19,7.83,7.81,10.00,7.33,6.61,7.24,7.19,4.72
Dividend Payout %,18%,16%,16%,13%,17%,19%,18%,18%,25%

--- BALANCE SHEET ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,10,10,10,10,10,10,10,10,10
Reserves,135,148,157,178,190,200,212,224,232
Borrowings +,0,0,0,0,0,0,0,0,0
Other Liabilities +,12,14,32,37,37,36,39,46,44
Total Liabilities,158,172,200,225,237,247,262,281,286
Fixed Assets +,50,51,51,51,52,52,53,54,53
CWIP,1,0,0,0,0,0,0,0,0
Investments,31,44,77,64,80,99,104,120,110
Other Assets +,76,77,71,109,104,96,105,107,123
Total Assets,158,172,200,225,237,247,262,281,286

--- CASH FLOW ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-1,41,11,17,4,6,7,24,-11
Cash from Investing Activity +,-26,-10,-32,15,-16,-17,-4,-15,7
Cash from Financing Activity +,-3,-3,-6,-0,-3,-3,-3,-3,-3
Net Cash Flow,-30,27,-27,32,-15,-13,0,6,-7
Free Cash Flow,-2,39,9,15,1,3,3,19,-15
CFO/OP,42%,229%,81%,92%,54%,64%,62%,159%,-47%

--- RATIOS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,264,123,144,100,151,181,181,183,210
Inventory Days,,,,,,,,,
Days Payable,,,,,,,,,
Cash Conversion Cycle,264,123,144,100,151,181,181,183,210
Working Capital Days,306,199,154,80,155,218,222,160,509
ROCE %,,15%,13%,16%,10%,9%,9%,10%,7%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,66.93%,66.93%,66.93%,66.93%,66.93%,66.93%,66.93%,66.93%,66.93%,66.93%,66.93%,66.93%
FIIs +,0.34%,0.34%,0.34%,0.34%,0.34%,0.34%,0.34%,0.00%,0.00%,0.00%,0.00%,0.00%
DIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.06%,0.00%,0.00%,0.00%
Public +,32.73%,32.72%,32.74%,32.73%,32.73%,32.73%,32.74%,33.03%,33.02%,33.08%,33.08%,33.08%
No. of Shareholders,"4,878","5,115","4,776","5,017","5,300","5,380","5,461","5,716","5,431","5,210","5,117","4,856"

--- CAGR BOXES ---




