--- ABOUT ---
"Incorporated in 1986, Manali Petrochemicals Limited manufactures and sells Propylene Oxide (PO), Propylene Glycol (PG) and Polyols (PY), which are used as industrial raw materials. Located in Chennai, the company is the only domestic manufacturer of Propylene Glycol. Also, it is the first and largest Indian manufacturer of Propylene Oxide which is the input material for the aforesaid derivative products."

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,127",65.5,81.1,15.9

Book Value,Dividend Yield,ROCE,ROE
74.5,0.76,7.24,5.97

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,334,301,270,205,256,240,230,196,230,235,248,247,293
Expenses +,327,294,255,200,239,220,226,183,209,212,228,233,268
Operating Profit,6,8,15,5,17,21,4,13,21,23,20,14,25
OPM %,2%,3%,5%,3%,7%,9%,2%,6%,9%,10%,8%,6%,9%
Other Income +,5,7,9,8,1,6,6,4,5,8,12,71,25
Interest,2,2,2,2,3,3,2,3,3,3,3,3,4
Depreciation,7,6,6,6,7,7,7,7,7,8,8,9,9
Profit before tax,2,6,15,5,8,18,1,8,16,20,21,72,37
Tax %,119%,30%,27%,35%,84%,27%,64%,31%,32%,28%,14%,6%,22%
Net Profit +,-0,4,11,3,1,13,0,5,11,14,18,68,29
EPS in Rs,-0.03,0.24,0.63,0.17,0.08,0.76,0.01,0.31,0.63,0.83,1.06,3.98,1.69
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,579,626,748,810,803,"1,024","1,672","1,181","1,032",897,"1,022"
Expenses +,511,574,651,710,733,723,"1,143","1,103",985,839,940
Operating Profit,68,52,97,100,70,302,529,79,47,58,82
OPM %,12%,8%,13%,12%,9%,29%,32%,7%,5%,7%,8%
Other Income +,9,18,3,27,5,-8,11,24,21,21,116
Interest,3,2,3,2,6,5,9,9,10,10,14
Depreciation,6,8,9,11,14,21,20,23,25,27,34
Profit before tax,69,60,88,113,54,268,511,70,33,42,150
Tax %,31%,37%,34%,33%,14%,25%,25%,28%,42%,30%,14%
Net Profit +,48,38,58,77,47,201,381,51,19,29,130
EPS in Rs,2.79,2.20,3.37,4.45,2.71,11.70,22.16,2.95,1.12,1.70,7.56
Dividend Payout %,18%,23%,15%,17%,28%,13%,11%,25%,67%,29%,7%

--- BALANCE SHEET ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,86,86,86,86,86,86,86,86,86,86,86
Reserves,196,225,306,369,395,594,944,958,976,"1,008","1,195"
Borrowings +,2,26,23,34,26,14,19,7,103,129,137
Other Liabilities +,215,195,141,165,153,198,241,223,144,179,177
Total Liabilities,499,532,556,654,660,892,"1,290","1,274","1,308","1,403","1,596"
Fixed Assets +,105,206,273,283,302,292,343,552,559,596,568
CWIP,16,28,12,6,26,28,14,23,17,61,39
Investments,69,16,57,0,41,0,0,0,29,15,6
Other Assets +,310,282,214,364,291,572,933,700,704,731,983
Total Assets,499,532,556,654,660,892,"1,290","1,274","1,308","1,403","1,596"

--- CASH FLOW ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-6,87,58,13,87,219,373,92,75,-19,116
Cash from Investing Activity +,-7,-133,-8,-20,-18,-4,-16,-261,-82,-155,75
Cash from Financing Activity +,-11,6,-17,-2,-29,-28,-26,-64,-7,-0,-9
Net Cash Flow,-24,-39,33,-9,41,186,331,-233,-14,-174,182
Free Cash Flow,-22,-36,26,-6,58,194,346,47,50,-120,49
CFO/OP,36%,194%,86%,44%,144%,95%,95%,149%,170%,6%,158%

--- RATIOS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,57,48,49,51,49,61,35,49,43,48,60
Inventory Days,96,101,53,81,58,47,35,47,55,123,82
Days Payable,124,109,47,64,36,54,38,28,31,62,60
Cash Conversion Cycle,29,39,55,68,71,54,32,68,67,108,82
Working Capital Days,43,16,21,50,38,33,23,44,32,61,49
ROCE %,,20%,24%,22%,14%,49%,60%,8%,5%,5%,7%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,44.87%,44.87%,44.87%,44.87%,44.87%,44.87%,44.87%,44.87%,44.87%,44.87%,44.87%,44.87%
FIIs +,1.96%,0.81%,0.86%,0.79%,1.32%,1.10%,1.06%,0.66%,0.45%,0.44%,0.29%,0.37%
DIIs +,0.03%,0.07%,0.02%,0.02%,0.07%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%
Public +,53.15%,54.24%,54.26%,54.33%,53.74%,54.02%,54.07%,54.47%,54.67%,54.69%,54.83%,54.77%
No. of Shareholders,"1,98,977","1,96,673","1,91,875","1,88,540","1,71,175","1,62,753","1,62,534","1,59,881","1,59,926","1,57,079","1,51,392","1,48,876"

--- CAGR BOXES ---




