--- ABOUT ---
"John Cockerill India Limited, incorporated in 1986 as Flat Products Equipment India Ltd., became part of the Belgium-based John Cockerill Group in 2008 and is engaged in designing, manufacturing, and installing equipment such as cold-rolling mills, galvanising lines, pickling lines, and processing systems for ferrous and non-ferrous industries globally. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"4,573","9,262","10,872 / 3,252",

Book Value,Dividend Yield,ROCE,ROE
,0.08,,

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2025,Dec 2025,Mar 2026
Sales +,220.90,228.41,344.52
Expenses +,222.39,248.07,339.61
Operating Profit,-1.49,-19.66,4.91
OPM %,-0.67%,-8.61%,1.43%
Other Income +,6.13,16.58,11.77
Interest,4.35,5.66,7.04
Depreciation,2.48,3.59,3.28
Profit before tax,-2.19,-12.33,6.36
Tax %,33.33%,-27.58%,-15.57%
Net Profit +,-2.91,-8.92,7.36
EPS in Rs,-5.89,-18.06,14.91
Raw PDF,,,

--- ANNUAL RESULTS ---
,Dec 2025
Sales +,962
Expenses +,"1,001"
Operating Profit,-39
OPM %,-4%
Other Income +,55
Interest,21
Depreciation,11
Profit before tax,-15
Tax %,95%
Net Profit +,-29
EPS in Rs,-59.10
Dividend Payout %,-0%

--- BALANCE SHEET ---
,Dec 2025
Equity Capital,
Reserves,
Borrowings +,
Other Liabilities +,
Total Liabilities,
Fixed Assets +,
CWIP,
Investments,
Other Assets +,
Total Assets,

--- CASH FLOW ---
,Dec 2025
Cash from Operating Activity +,
Cash from Investing Activity +,
Cash from Financing Activity +,
Net Cash Flow,
Free Cash Flow,
CFO/OP,

--- RATIOS ---
,Dec 2025
Debtor Days,
Inventory Days,
Days Payable,
Cash Conversion Cycle,
Working Capital Days,
ROCE %,

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,70.44%,70.44%
FIIs +,0.00%,0.00%,0.00%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%
DIIs +,0.00%,0.00%,0.00%,0.08%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Public +,25.00%,25.00%,25.01%,24.91%,24.90%,24.98%,24.98%,24.97%,24.98%,24.97%,29.54%,29.53%
No. of Shareholders,"5,419","6,577","7,260","7,863","8,694","10,443","11,287","11,473","11,502","11,058","12,927","13,233"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,%
5 Years:,%
3 Years:,%
TTM:,%

Compounded Profit Growth
10 Years:,%
5 Years:,%
3 Years:,%
TTM:,%

Stock Price CAGR
10 Years:,37%
5 Years:,62%
3 Years:,50%
1 Year:,177%

Return on Equity
10 Years:,%
5 Years:,%
3 Years:,%
Last Year:,%

