--- ABOUT ---
"Incorporated in 2010, AVG Logistics Ltd is in the business of transportation of goods, warehousing and other incidental activities, along with trading business [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
341,182,310,16.5

Book Value,Dividend Yield,ROCE,ROE
137,0.66,12.6,9.60

Face Value
10.0

--- QUARTERLY RESULTS ---
,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales +,106.46,112.87,100.34,117.43,124.77,136.95,122.91,138.46,142.44,147.71,125.02,143.03,134.08
Expenses +,87.73,86.42,81.77,96.58,102.12,115.74,100.07,115.14,116.74,124.00,101.39,118.76,108.00
Operating Profit,18.73,26.45,18.57,20.85,22.65,21.21,22.84,23.32,25.70,23.71,23.63,24.27,26.08
OPM %,17.59%,23.43%,18.51%,17.76%,18.15%,15.49%,18.58%,16.84%,18.04%,16.05%,18.90%,16.97%,19.45%
Other Income +,0.74,1.67,0.42,0.54,0.50,24.10,0.78,1.10,0.76,0.20,0.65,1.99,1.11
Interest,8.45,7.48,7.24,7.01,7.06,6.80,6.63,6.76,6.41,6.04,6.16,7.95,8.16
Depreciation,8.82,8.67,9.09,9.71,9.57,10.01,10.37,10.60,12.12,10.31,11.12,11.74,11.94
Profit before tax,2.20,11.97,2.66,4.67,6.52,28.50,6.62,7.06,7.93,7.56,7.00,6.57,7.09
Tax %,11.82%,23.39%,21.43%,37.47%,32.82%,19.75%,21.30%,23.80%,30.39%,30.95%,28.86%,22.68%,23.84%
Net Profit +,1.35,11.07,2.53,1.72,4.80,22.87,5.21,5.38,5.51,5.23,4.97,5.08,5.40
EPS in Rs,0.92,7.58,1.73,1.18,3.29,13.45,3.06,3.11,2.98,2.80,2.66,2.72,2.89
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales +,227,313,322,333,432,427,480,552,550
Expenses +,202,285,298,318,390,352,395,455,452
Operating Profit,25,28,24,15,41,76,85,96,98
OPM %,11%,9%,8%,5%,10%,18%,18%,17%,18%
Other Income +,0,1,1,2,1,3,25,3,4
Interest,7,9,10,13,23,31,29,26,28
Depreciation,6,8,9,7,18,36,38,43,45
Profit before tax,12,13,6,-2,1,11,42,29,28
Tax %,37%,25%,30%,-25%,-8%,30%,24%,27%,
Net Profit +,8,9,5,-2,1,8,32,21,21
EPS in Rs,8.39,7.41,4.05,-1.18,0.66,5.71,18.78,11.41,11.07
Dividend Payout %,0%,0%,0%,0%,0%,14%,5%,8%,

--- BALANCE SHEET ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,7,10,10,12,12,12,14,15,15
Reserves,22,58,64,67,70,78,186,232,242
Borrowings +,50,73,80,107,287,266,220,219,280
Other Liabilities +,20,34,55,45,55,52,28,34,38
Total Liabilities,100,175,209,230,424,408,449,499,574
Fixed Assets +,22,37,39,64,238,216,230,216,219
CWIP,4,8,16,2,0,2,0,8,14
Investments,2,9,10,10,10,10,10,11,12
Other Assets +,73,120,143,154,176,179,208,264,330
Total Assets,100,175,209,230,424,408,449,499,574

--- CASH FLOW ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,12,-6,21,-4,29,38,28,37
Cash from Investing Activity +,-10,-38,-17,-16,-24,-16,-35,-35
Cash from Financing Activity +,-1,45,-3,20,-6,-24,8,-2
Net Cash Flow,1,1,1,-0,-1,-1,0,0
Free Cash Flow,4,-35,2,-21,6,21,-23,1
CFO/OP,61%,-0%,112%,9%,81%,44%,37%,46%

--- RATIOS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,76,82,92,92,91,105,123,136
Inventory Days,3,1,7,,,,,
Days Payable,126,96,291,,,,,
Cash Conversion Cycle,-48,-13,-192,92,91,105,123,136
Working Capital Days,13,37,24,24,31,17,56,63
ROCE %,,21%,11%,6%,9%,12%,15%,13%

--- SHAREHOLDING PATTERN ---
,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters +,61.22%,61.22%,52.76%,52.76%,51.54%,51.88%,52.51%,52.51%,52.51%,51.20%,51.20%,41.23%
FIIs +,4.35%,5.19%,8.03%,8.60%,8.14%,8.01%,8.36%,8.59%,8.57%,8.68%,8.54%,5.90%
DIIs +,8.39%,1.69%,1.44%,1.44%,1.41%,1.61%,1.59%,1.59%,1.57%,1.40%,1.54%,16.43%
Public +,26.03%,31.89%,37.77%,37.20%,38.92%,38.49%,37.54%,37.32%,37.35%,38.73%,38.73%,36.43%
No. of Shareholders,"2,346","3,791","7,519","8,959","8,971","10,664","10,615","10,313","10,078","10,114","9,798","9,927"

--- CAGR BOXES ---




