--- ABOUT ---
"Incorporated in 2020, Rossell Techsys Inc Ltd is in the business of aerospace and defence [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"3,874","1,028","1,122",171

Book Value,Dividend Yield,ROCE,ROE
41.1,0.02,11.5,15.7

Face Value
2.00

--- QUARTERLY RESULTS ---
,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,60.03,58.01,56.38,44.90,51.10,75.74,87.93,87.22,125.91,129.93,142.07
Expenses +,48.35,50.85,49.77,45.97,45.23,61.34,72.42,76.24,110.14,112.70,125.95
Operating Profit,11.68,7.16,6.61,-1.07,5.87,14.40,15.51,10.98,15.77,17.23,16.12
OPM %,19.46%,12.34%,11.72%,-2.38%,11.49%,19.01%,17.64%,12.59%,12.52%,13.26%,11.35%
Other Income +,0.79,0.73,0.91,1.00,0.27,0.35,1.07,1.27,0.02,-0.10,4.79
Interest,3.07,2.95,3.12,3.19,3.68,4.65,4.56,4.77,4.99,6.29,7.68
Depreciation,2.21,2.22,2.18,2.25,2.54,2.69,3.01,3.15,3.43,3.51,3.66
Profit before tax,7.19,2.72,2.22,-5.51,-0.08,7.41,9.01,4.33,7.37,7.33,9.57
Tax %,0.00%,27.21%,33.33%,-27.22%,12.50%,29.82%,23.97%,24.02%,23.07%,26.19%,21.42%
Net Profit +,7.19,1.97,1.48,-4.00,-0.10,5.20,6.85,3.30,5.67,5.41,7.52
EPS in Rs,"1,438.00",394.00,296.00,-800.00,-0.03,1.38,1.82,0.88,1.50,1.44,1.99
Raw PDF,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2024,Mar 2025,Mar 2026
Sales +,217,260,485
Expenses +,185,225,422
Operating Profit,32,35,63
OPM %,15%,14%,13%
Other Income +,3,3,4
Interest,12,16,24
Depreciation,9,10,14
Profit before tax,14,11,29
Tax %,21%,30%,23%
Net Profit +,11,8,22
EPS in Rs,"2,242.00",2.10,5.81
Dividend Payout %,0%,10%,5%

--- BALANCE SHEET ---
,Mar 2024,Mar 2025,Mar 2026
Equity Capital,8,8,8
Reserves,119,126,147
Borrowings +,168,240,409
Other Liabilities +,67,49,67
Total Liabilities,361,423,631
Fixed Assets +,103,114,124
CWIP,10,3,2
Investments,0,0,0
Other Assets +,247,306,505
Total Assets,361,423,631

--- CASH FLOW ---
,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,1,-42,-83
Cash from Investing Activity +,-11,-14,-23
Cash from Financing Activity +,11,59,149
Net Cash Flow,1,2,43
Free Cash Flow,-10,-57,-105
CFO/OP,4%,-106%,-121%

--- RATIOS ---
,Mar 2024,Mar 2025,Mar 2026
Debtor Days,103,103,88
Inventory Days,565,566,380
Days Payable,134,62,55
Cash Conversion Cycle,533,607,412
Working Capital Days,34,25,-9
ROCE %,,8%,12%

--- SHAREHOLDING PATTERN ---
,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,74.81%,74.81%,74.80%,74.80%,74.80%,74.80%,74.80%
FIIs +,1.51%,1.47%,1.48%,1.48%,1.50%,1.50%,1.60%
DIIs +,2.69%,2.42%,2.42%,2.42%,2.42%,2.77%,3.51%
Public +,21.00%,21.31%,21.30%,21.29%,21.27%,20.93%,20.08%
No. of Shareholders,"15,881","15,347","15,057","15,019","20,638","20,454","19,467"

--- CAGR BOXES ---




