--- ABOUT ---
"VST Tillers Tractors Ltd. was established in the year 1967 by the VST Group of companies, a well-known century-old business house in South India. The founder of the group was Sri V.S. Thiruvengadaswamy Mudaliar. VST Tillers Tractors Ltd. was promoted by VST Motors as a joint venture since 1966 with Mitsubishi Heavy Industries Ltd, Japan. The company is now the largest manufacturer of Power Tillers in India. All of the collaborations have expired [1] and today VST family holds 51% of the equity in the listed company that has recorded consistent growth. [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"3,951","4,567","6,374",37.7

Book Value,Dividend Yield,ROCE,ROE
"1,264",0.44,13.7,9.99

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,322.61,246.14,278.51,169.96,273.44,190.59,283.43,219.10,301.43,282.45,315.15,314.30,328.46
Expenses +,268.06,214.43,235.40,160.50,233.98,177.59,245.95,199.79,261.62,245.29,274.70,273.89,281.84
Operating Profit,54.55,31.71,43.11,9.46,39.46,13.00,37.48,19.31,39.81,37.16,40.45,40.41,46.62
OPM %,16.91%,12.88%,15.48%,5.57%,14.43%,6.82%,13.22%,8.81%,13.21%,13.16%,12.84%,12.86%,14.19%
Other Income +,5.23,18.12,13.91,18.16,10.39,21.32,26.76,-8.85,-0.92,25.89,2.64,7.02,-31.20
Interest,0.30,0.56,0.48,0.59,0.52,0.51,0.56,0.48,0.41,0.38,0.57,0.51,0.45
Depreciation,6.90,6.68,6.88,6.78,6.67,6.25,6.46,6.38,6.39,6.41,6.46,6.38,6.26
Profit before tax,52.58,42.59,49.66,20.25,42.66,27.56,57.22,3.60,32.09,56.26,36.06,40.54,8.71
Tax %,23.64%,22.54%,26.60%,16.69%,18.54%,18.47%,21.71%,64.44%,23.90%,21.40%,30.73%,24.94%,41.56%
Net Profit +,40.15,32.99,36.45,16.87,34.75,22.47,44.80,1.28,24.42,44.22,24.98,30.43,5.09
EPS in Rs,46.47,38.19,42.19,19.53,40.22,26.01,51.85,1.48,28.25,51.16,28.90,35.21,5.88
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,006",968,995,"1,240"
Expenses +,878,844,885,"1,076"
Operating Profit,128,124,110,165
OPM %,13%,13%,11%,13%
Other Income +,25,60,38,4
Interest,2,3,2,2
Depreciation,27,27,25,26
Profit before tax,124,155,120,142
Tax %,25%,22%,23%,26%
Net Profit +,92,121,93,105
EPS in Rs,106.90,140.14,107.56,121.02
Dividend Payout %,23%,14%,19%,21%

--- BALANCE SHEET ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,9,9,9,9
Reserves,816,915,993,"1,085"
Borrowings +,2,1,2,2
Other Liabilities +,264,242,261,248
Total Liabilities,"1,091","1,167","1,265","1,344"
Fixed Assets +,261,250,240,232
CWIP,14,5,10,18
Investments,430,484,523,630
Other Assets +,385,428,492,464
Total Assets,"1,091","1,167","1,265","1,344"

--- CASH FLOW ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,36,49,77,132
Cash from Investing Activity +,-32,9,-29,-136
Cash from Financing Activity +,-19,-24,-20,-20
Net Cash Flow,-14,33,28,-24
Free Cash Flow,12,41,56,105
CFO/OP,52%,63%,89%,100%

--- RATIOS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,54,58,75,51
Inventory Days,56,65,54,53
Days Payable,68,55,53,43
Cash Conversion Cycle,42,69,76,60
Working Capital Days,50,72,76,245
ROCE %,,18%,12%,14%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,55.58%,55.58%,55.58%,55.64%,55.64%,55.64%,55.64%,55.64%,55.61%,55.61%,55.61%,55.61%
FIIs +,1.76%,2.07%,2.02%,1.88%,2.79%,2.90%,2.67%,2.47%,1.40%,1.76%,1.61%,1.84%
DIIs +,18.97%,17.24%,16.61%,16.87%,17.97%,19.10%,20.47%,20.72%,21.72%,21.41%,20.59%,19.61%
Public +,23.69%,25.12%,25.79%,25.62%,23.60%,22.37%,21.22%,21.18%,21.26%,21.23%,22.19%,22.95%
Others +,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
No. of Shareholders,"23,923","25,456","26,121","26,855","25,190","24,066","23,321","24,104","20,243","21,237","22,694","24,076"

--- CAGR BOXES ---




