Borrowings +,"1,692","1,597","1,610","1,548","1,690","1,764","1,570","1,320","1,221",917,"1,261","1,610"
Other Liabilities +,291,330,460,529,554,573,787,"1,042","1,341","1,753","2,298","2,934"
Total Liabilities,"2,445","2,464","2,735","3,256","3,573","3,818","4,112","4,359","5,319","6,042","7,413","9,064"
Fixed Assets +,370,361,374,566,601,906,880,905,995,"1,160","1,404","1,852"
CWIP,15,24,40,28,42,17,33,35,27,41,45,67
Investments,7,6,14,14,36,33,29,25,127,183,223,48
Other Assets +,"2,053","2,072","2,308","2,648","2,894","2,862","3,171","3,394","4,170","4,657","5,741","7,097"
Total Assets,"2,445","2,464","2,735","3,256","3,573","3,818","4,112","4,359","5,319","6,042","7,413","9,064"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,9,297,227,60,103,477,445,517,258,757,462,910
Cash from Investing Activity +,-58,-54,-83,-233,-137,-83,-101,-145,-395,-201,-219,-845
Cash from Financing Activity +,32,-235,-137,160,44,-404,-346,-358,136,-538,-150,-127
Net Cash Flow,-17,8,7,-13,10,-10,-2,15,0,17,93,-62
Free Cash Flow,-46,244,149,-169,-11,393,346,366,115,556,224,554
CFO/OP,22%,93%,77%,43%,52%,119%,101%,106%,55%,97%,71%,99%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,43,46,52,47,50,55,38,41,35,32,32,29
Inventory Days,249,233,231,251,247,222,261,247,254,249,286,248
Days Payable,18,27,35,50,37,33,59,74,90,88,116,101
Cash Conversion Cycle,273,253,248,248,260,244,240,215,199,193,202,176
Working Capital Days,19,1,15,61,73,78,93,91,100,105,100,82
ROCE %,13%,14%,16%,14%,12%,13%,14%,14%,17%,21%,19%,18%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,51.00%,51.00%,51.00%,51.00%,51.00%,51.00%,51.00%,51.00%,51.00%,51.00%,51.00%,51.00%
FIIs +,6.48%,6.01%,5.73%,5.14%,5.89%,8.03%,9.33%,9.79%,10.15%,10.12%,8.92%,8.74%
DIIs +,3.29%,5.08%,5.12%,4.08%,5.67%,5.76%,5.86%,6.16%,7.22%,8.34%,9.63%,10.30%
Public +,39.22%,37.89%,38.15%,39.76%,37.44%,35.19%,33.80%,33.04%,31.61%,30.52%,30.43%,29.97%
No. of Shareholders,"1,44,032","1,53,338","1,63,196","1,77,947","1,73,573","1,93,968","2,01,008","2,02,829","1,99,337","2,07,032","2,03,633","2,02,282"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,14%
5 Years:,19%
3 Years:,16%
TTM:,26%

Compounded Profit Growth
10 Years:,20%
5 Years:,18%
3 Years:,16%
TTM:,4%

Stock Price CAGR
10 Years:,32%
5 Years:,39%
3 Years:,42%
1 Year:,-12%

Return on Equity
10 Years:,16%
5 Years:,17%
3 Years:,17%
Last Year:,15%

