--- ABOUT ---
"Incorporated in 2015, Ganges Securities Ltd deals in securities mainly of group companies and in immovable properties. It is also into tea business [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
119,119,190,44.4

Book Value,Dividend Yield,ROCE,ROE
540,0.00,0.76,0.44

Face Value
10.0

--- QUARTERLY RESULTS ---
Promoters +,66.64%,66.64%,66.64%,66.64%,66.64%,66.64%,66.64%,66.64%,66.64%,66.64%,66.64%,66.64%
FIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.08%,0.03%,0.03%,0.03%,0.03%,0.03%
DIIs +,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%
Public +,33.35%,33.36%,33.35%,33.34%,33.34%,33.34%,33.26%,33.32%,33.31%,33.32%,33.32%,33.31%
No. of Shareholders,"4,987","5,237","5,179","5,536","5,457","5,395","6,048","6,000","5,853","5,758","5,685","5,595"

--- CAGR BOXES ---




