--- ABOUT ---
"Incorporated in 1991, Mahalaxmi Rubtech Ltd does manufacturing and marketing of Traditional Textiles and Polymer based Technical Textiles & Rubber products [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
179,169,259,19.7

Book Value,Dividend Yield,ROCE,ROE
86.4,0.00,10.2,8.49

Face Value
10.0

--- QUARTERLY RESULTS ---
,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023
Sales +,39.13,56.29,35.24,45.98,50.00,66.09,59.54,66.77,66.25,74.93,65.19,70.03,74.76
Expenses +,34.05,50.65,31.63,41.95,46.03,59.98,56.28,62.02,60.90,69.57,61.00,65.05,69.57
Operating Profit,5.08,5.64,3.61,4.03,3.97,6.11,3.26,4.75,5.35,5.36,4.19,4.98,5.19
OPM %,12.98%,10.02%,10.24%,8.76%,7.94%,9.24%,5.48%,7.11%,8.08%,7.15%,6.43%,7.11%,6.94%
Other Income +,0.13,2.21,0.74,0.73,1.04,2.33,2.73,0.86,0.66,1.40,1.11,1.98,0.77
Interest,0.30,2.14,0.72,0.87,1.24,1.42,1.25,1.17,1.23,1.46,1.00,1.19,0.98
Depreciation,2.37,2.44,1.91,1.91,2.00,2.69,2.07,2.09,2.13,2.14,1.99,2.01,2.09
Profit before tax,2.54,3.27,1.72,1.98,1.77,4.33,2.67,2.35,2.65,3.16,2.31,3.76,2.89
Tax %,24.41%,22.63%,15.12%,30.30%,19.77%,29.79%,25.09%,20.43%,20.00%,21.52%,31.60%,25.53%,21.80%
Net Profit +,1.92,2.53,1.46,1.37,1.43,3.03,2.01,1.86,2.11,2.47,1.57,2.81,2.26
EPS in Rs,1.44,1.90,1.10,1.03,1.35,2.86,1.90,1.75,1.99,2.33,1.48,2.65,2.13
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales +,202,228,186,181,138,197,267,285
Expenses +,188,214,170,164,121,179,249,265
Operating Profit,14,13,16,16,18,18,19,20
OPM %,7%,6%,8%,9%,13%,9%,7%,7%
Other Income +,0,2,2,3,3,5,6,5
Interest,2,2,2,3,3,4,5,5
Depreciation,8,8,9,10,9,9,8,8
Profit before tax,5,6,6,6,8,10,11,12
Tax %,33%,33%,20%,23%,22%,26%,22%,
Net Profit +,3,4,5,5,6,7,8,9
EPS in Rs,3.40,3.31,3.73,3.46,4.56,6.88,7.96,8.59
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,

--- BALANCE SHEET ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Sep 2023
Equity Capital,10,11,13,13,13,11,11,11
Reserves,53,60,70,75,81,68,77,81
Borrowings +,36,37,35,33,38,55,56,52
Other Liabilities +,49,58,54,55,41,59,67,70
Total Liabilities,148,168,172,176,173,192,210,214
Fixed Assets +,61,68,68,62,68,67,64,62
CWIP,1,4,2,11,1,1,0,1
Investments,0,0,0,0,0,0,0,0
Other Assets +,86,95,102,104,103,124,146,150
Total Assets,148,168,172,176,173,192,210,214

--- CASH FLOW ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Cash from Operating Activity +,5,13,11,23,16,8,6
Cash from Investing Activity +,-5,-18,-6,-15,-17,-13,9
Cash from Financing Activity +,3,5,2,-8,1,-1,-7
Net Cash Flow,2,0,8,0,0,-5,9
Free Cash Flow,-0,-4,5,11,10,2,3
CFO/OP,42%,115%,86%,151%,104%,86%,47%

--- RATIOS ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Debtor Days,68,66,74,73,81,68,66
Inventory Days,91,84,131,129,143,143,132
Days Payable,117,113,152,161,156,173,147
Cash Conversion Cycle,42,36,53,40,68,39,51
Working Capital Days,13,15,18,10,5,-10,-2
ROCE %,,6%,7%,7%,9%,10%,10%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,64.80%,64.80%,64.80%,64.80%,64.80%,64.80%,64.80%,64.80%,64.80%,64.80%,64.80%,64.80%
FIIs +,0.00%,0.00%,0.00%,0.00%,0.57%,0.57%,0.09%,0.09%,0.12%,0.09%,0.10%,0.09%
DIIs +,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%
Public +,35.12%,35.13%,35.11%,35.10%,34.55%,34.56%,35.04%,35.04%,35.01%,35.01%,35.02%,35.03%
No. of Shareholders,"5,342","5,079","4,584","4,345","5,568","6,464","6,244","5,726","5,706","5,706","5,619","5,633"

--- CAGR BOXES ---




