--- ABOUT ---
"Incorporated in the year 1995, Dodla Dairy Limited is an integrated dairy company based in Telangana. The company derives the majority of its revenue from the sale of Milk and dairy-based value added products in the branded consumer Market. Currently, its procurement is centered in 5 states and its products are available for purchase in 11 states. It has 94 milk chilling centers. Some of their plants are ISO 22000:2005 Certified while two are ISO 50001:2011 (EnMS) Certified."

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"6,690","1,109","1,525",24.8

Book Value,Dividend Yield,ROCE,ROE
278,0.45,18.0,17.5

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,724,823,768,747,787,912,998,901,910,"1,007","1,019","1,025","1,074"
Expenses +,691,763,698,664,712,806,901,805,826,924,926,946,"1,021"
Operating Profit,34,60,70,83,75,105,96,96,84,83,93,79,54
OPM %,5%,7%,9%,11%,10%,12%,10%,11%,9%,8%,9%,8%,5%
Other Income +,6,7,7,6,8,7,10,11,26,17,11,6,23
Interest,0,0,0,1,1,1,1,1,1,1,1,1,1
Depreciation,15,16,17,18,18,18,19,20,18,18,21,22,22
Profit before tax,25,51,59,70,64,93,86,86,90,81,83,63,54
Tax %,10%,31%,26%,41%,27%,30%,27%,26%,25%,22%,21%,-10%,-29%
Net Profit +,23,35,44,41,47,65,63,64,68,63,66,69,70
EPS in Rs,3.79,5.88,7.33,6.95,7.87,10.93,10.51,10.54,11.27,10.42,10.89,11.39,11.56
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,590","1,692","2,139","1,944","2,243","2,812","3,125","3,720","4,125"
Expenses +,"1,476","1,556","1,996","1,700","2,031","2,619","2,835","3,338","3,817"
Operating Profit,114,135,143,244,212,193,290,382,308
OPM %,7%,8%,7%,13%,9%,7%,9%,10%,7%
Other Income +,6,7,5,6,13,22,26,53,58
Interest,11,12,17,13,7,2,3,4,3
Depreciation,28,37,49,51,52,61,70,75,82
Profit before tax,80,93,82,186,166,152,244,356,281
Tax %,29%,33%,39%,32%,20%,19%,32%,27%,5%
Net Profit +,57,63,50,126,133,122,167,260,267
EPS in Rs,173.72,11.27,8.96,21.60,22.32,20.55,28.03,43.09,44.26
Dividend Payout %,0%,0%,58%,0%,0%,0%,0%,12%,11%

--- BALANCE SHEET ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,3,56,56,58,59,59,59,60,60
Reserves,336,351,378,600,784,913,"1,079","1,346","1,614"
Borrowings +,132,167,160,99,13,32,46,42,57
Other Liabilities +,135,178,199,216,232,247,293,282,365
Total Liabilities,607,752,793,972,"1,088","1,251","1,478","1,731","2,096"
Fixed Assets +,327,500,536,549,566,624,713,750,"1,056"
CWIP,16,11,11,8,4,58,12,12,109
Investments,67,26,12,60,184,260,196,644,411
Other Assets +,197,214,233,355,334,310,556,324,520
Total Assets,607,752,793,972,"1,088","1,251","1,478","1,731","2,096"

--- CASH FLOW ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,87,136,166,245,171,161,-1,520,295
Cash from Investing Activity +,-66,-148,-76,-200,-137,-210,30,-526,-286
Cash from Financing Activity +,-41,60,-26,11,-49,15,-1,-8,-25
Net Cash Flow,-20,48,64,55,-14,-35,28,-14,-15
Free Cash Flow,16,39,71,189,101,56,-105,412,135
CFO/OP,91%,114%,124%,121%,99%,107%,22%,165%,114%

--- RATIOS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,1,2,1,1,1,1,1,1,1
Inventory Days,40,36,27,26,27,20,62,22,18
Days Payable,19,22,17,23,23,22,24,21,22
Cash Conversion Cycle,22,16,11,4,5,-0,40,2,-3
Working Capital Days,-13,-6,-13,-15,-8,-7,19,-6,19
ROCE %,,20%,17%,30%,21%,16%,22%,27%,18%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,62.21%,62.21%,62.21%,62.21%,60.52%,59.69%,59.69%,59.69%,59.69%,58.92%,58.92%,58.92%
FIIs +,10.59%,10.92%,11.34%,11.36%,11.27%,11.58%,11.03%,10.41%,10.03%,8.91%,7.36%,6.44%
DIIs +,18.06%,16.99%,16.90%,17.62%,18.64%,17.96%,18.84%,19.14%,19.22%,21.50%,23.76%,25.34%
Public +,9.15%,9.89%,9.55%,8.82%,9.57%,10.78%,10.44%,10.74%,11.05%,10.67%,9.96%,9.30%
No. of Shareholders,"34,453","34,479","32,356","29,700","32,163","33,798","33,259","33,695","37,798","38,552","35,379","33,649"

--- CAGR BOXES ---




