--- ABOUT ---
"Incorporated in January 2008, Prostarm Info Systems Limited is an Indian company specialising in designing, manufacturing, and selling Energy Storage and Power Conditioning Equipment. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
826,140,253,25.0

Book Value,Dividend Yield,ROCE,ROE
48.7,0.00,17.8,16.9

Face Value
10.0

--- QUARTERLY RESULTS ---
,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,98.49,76.36,82.02,54.91,65.92,160.49,104.45
Expenses +,77.86,65.19,70.76,51.01,54.71,140.26,93.50
Operating Profit,20.63,11.17,11.26,3.90,11.21,20.23,10.95
OPM %,20.95%,14.63%,13.73%,7.10%,17.01%,12.61%,10.48%
Other Income +,0.46,0.81,0.26,0.83,1.52,1.35,2.16
Interest,1.71,1.19,1.31,1.58,0.88,0.75,1.35
Depreciation,0.74,0.78,0.81,0.65,0.75,0.77,1.05
Profit before tax,18.64,10.01,9.40,2.50,11.10,20.06,10.71
Tax %,25.38%,25.57%,27.98%,27.20%,25.50%,25.67%,25.77%
Net Profit +,13.91,7.45,6.78,1.83,8.27,14.91,7.95
EPS in Rs,3.27,1.78,1.58,0.31,1.40,2.53,1.35
Raw PDF,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,171,230,258,351,386
Expenses +,155,203,222,305,339
Operating Profit,16,28,35,46,46
OPM %,9%,12%,14%,13%,12%
Other Income +,1,2,1,2,6
Interest,1,2,4,6,5
Depreciation,1,2,2,3,3
Profit before tax,15,26,31,39,44
Tax %,27%,26%,26%,26%,26%
Net Profit +,11,19,23,29,33
EPS in Rs,12.54,4.66,5.44,6.92,5.61
Dividend Payout %,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,9,43,43,43,59
Reserves,32,18,41,61,228
Borrowings +,3,25,43,67,93
Other Liabilities +,54,70,75,66,158
Total Liabilities,98,155,203,238,537
Fixed Assets +,8,10,16,25,41
CWIP,0,9,9,0,21
Investments,3,0,0,0,0
Other Assets +,87,137,178,212,476
Total Assets,98,155,203,238,537

--- CASH FLOW ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,4,-14,-8,-5,-49
Cash from Investing Activity +,-9,-8,-8,-13,-111
Cash from Financing Activity +,6,21,15,19,161
Net Cash Flow,1,-1,-0,0,1
Free Cash Flow,-1,-25,-16,-8,-72
CFO/OP,59%,-27%,-1%,13%,-78%

--- RATIOS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,74,106,128,112,241
Inventory Days,89,91,118,85,96
Days Payable,134,131,130,84,191
Cash Conversion Cycle,29,66,116,113,146
Working Capital Days,55,56,71,65,183
ROCE %,,41%,32%,30%,18%

--- SHAREHOLDING PATTERN ---
,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,72.82%,72.82%,72.82%,72.82%
FIIs +,4.15%,0.73%,0.55%,0.86%
DIIs +,2.15%,0.67%,1.38%,0.82%
Public +,20.88%,25.76%,25.23%,25.50%
No. of Shareholders,"27,550","44,490","45,222","42,837"

--- CAGR BOXES ---




