--- ABOUT ---
"Incorporated in 2010, Garuda Construction provides end-to-end civil construction for residential, commercial, residential cum commercial, infrastructure, and industrial projects. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,583",170,249,12.9

Book Value,Dividend Yield,ROCE,ROE
48.8,0.01,41.8,31.2

Face Value
5.00

--- QUARTERLY RESULTS ---
,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,35,47,62,82,125,116,140,149
Expenses +,23,33,45,57,89,82,95,101
Operating Profit,12,13,17,24,36,34,45,48
OPM %,33%,29%,28%,30%,29%,30%,32%,32%
Other Income +,0,1,0,1,2,2,0,-0
Interest,-0,0,0,0,0,0,2,1
Depreciation,0,0,0,0,0,0,0,0
Profit before tax,12,14,17,24,37,36,44,47
Tax %,25%,25%,25%,26%,25%,25%,25%,26%
Net Profit +,9,10,13,18,28,27,33,34
EPS in Rs,1.16,1.37,1.38,1.94,3.01,2.92,3.54,3.70
Raw PDF,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2025,Mar 2026
Sales +,226,531
Expenses +,159,367
Operating Profit,67,164
OPM %,29%,31%
Other Income +,2,3
Interest,1,3
Depreciation,0,0
Profit before tax,67,164
Tax %,25%,25%
Net Profit +,50,122
EPS in Rs,5.35,13.17
Dividend Payout %,0%,-0%

--- BALANCE SHEET ---
,Mar 2025,Mar 2026
Equity Capital,47,47
Reserves,285,408
Borrowings +,0,12
Other Liabilities +,75,178
Total Liabilities,407,644
Fixed Assets +,11,125
CWIP,2,2
Investments,-0,-0
Other Assets +,394,517
Total Assets,407,644

--- CASH FLOW ---
,Mar 2025,Mar 2026
Cash from Operating Activity +,-111,78
Cash from Investing Activity +,-50,-82
Cash from Financing Activity +,162,9
Net Cash Flow,2,6
Free Cash Flow,-111,78
CFO/OP,-141%,54%

--- RATIOS ---
,Mar 2025,Mar 2026
Debtor Days,275,102
Inventory Days,,13
Days Payable,,123
Cash Conversion Cycle,275,-8
Working Capital Days,404,194
ROCE %,,42%

--- SHAREHOLDING PATTERN ---
,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,67.56%,67.56%,67.56%,67.56%,67.56%,67.56%
FIIs +,6.65%,4.53%,4.48%,3.09%,2.34%,2.64%
DIIs +,1.45%,0.93%,0.65%,1.12%,1.01%,0.48%
Public +,24.34%,26.97%,27.31%,28.23%,29.08%,29.32%
No. of Shareholders,"44,236","44,150","43,469","48,818","49,387","49,607"

--- CAGR BOXES ---




