--- ABOUT ---
"Incorporated in 1987, Jay Bharat Maruti manufactures automobile components and assemblies [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,835",170,179,13.1

Book Value,Dividend Yield,ROCE,ROE
64.3,0.41,16.6,22.2

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,673,533,613,548,598,533,555,591,611,557,583,645,766
Expenses +,622,496,568,507,555,496,521,555,553,491,521,581,675
Operating Profit,51,37,45,41,43,38,34,35,58,66,61,64,91
OPM %,8%,7%,7%,7%,7%,7%,6%,6%,9%,12%,11%,10%,12%
Other Income +,1,1,1,1,2,1,1,1,2,0,2,2,2
Interest,10,9,10,11,9,9,9,9,8,9,10,13,12
Depreciation,20,21,21,21,21,21,21,21,21,21,24,25,25
Profit before tax,22,8,14,10,15,8,5,6,30,36,29,29,56
Tax %,35%,32%,36%,35%,27%,33%,34%,34%,32%,35%,36%,36%,-41%
Net Profit +,14,5,9,7,11,5,3,4,21,23,18,18,80
EPS in Rs,1.32,0.48,0.84,0.62,1.04,0.50,0.28,0.36,1.90,2.15,1.70,1.70,7.35
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,994","1,658","1,499","2,078","2,344","2,292","2,290","2,551"
Expenses +,"1,820","1,517","1,363","1,928","2,171","2,126","2,125","2,268"
Operating Profit,174,141,136,150,173,167,165,283
OPM %,9%,9%,9%,7%,7%,7%,7%,11%
Other Income +,3,2,5,1,2,5,4,5
Interest,34,38,33,33,37,40,36,44
Depreciation,61,63,66,75,80,84,84,95
Profit before tax,82,42,42,43,58,48,49,150
Tax %,36%,33%,37%,35%,35%,32%,33%,7%
Net Profit +,52,28,26,28,38,32,33,140
EPS in Rs,4.81,2.61,2.42,2.60,3.50,2.98,3.04,12.90
Dividend Payout %,10%,10%,10%,19%,20%,24%,23%,5%

--- BALANCE SHEET ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,11,11,11,22,22,22,22,22
Reserves,393,412,439,453,486,517,541,674
Borrowings +,404,445,369,380,336,440,540,531
Other Liabilities +,398,339,414,473,456,577,569,604
Total Liabilities,"1,205","1,207","1,233","1,327","1,299","1,556","1,672","1,831"
Fixed Assets +,832,817,860,856,881,906,922,"1,173"
CWIP,51,143,83,62,23,162,308,110
Investments,17,21,24,26,27,34,38,41
Other Assets +,305,226,266,382,368,453,404,507
Total Assets,"1,205","1,207","1,233","1,327","1,299","1,556","1,672","1,831"

--- CASH FLOW ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,128,154,163,106,154,188,199,197
Cash from Investing Activity +,-195,-144,-50,-76,-65,-140,-265,-132
Cash from Financing Activity +,66,-10,-113,-29,-87,-51,65,-62
Net Cash Flow,-1,1,1,1,3,-4,-1,4
Free Cash Flow,-64,16,112,29,88,44,-63,63
CFO/OP,89%,123%,126%,91%,98%,100%,122%,74%

--- RATIOS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,14,11,15,16,13,20,14,17
Inventory Days,40,35,49,47,40,55,51,52
Days Payable,49,47,66,60,51,68,65,57
Cash Conversion Cycle,5,-1,-2,3,2,7,0,12
Working Capital Days,-29,-45,-54,-39,-28,-40,-38,-13
ROCE %,,10%,9%,9%,11%,10%,8%,17%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,59.35%,59.35%,59.35%,59.35%,59.35%,59.35%,59.35%,59.35%,59.35%,59.35%,59.35%,59.35%
FIIs +,3.55%,3.71%,3.63%,2.61%,0.83%,0.83%,0.83%,0.86%,0.84%,0.98%,0.90%,1.33%
DIIs +,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%
Public +,37.07%,36.92%,36.99%,38.02%,39.80%,39.80%,39.81%,39.76%,39.79%,39.64%,39.71%,39.31%
No. of Shareholders,"21,178","21,622","23,528","33,025","35,828","38,279","41,107","40,531","40,054","38,317","37,340","36,318"

--- CAGR BOXES ---




