--- ABOUT ---
"Founded in 2010, Brainbees Solutions Limited offers products for mothers, babies, and kids through its online platform 'FirstCry'. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"11,264",216,439,

Book Value,Dividend Yield,ROCE,ROE
92.5,0.00,0.57,-2.37

Face Value
2.00

--- QUARTERLY RESULTS ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,407","1,507","1,900","1,667","1,652","1,905","2,172","1,930","1,863","2,099","2,424","2,163"
Expenses +,"1,423","1,512","1,842","1,634","1,603","1,848","2,064","1,914","1,829","2,037","2,327","2,093"
Operating Profit,-16,-6,59,33,49,57,108,16,33,62,97,70
OPM %,-1%,-0%,3%,2%,3%,3%,5%,1%,2%,3%,4%,3%
Other Income +,20,21,35,18,15,30,45,12,42,35,41,17
Interest,36,39,41,0,38,41,42,38,40,40,39,36
Depreciation,84,89,96,103,95,98,104,108,101,98,104,104
Profit before tax,-115,-112,-43,-52,-70,-52,7,-118,-66,-41,-5,-53
Tax %,-4%,7%,14%,-16%,8%,22%,314%,-5%,0%,22%,605%,-10%
Net Profit +,-110,-119,-48,-43,-76,-63,-15,-112,-67,-51,-39,-48
EPS in Rs,,,,,,-0.97,-0.15,-1.47,-0.89,-0.67,-0.55,-0.58
Raw PDF,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,337,508,814,"1,603","2,401","5,633","6,481","7,660","8,548"
Expenses +,402,"1,450","1,047","1,561","2,420","5,950","6,410","7,430","8,286"
Operating Profit,-65,-942,-233,42,-18,-317,70,230,262
OPM %,-19%,-186%,-29%,3%,-1%,-6%,1%,3%,3%
Other Income +,18,27,83,137,116,153,94,101,134
Interest,1,0,4,14,38,72,115,158,156
Depreciation,7,18,38,70,111,294,371,405,407
Profit before tax,-55,-933,-191,95,-51,-530,-322,-232,-166
Tax %,-0%,-0%,-0%,-124%,54%,-8%,-0%,14%,23%
Net Profit +,-55,-933,-191,216,-79,-486,-322,-265,-204
EPS in Rs,,,,,,,,-3.67,-2.69
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,6,49,35,35,45,81,81,96,97
Reserves,"-1,094","1,472","2,347","3,359","3,447","3,368","3,082","4,645","4,730"
Borrowings +,"1,657",7,34,61,446,906,"1,430","1,570","1,594"
Other Liabilities +,96,151,341,619,"2,147","2,602","2,727","2,359","2,608"
Total Liabilities,666,"1,678","2,758","4,073","6,084","6,957","7,321","8,670","9,028"
Fixed Assets +,356,351,383,508,"2,213","3,533","3,868","3,609","3,591"
CWIP,0,7,23,18,42,26,1,7,20
Investments,0,0,0,0,0,0,5,5,5
Other Assets +,310,"1,320","2,352","3,547","3,830","3,397","3,447","5,049","5,412"
Total Assets,666,"1,678","2,758","4,073","6,084","6,957","7,321","8,670","9,028"

--- CASH FLOW ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-70,-210,-300,-67,-132,-399,-42,-83,365
Cash from Investing Activity +,82,-758,-660,-445,-491,304,63,"-1,438",-108
Cash from Financing Activity +,-9,"1,063","1,033",718,644,-51,81,"1,431",-282
Net Cash Flow,3,95,73,206,22,-146,102,-91,-25
Free Cash Flow,-71,-231,-349,-110,-353,-637,-385,-292,176
CFO/OP,106%,22%,128%,-166%,583%,134%,6%,-22%,164%

--- RATIOS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,38,32,36,31,33,15,12,13,16
Inventory Days,117,175,162,182,227,119,143,162,133
Days Payable,92,112,97,104,123,68,80,71,68
Cash Conversion Cycle,63,95,101,109,138,65,76,105,81
Working Capital Days,68,120,100,99,79,40,46,36,44
ROCE %,,-89%,-10%,4%,-0%,-10%,-4%,-0%,1%

--- SHAREHOLDING PATTERN ---
,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
FIIs +,9.07%,9.62%,7.94%,7.03%,5.22%,4.01%,3.52%
DIIs +,16.83%,16.65%,18.08%,18.65%,21.04%,21.97%,23.67%
Public +,66.30%,65.96%,66.38%,66.94%,66.43%,66.93%,65.75%
Others +,7.80%,7.75%,7.60%,7.39%,7.31%,7.09%,7.06%
No. of Shareholders,"1,30,419","1,17,746","1,15,602","1,40,001","1,37,820","1,39,204","1,40,637"

--- CAGR BOXES ---




