--- ABOUT ---
"Sky Gold Limited is engaged in the business of designing, manufacturing, and marketing gold jewellery. The co. follows a B2B model where the products are mainly sold to mid-range jewellers and boutique stores who sell these products through online platforms and retail stores. [1] [2] [3]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"7,889",509,590,28.6

Book Value,Dividend Yield,ROCE,ROE
77.4,0.00,27.0,29.2

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,270,376,396,460,513,723,769,998,"1,058","1,131","1,484","1,768","1,912"
Expenses +,258,357,381,442,488,686,730,941,995,"1,060","1,385","1,645","1,771"
Operating Profit,12,19,15,18,25,37,39,57,63,71,100,122,141
OPM %,4%,5%,4%,4%,5%,5%,5%,6%,6%,6%,7%,7%,7%
Other Income +,0,1,1,0,2,1,20,7,5,4,8,7,17
Interest,4,4,5,5,7,8,10,12,14,13,18,21,27
Depreciation,0,1,1,2,2,2,2,3,4,4,2,3,4
Profit before tax,8,14,10,12,18,28,46,49,50,59,88,106,126
Tax %,23%,25%,25%,25%,25%,25%,20%,26%,24%,26%,24%,24%,28%
Net Profit +,6,11,7,9,14,21,37,37,38,44,67,81,91
EPS in Rs,0.57,0.99,0.68,0.68,1.03,1.60,2.69,2.49,2.60,2.93,4.33,5.20,5.44
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,786,"1,154","1,745","3,548","6,295"
Expenses +,765,"1,117","1,668","3,351","5,861"
Operating Profit,20,37,78,197,434
OPM %,3%,3%,4%,6%,7%
Other Income +,11,1,4,33,36
Interest,8,11,21,45,79
Depreciation,1,1,6,11,13
Profit before tax,22,25,54,174,379
Tax %,22%,26%,25%,24%,26%
Net Profit +,17,19,40,133,282
EPS in Rs,1.58,1.73,3.06,9.04,17.78
Dividend Payout %,0%,12%,3%,0%,0%

--- BALANCE SHEET ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,5,11,13,147,155
Reserves,71,87,231,537,"1,044"
Borrowings +,92,146,330,630,869
Other Liabilities +,6,8,11,43,127
Total Liabilities,175,252,586,"1,357","2,195"
Fixed Assets +,8,9,35,106,376
CWIP,0,0,1,1,0
Investments,45,68,91,77,44
Other Assets +,122,175,459,"1,174","1,775"
Total Assets,175,252,586,"1,357","2,195"

--- CASH FLOW ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-7,-6,-158,-273,-45
Cash from Investing Activity +,-2,-20,-106,-157,-124
Cash from Financing Activity +,10,43,259,427,171
Net Cash Flow,1,17,-5,-3,2
Free Cash Flow,-8,-9,-178,-288,-140
CFO/OP,-20%,2%,-186%,-120%,15%

--- RATIOS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,20,21,21,47,33
Inventory Days,36,28,59,44,50
Days Payable,1,0,1,3,6
Cash Conversion Cycle,55,49,80,88,77
Working Capital Days,20,6,14,25,28
ROCE %,,17%,18%,21%,27%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,73.55%,73.55%,62.08%,61.32%,61.32%,62.51%,58.24%,58.18%,53.86%,51.74%,51.74%,51.74%
FIIs +,0.01%,0.00%,0.13%,0.04%,0.08%,0.25%,0.86%,0.39%,0.87%,0.55%,0.78%,1.20%
DIIs +,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,6.63%,7.13%,9.40%,9.02%,11.66%,13.14%
Public +,26.45%,26.45%,37.79%,38.64%,38.58%,37.24%,34.26%,34.29%,35.86%,38.69%,35.81%,33.91%
No. of Shareholders,"4,610","6,560","13,573","14,436","13,763","24,465","67,113","79,872","90,456","1,03,694","93,152","89,118"

--- CAGR BOXES ---




