--- ABOUT ---
"Incorporated in 2006, Barbeque Nation Hospitality Ltd is in the business of operating a casual dining restaurant chain. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,518",644,658,

Book Value,Dividend Yield,ROCE,ROE
79.4,0.00,1.52,-17.6

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,280,324,302,331,298,306,306,329,293,297,305,377,360
Expenses +,240,277,257,265,243,255,260,267,239,251,267,322,306
Operating Profit,40,47,44,66,55,51,46,62,53,46,38,55,54
OPM %,14%,14%,15%,20%,18%,17%,15%,19%,18%,16%,12%,15%,15%
Other Income +,1,4,4,2,8,3,4,6,3,2,8,2,3
Interest,18,19,20,19,19,19,19,19,21,20,21,23,23
Depreciation,37,37,44,41,45,40,41,43,52,45,48,48,49
Profit before tax,-14,-5,-15,8,-1,-5,-10,5,-16,-17,-23,-14,-14
Tax %,-18%,-26%,-21%,35%,-96%,-21%,-28%,-7%,25%,-2%,-3%,-47%,10%
Net Profit +,-12,-4,-12,5,-0,-4,-7,5,-21,-17,-22,-8,-15
EPS in Rs,-3.03,-1.11,-3.17,1.11,-0.27,-1.24,-1.85,1.16,-5.18,-4.20,-5.68,-1.82,-3.43
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,403,503,586,739,847,507,861,"1,234","1,255","1,233","1,339"
Expenses +,354,440,463,610,683,461,727,"1,003","1,042","1,022","1,146"
Operating Profit,49,64,124,129,164,46,134,231,212,211,193
OPM %,12%,13%,21%,17%,19%,9%,16%,19%,17%,17%,14%
Other Income +,0,0,7,-7,20,48,27,12,18,16,15
Interest,10,14,54,56,76,85,65,72,76,78,86
Depreciation,25,33,70,90,134,121,127,145,168,176,190
Profit before tax,14,16,7,-24,-25,-112,-32,26,-14,-27,-68
Tax %,57%,47%,188%,60%,31%,-18%,-21%,26%,-20%,-0%,-9%
Net Profit +,6,9,-6,-38,-33,-92,-25,19,-11,-27,-62
EPS in Rs,4.55,3.34,-2.10,-13.72,-11.57,-26.65,-6.58,4.37,-3.43,-7.11,-15.13
Dividend Payout %,33%,0%,-48%,-7%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,13,14,14,14,14,17,19,19,20,20,20
Reserves,111,133,131,118,-8,227,367,382,373,343,291
Borrowings +,52,87,478,578,727,603,610,684,686,758,885
Other Liabilities +,61,62,100,110,223,291,145,173,198,194,242
Total Liabilities,238,296,723,819,955,"1,138","1,141","1,259","1,277","1,314","1,437"
Fixed Assets +,165,198,548,682,813,732,872,"1,012","1,036","1,061","1,161"
CWIP,14,22,19,16,11,6,21,27,5,14,14
Investments,3,3,0,0,0,0,0,0,0,12,0
Other Assets +,55,73,157,121,132,400,248,220,237,227,263
Total Assets,238,296,723,819,955,"1,138","1,141","1,259","1,277","1,314","1,437"

--- CASH FLOW ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,46,54,128,122,181,68,60,228,221,193,223
Cash from Investing Activity +,-64,-75,-99,-129,-152,-7,-90,-152,-106,-90,-128
Cash from Financing Activity +,14,25,7,-25,-27,170,-130,-119,-121,-122,-86
Net Cash Flow,-4,4,36,-32,3,231,-160,-43,-7,-19,9
Free Cash Flow,-21,-16,27,-8,97,54,-33,82,133,112,94
CFO/OP,114%,99%,115%,106%,115%,143%,47%,101%,103%,93%,119%

--- RATIOS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,5,3,3,2,1,2,2,2,1,1,1
Inventory Days,30,33,,,19,41,43,37,34,44,35
Days Payable,78,85,,,141,301,118,109,103,103,113
Cash Conversion Cycle,-43,-49,3,2,-121,-257,-73,-69,-68,-58,-77
Working Capital Days,-29,-18,-27,-24,-94,-226,-54,-45,-46,-46,-64
ROCE %,,15%,13%,6%,5%,-4%,3%,9%,6%,5%,2%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,33.79%,33.77%,33.73%,33.71%,33.71%,33.56%,33.55%,33.72%,33.74%,33.74%,34.57%,34.60%
FIIs +,17.97%,18.06%,17.76%,16.88%,17.50%,15.16%,12.84%,10.46%,10.14%,9.68%,9.33%,9.66%
DIIs +,24.51%,25.15%,25.21%,24.42%,23.06%,25.68%,25.90%,21.49%,19.92%,18.62%,16.79%,16.73%
Public +,23.72%,23.02%,23.30%,25.01%,25.73%,25.61%,27.71%,34.33%,36.19%,37.96%,39.30%,39.01%
No. of Shareholders,"40,579","37,878","38,829","39,184","37,671","36,540","37,645","40,028","39,860","40,440","39,160","36,426"

--- CAGR BOXES ---




