--- ABOUT ---
"Incorporated in 1992, Arfin India Ltd manufactures and trades non-ferrous metals [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,668",98.9,106,108

Book Value,Dividend Yield,ROCE,ROE
10.1,0.11,14.8,9.45

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,136.80,132.90,149.11,180.37,153.37,108.86,127.94,187.96,193.24
Expenses +,128.52,123.81,139.43,169.43,146.79,102.26,118.59,174.08,176.91
Operating Profit,8.28,9.09,9.68,10.94,6.58,6.60,9.35,13.88,16.33
OPM %,6.05%,6.84%,6.49%,6.07%,4.29%,6.06%,7.31%,7.38%,8.45%
Other Income +,0.20,0.25,0.24,0.14,1.33,0.46,0.52,0.17,-0.23
Interest,5.36,4.28,5.36,5.56,4.62,4.54,5.11,5.15,3.93
Depreciation,1.09,1.00,1.01,1.02,1.02,1.08,1.09,1.14,1.34
Profit before tax,2.03,4.06,3.55,4.50,2.27,1.44,3.67,7.76,10.83
Tax %,-7.39%,25.86%,27.32%,32.67%,76.65%,25.69%,33.24%,34.41%,37.03%
Net Profit +,2.18,3.01,2.58,3.03,0.53,1.08,2.45,5.09,6.82
EPS in Rs,0.14,0.18,0.15,0.18,0.03,0.06,0.15,0.30,0.40
Raw PDF,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2024,Mar 2025,Mar 2026
Sales +,535,616,618
Expenses +,505,579,572
Operating Profit,30,36,46
OPM %,6%,6%,7%
Other Income +,2,2,1
Interest,19,20,19
Depreciation,4,4,5
Profit before tax,10,14,24
Tax %,15%,36%,35%
Net Profit +,8,9,15
EPS in Rs,0.52,0.54,0.92
Dividend Payout %,0%,0%,12%

--- BALANCE SHEET ---
,Mar 2024,Mar 2025,Mar 2026
Equity Capital,16,17,17
Reserves,80,140,153
Borrowings +,120,117,129
Other Liabilities +,69,71,72
Total Liabilities,285,344,371
Fixed Assets +,66,64,74
CWIP,0,4,0
Investments,0,0,0
Other Assets +,220,277,297
Total Assets,285,344,371

--- CASH FLOW ---
,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,5,-21,22
Cash from Investing Activity +,-4,-8,-15
Cash from Financing Activity +,-8,30,-8
Net Cash Flow,-7,0,-0
Free Cash Flow,1,-27,11
CFO/OP,24%,-53%,55%

--- RATIOS ---
,Mar 2024,Mar 2025,Mar 2026
Debtor Days,36,31,18
Inventory Days,124,130,159
Days Payable,55,45,42
Cash Conversion Cycle,105,116,135
Working Capital Days,39,66,66
ROCE %,,14%,15%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,74.11%,74.11%,74.09%,74.09%,69.79%,69.79%,69.79%,69.79%,69.79%,69.79%,69.77%,69.77%
FIIs +,0.00%,0.95%,2.56%,2.56%,2.41%,2.41%,2.41%,2.41%,2.41%,2.64%,2.68%,1.54%
Government +,0.08%,0.08%,0.08%,0.08%,0.07%,0.07%,0.19%,0.19%,0.04%,0.04%,0.04%,0.04%
Public +,25.80%,24.86%,23.27%,23.26%,27.73%,27.73%,27.60%,27.61%,27.75%,27.53%,27.53%,28.64%
No. of Shareholders,"5,155","5,400","5,633","6,281","7,112","7,997","8,392","9,353","9,081","9,868","11,014","11,976"

--- CAGR BOXES ---




